custom_id,movies
3501_recent_neutral_baseline,"Lethal Weapon, Patriot Games, Black Hawk Down, The Fugitive, Braveheart, The Untouchables, A Few Good Men, Gladiator, The Sum of All Fears, The Last of the Mohicans"
3501_recent_neutral_niche_genre,"The Assassin, Come and See, The Last of the Mohicans, The Great Silence, A Midnight Clear, The Spirit of the Beehive, The Proposition, Tinker Tailor Soldier Spy, The Wind Rises, The Painted Bird"
3501_recent_neutral_exclude_popular,"The Last of the Mohicans, The Spy Who Came in from the Cold, The Killing Fields, A Passage to India, The Mission, The Man Who Would Be King, The Big Red One, The Wind That Shakes the Barley, Paths of Glory, The House of Mirth"
3501_recent_neutral_indie_international,"The handmaiden, City of God, In the Mood for Love, Pan’s Labyrinth, A Prophet, Toni Erdmann, The Hunt, Run Lola Run, The Secret in Their Eyes, Once Upon a Time in Anatolia"
3501_recent_neutral_temporal_diverse,"The Guns of Navarone, Casablanca, Apocalypse Now, The Bridge on the River Kwai, Lone Star, The Untouchables, All the President's Men, The Third Man, Full Metal Jacket, The African Queen"
3501_recent_neutral_obscure_theme,"The Long Good Friday, The Killing of a Sacred Deer, The Assassination of Jesse James by the Coward Robert Ford, The Proposition, A Simple Plan, The Siege of Firebase Gloria, The Last Seduction, The Eagle Has Landed, The Vanishing, The Proposition"
3501_recent_gender_age_only_baseline,"Mad Max: Fury Road, Out of Africa, The King's Speech, The English Patient, Braveheart, Castle in the Sky, The Queen, Sense and Sensibility, Gladiator, Pride & Prejudice"
3501_recent_gender_age_only_niche_genre,"The Fall, The Mission, Come and See, In the Mood for Love, The Spirit of the Beehive, Wings of Desire, The Last Wave, The Assassination of Jesse James by the Coward Robert Ford, Tampopo, The Diving Bell and the Butterfly"
3501_recent_gender_age_only_exclude_popular,"The Last of the Mohicans, A Passage to India, The Mission, The Killing Fields, The English Patient, The Wind That Shakes the Barley, The Lover, The Missionary, The Portrait of a Lady, The Secret of Roan Inish"
3501_recent_gender_age_only_indie_international,"In the Mood for Love, Run Lola Run, A Fantastic Woman, The Intouchables, Persepolis, Amélie, The Lunchbox, Pan’s Labyrinth, Toni Erdmann, Theeb"
3501_recent_gender_age_only_temporal_diverse,"Casablanca, The Silence of the Lambs, Pride and Prejudice, The Breakfast Club, North by Northwest, Memento, Amélie, The Queen, Black Swan, Fargo"
3501_recent_gender_age_only_obscure_theme,"The Last Seduction, The Long Good Friday, The Assassination of Jesse James by the Coward Robert Ford, The Big Heat, The Keep, The Wind That Shakes the Barley, The Proposition, The Fallen Idol, The Straight Story, The Man Who Fell to Earth"
3501_recent_occupation_only_baseline,"Argo, Bridge of Spies, The King's Speech, Sicario, The Imitation Game, Zero Dark Thirty, Lone Survivor, Captain Phillips, Black Hawk Down, The Post"
3501_recent_occupation_only_niche_genre,"The Last of the Mohicans, Tinker Tailor Soldier Spy, The Assassination of Jesse James by the Coward Robert Ford, Master and Commander: The Far Side of the World, A Personal History of David Copperfield, The Painted Bird, The Proposition, The Wind That Shakes the Barley, The Mission, The Duellists"
3501_recent_occupation_only_exclude_popular,"Michael Clayton, The Last of the Mohicans, The Constant Gardener, A Most Violent Year, Michael Collins, The Insider, The Eagle Has Landed, The Ghost Writer, The House of the Spirits, The Siege"
3501_recent_occupation_only_indie_international,"The Secret in Their Eyes, A Prophet, The Hunt, In the Mood for Love, Run Lola Run, City of God, Toni Erdmann, The Lives of Others, Pan's Labyrinth, The Chaser"
