custom_id,movies
2501_top-rated_neutral_baseline,"Star Wars: The Empire Strikes Back, Monty Python's Life of Brian, National Lampoon's Christmas Vacation, Indiana Jones and the Raiders of the Lost Ark, The Princess Bride, Back to the Future, Ghostbusters, The Great Dictator, Dumb and Dumber, The Muppet Movie"
2501_top-rated_neutral_niche_genre,"Brazil, The Holy Mountain, Eraserhead, The Fall, Big Trouble in Little China, The Adventures of Buckaroo Bony, Titus, The Fountain, The City of Lost Children, Donnie Darko"
2501_top-rated_neutral_exclude_popular,"The Adventures of Robin Hood, The Last Crusade, Big Trouble in Little China, The Man Who Would Be King, The Iron Giant, The Prisoner of Zenda, Time Bandits, The Sign of the Cross, The Adventures of Baron Munchausen, The Third Man"
2501_top-rated_neutral_indie_international,"The Spirit of the Beehive, City of God, The Triplets of Belleville, Pan's Labyrinth, Amélie, Run Lola Run, A Man Escaped, The Secret in Their Eyes, In the Mood for Love, The Lives of Others"
2501_top-rated_neutral_temporal_diverse,"12 Angry Men, The Great Escape, Gentlemen Prefer Blondes, The Wizard of Oz, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Some Like It Hot, The Bridge on the River Kwai, Blazing Saddles, The Apartment, Duck Soup"
2501_top-rated_neutral_obscure_theme,"The Last Starfighter, Time Bandits, Brazil, The Adventures of Buckaroo B-52, Dark Crystal, The Forbidden Planet, The Navigator: A Medieval Odyssey, The Man Who Would Be King, Krull, The Iron Giant"
2501_top-rated_gender_age_only_baseline,"Indiana Jones and the Raiders of the Lost Ark, Back to the Future, Guardians of the Galaxy, The Princess Bride, Ghostbusters, The Mummy, Superbad, Bill & Ted's Excellent Adventure, Galaxy Quest, The Iron Giant"
2501_top-rated_gender_age_only_niche_genre,"Brazil, The Big Lebowski, The Princess Bride, Blade Runner, The Fountainhead, The Holy Mountain, The Fall, Big Trouble in Little China, Donnie Darko, The Adventures of Baron Munchausen"
2501_top-rated_gender_age_only_exclude_popular,"The Adventures of Baron Munchausen, Time Bandits, The Prisoner of Zenda, The Man Who Would Be King, Brazil, The Last Crusade, Big Trouble in Little China, The Spirit of the Beehive, The Fall, The Holy Mountain"
2501_top-rated_gender_age_only_indie_international,"City of God, Amélie, Pan's Labyrinth, The Intouchables, Run Lola Run, The Hunt, Oldboy, In the Mood for Love, Toni Erdmann, The Secret in Their Eyes"
2501_top-rated_gender_age_only_temporal_diverse,"Blade Runner, The Princess Bride, Back to the Future, The Great Escape, Indiana Jones and the Raiders of the Lost Ark, Young Frankenstein, Ghostbusters, The Mummy, The Goonies, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
2501_top-rated_gender_age_only_obscure_theme,"The Last Starfighter, Time Bandits, The Adventures of Buckaroo B.I.M., Galaxy Quest, The Iron Giant, Big Trouble in Little China, Battle of the Sexes, The Forbidden Planet, Kiss Kiss Bang Bang, Stardust"
2501_top-rated_occupation_only_baseline,"2001: A Space Odyssey, The Princess Bride, Back to the Future, The Matrix, Ghostbusters, Blazing Saddles, The Grand Budapest Hotel, Galaxy Quest, Monty Python's Life of Brian, The Iron Giant"
2501_top-rated_occupation_only_niche_genre,"Primer, Coherence, The Man from Earth, The Fountain, Moon, The Fall, Timecrimes, Stalker, The Quiet Earth, The Void"
2501_top-rated_occupation_only_exclude_popular,"The Adventures of Buckaroo Bussleman, The Man Who Fell to Earth, Happiness, The Spirit of the Beehive, Time Bandits, Brazil, The Last Wave, Picnic at Hanging Rock, The Draughtsman's Contract, The Reflecting Skin"
2501_top-rated_occupation_only_indie_international,"The Man Who Fell to Earth, Stalker, The Spirit of the Beehive, Werner Herzog's Even Dwarfs Started Small, The Holy Mountain, Toni Erdmann, The Death of Mr. Lazarescu, The Lunatic, Come and See, A Man Escaped"
2501_top-rated_occupation_only_temporal_diverse,"2001: A Space Odyssey, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, The Great Dictator, Blade Runner, The Matrix, Back to the Future, The Princess Bride, Galaxy Quest, Young Frankenstein, The Iron Giant"
2501_top-rated_occupation_only_obscure_theme,"The Adventures of Buckaroo B6, Time Bandits, The Man Who Fell to Earth, Brazil, The Prisoner of Zenda, The Last Starfighter, The Brother from Another Planet, The Return of the Living Dead, Dark Star, The Axis of Evil"
2501_top-rated_all_attributes_baseline,"Guardians of the Galaxy, The Princess Bride, Back to the Future, Galaxy Quest, The Hitchhiker's Guide to the Galaxy, Spaceballs, The Iron Giant, Ghostbusters, Men in Black, Doctor Strange in the Multiverse of Madness"
2501_top-rated_all_attributes_niche_genre,"The Man Who Fell to Earth, Brazil, The Adventures of Baron Munchausen, Dark City, The Holy Mountain, Being There, The Fall, Labyrinth, The City of Lost Children, Big Trouble in Little China"
2501_top-rated_all_attributes_exclude_popular,"Time Bandits, Brazil, The Adventures of Baron Munchausen, The Man Who Fell to Earth, The Holy Mountain, Stalker, The Last Starfighter, The City of Lost Children, Dark City, Repo Man"
2501_top-rated_all_attributes_indie_international,"The Fall, City of God, The Spirit of the Beehive, The Untouchables, Toni Erdmann, The Lobster, Pan's Labyrinth, The Great Beauty, A Separation, In the Mood for Love"
2501_top-rated_all_attributes_temporal_diverse,"2001: A Space Odyssey, The Great Dictator, Blade Runner, The Day the Earth Stood Still, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Galaxy Quest, The Princess Bride, Metropolis, Forbidden Planet, Back to the Future"
2501_top-rated_all_attributes_obscure_theme,"Dark Star, The Man Who Fell to Earth, Time Bandits, Brazil, The Adventures of Buckaroo B-52, The Reflecting Skin, The Brother from Another Planet, The Last Starfighter, Galaxina, The Forbidden Planet"
2502_top-rated_neutral_baseline,"Mrs. Doubtfire, E.T. the Extra-Terrestrial, The Goonies, Big, Back to the Future, The Sandlot, Honey, I Shrunk the Kids, Close Encounters of the Third Kind, The Princess Bride, Stand and Deliver"
2502_top-rated_neutral_niche_genre,"The Fall, Big Fish, The Secret of Kells, Moonrise Kingdom, The City of Lost Children, The Adventures of Baron Munchausen, The Brothers Bloom, Pan's Labyrinth, The Iron Giant, MirrorMask"
2502_top-rated_neutral_exclude_popular,"Big Fish, The Fall, The Secret of Kells, Moonrise Kingdom, Hugo, The Adventures of Buckaroo Boozoo, The Iron Giant, The City of Lost Children, A Monster in Paris, The Little Prince"
2502_top-rated_neutral_indie_international,"The Spirit of the Beehive, Ikiru, The Red Balloon, Le Ballon Rouge, Cinema Paradiso, The Triplets of Belleville, A Separation, Pan's Labyrinth, City of God, My Neighbor Totoro"
2502_top-rated_neutral_temporal_diverse,"The Great Race, Chitty Chitty Bang Bang, E.T. the Extra-Terrestrial, The Goonies, Back to the Future, The Iron Giant, Big, The Secret Life of Walter Mitty, The NeverEnding Story, Hook"
2502_top-rated_neutral_obscure_theme,"The Love Bug, The Secret of NIMH, The Ghost and Mr. Chicken, The Little Prince, The Iron Giant, The Great Mouse Detective, My Neighbor Totoro, Hoot, The Rescuers, The Adventures of Milo and Otis"
2502_top-rated_gender_age_only_baseline,"Back to the Future, The Goonies, Catch Me If You Can, The Sandlot, Big, Forrest Gump, The Secret Life of Walter Mitty, National Treasure, The Iron Giant, Toy Story"
2502_top-rated_gender_age_only_niche_genre,"Big Fish, The Fall, The City of Lost Children, Pan's Labyrinth, The Secret of Kells, The Iron Giant, Hugo, MirrorMask, The Adventures of Baron Munchausen, The Little Prince"
2502_top-rated_gender_age_only_exclude_popular,"The Secret Life of Walter Mitty, Big Fish, The Fall, The Man Who Fell to Earth, Harold and Maude, The Station Agent, A Ghost Story, The Reflecting Skin, The Last Wave, The Adventures of Baron Munchausen"
2502_top-rated_gender_age_only_indie_international,"The Fall, City of God, The Hunt, Pan's Labyrinth, The Intouchables, Amélie, In the Mood for Love, A Separation, The Secret in Their Eyes, Wild Strawberries"
2502_top-rated_gender_age_only_temporal_diverse,"The Great Escape, Back to the Future, The Princess Bride, Lawrence of Arabia, 12 Angry Men, The Goonies, The Dirty Dozen, The Andromeda Strain, To Kill a Mockingbird, The Bridge on the River Kwai"
2502_top-rated_gender_age_only_obscure_theme,"The Secret of NIMH, The Fall, Big Fish, Moonrise Kingdom, The Iron Giant, A Boy and His Dog, The Adventures of Baron Munchausen, Little Miss Sunshine, The NeverEnding Story, Hunt for the Wilderpeople"
2502_top-rated_occupation_only_baseline,"Mary Poppins, The Sound of Music, Big, The Great Mouse Detective, The Secret Life of Walter Mitty, Apollo 13, The Sandlot, The Wonder Boys, The Odd Couple, Chariots of Fire"
2502_top-rated_occupation_only_niche_genre,"Big Fish, The Secret of Kells, The Fall, Moonrise Kingdom, The Adventures of Baron Munchausen, Hugo, The Iron Giant, My Neighbor Totoro, The City of Lost Children, Kiki's Delivery Service"
2502_top-rated_occupation_only_exclude_popular,"A Midsummer Night's Dream, The Secret of Roan Inish, The Fall of the House of Usher, The Little Princess, Harvey, The Great Mouse Detective, The Ghost and Mrs. Muir, The Red Balloon, The Night of the Hunter, The Secret of NIMH"
2502_top-rated_occupation_only_indie_international,"Cinema Paradiso, The Diving Bell and the Butterfly, Amélie, My Neighbor Totoro, The Triplets of Belleville, The Secret of Kells, The Spirit of the Beehive, Waking Life, Tokyo Story, Hiroshima Mon Amour"
2502_top-rated_occupation_only_temporal_diverse,"It’s a Wonderful Life, The Sound of Music, The Great Escape, To Kill a Mockingbird, The Wizard of Oz, The Sting, The Bridge on the River Kwai, Mary Poppins, Chariots of Fire, The Adventures of Robin Hood"
2502_top-rated_occupation_only_obscure_theme,"The Secret of NIMH, The Great Muppet Caper, A Boy and His Dog, The Peanut Butter Falcon, The Fall, Big Fish, The Adventures of Milo and Otis, Kiki's Delivery Service, The Iron Giant, Secondhand Lions"
2502_top-rated_all_attributes_baseline,"The Great Muppet Caper, Back to the Future, The Odd Couple, The Secret Life of Walter Mitty, The Sandlot, Big, To Kill a Mockingbird, The Princess Bride, The Majestic, A League of Their Own"
2502_top-rated_all_attributes_niche_genre,"Big Fish, The Secret Life of Walter Mitty, The Hundred-Foot Journey, A Man Called Ove, The Fall, The Adventures of Baron Munchausen, The Station Agent, The Pillars of the Earth, The Straight Story, The Navigator: A Medieval Odyssey"
2502_top-rated_all_attributes_exclude_popular,"The Court Jester, Harvey, The Man Who Fell to Earth, A Private Function, The Secret of Roan Inish, The Hundred-Foot Journey, The Last Picture Show, The Great Muppet Caper, The Fall, The Night of the Hunter"
2502_top-rated_all_attributes_indie_international,"Cinema Paradiso, The Spirit of the Beehive, Wings of Desire, Ikiru, The Intouchables, Pan's Labyrinth, The Lunchbox, A Man Called Ove, The Secret in Their Eyes, Toni Erdmann"
2502_top-rated_all_attributes_temporal_diverse,"It’s a Wonderful Life, The Great Escape, To Kill a Mockingbird, Lawrence of Arabia, The Sound of Music, Chariots of Fire, The Bridge on the River Kwai, The Sting, The Odd Couple, The Magnificent Seven"
