custom_id,movies
4751_top-rated_neutral_baseline,"The Remains of the Day, Lost in Translation, The Death of Stalin, Her, Fargo, The Grand Budapest Hotel, In the Mood for Love, The Thin Red Line, Coffee and Cigarettes, The King's Speech"
4751_top-rated_neutral_niche_genre,"The Spirit of the Beehive, In the Mood for Love, Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles, The Color of Pomegranates, Daughters of the Dust, The Holy Mountain, The Act of Killing, Sans Soleil, Come and See, Wings of Desire"
4751_top-rated_neutral_exclude_popular,"The Spirit of the Beehive, The Last Wave, The House is Black, A Ghost Story, The Tramp and the Dictator, The Reflecting Skin, The Color of Pomegranates, Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles, The Ascent, The King of Marvin Gardens"
4751_top-rated_neutral_indie_international,"The Spirit of the Beehive, In the Mood for Love, A Man Escaped, The Vanishing, Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles, Cleo from 5 to 7, The Double Life of Veronique, The Holy Mountain, Tokyo Story, The Spirit of the Beehive"
4751_top-rated_neutral_temporal_diverse,"12 Angry Men, Some Like It Hot, The Umbrellas of Cherbourg, Amélie, The Seventh Seal, Harold and Maude, All That Heaven Allows, The Philadelphia Story, Cinema Paradiso, Fargo"
4751_top-rated_neutral_obscure_theme,"The Heart of the Matter, The House Is Black, The Killing of a Sacred Deer, The Spirit of the Beehive, The Last Wave, The Quince Tree Sun, Vagabond, The Great Happiness Space, The Reflection of Pain, The Arbor"
4751_top-rated_gender_age_only_baseline,"The Remains of the Day, Lost in Translation, Fargo, The Grand Budapest Hotel, Her, No Country for Old Men, The Queen, Sideways, The Irishman, The King's Speech"
4751_top-rated_gender_age_only_niche_genre,"The Spirit of the Beehive, The Killing of a Sacred Deer, The Spirit of the Beehive, Paterson, In the Mood for Love, The Square, A Ghost Story, The Last Days of Disco, Holy Motors, The Mirror"
4751_top-rated_gender_age_only_exclude_popular,"The Last Detail, The Spirit of the Beehive, The Great Silence, The Heart of the World, The Passenger, The Browning Version, The Passenger, The Fire Within, The Tragedy of Macbeth, A Man Escaped"
4751_top-rated_gender_age_only_indie_international,"In the Mood for Love, The Spirit of the Beehive, A Separation, The Double Life of Veronique, Berlin Alexanderplatz, The Taste of Cherry, The Umbrellas of Cherbourg, Pan's Labyrinth, The Headless Woman, The Great Beauty"
4751_top-rated_gender_age_only_temporal_diverse,"12 Angry Men, The Philadelphia Story, The Apartment, All That Heaven Allows, Paris, Texas, The Killing of a Sacred Deer, Fargo, The Grand Budapest Hotel, Lost in Translation, Her"
4751_top-rated_gender_age_only_obscure_theme,"The Last of the Mohicans, The Heart of the Matter, The Passenger, The Spirit of the Beehive, The Chinese Boxer, The Passenger, The Heart is a Lonely Hunter, The Fire Within, The Killing of a Sacred Deer, The King of Marvin Gardens"
4751_top-rated_occupation_only_baseline,"The Imitation Game, The Theory of Everything, Contact, The Man Who Knew Infinity, A Beautiful Mind, The Prestige, Synecdoche, New York, The Discreet Charm of the Bourgeoisie, Fargo, Lost in Translation"
4751_top-rated_occupation_only_niche_genre,"The Spirit of the Beehive, The Cook, the Thief, His Wife & Her Lover, The Holy Mountain, Wings of Desire, The Double Life of Veronique, Ivan's Childhood, The Assassin, Stalker, The Great Beauty, Holy Motors"
4751_top-rated_occupation_only_exclude_popular,"The Spirit of the Beehive, The Last Wave, The Assassination of Jesse James by the Coward Robert Ford, The Spirit of the Beehive, The Heart of the World, The Quince Tree Sun, The Passenger, The Man Who Fell to Earth, The Killing of a Sacred Deer, The Killing of the Sacred Deer"
4751_top-rated_occupation_only_indie_international,"The Double Life of Véronique, In the Mood for Love, The Spirit of the Beehive, Pierrot le Fou, The Mirror, A Fantastic Woman, Hiroshima Mon Amour, The Great Beauty, My Dinner with Andre, The Sacrifice"
4751_top-rated_occupation_only_temporal_diverse,"12 Angry Men, The Grand Budapest Hotel, The Third Man, Rashomon, Amadeus, The Heartbreak Kid, The Last Wave, Fitzcarraldo, The Prime of Miss Jean Brodie, Glengarry Glen Ross"
4751_top-rated_occupation_only_obscure_theme,"The Heart of the Matter, The Killing of a Sacred Deer, The Man Who Fell to Earth, The Last Wave, The Spirit of the Beehive, The Quay Brothers' Institute Benjamenta, The Passenger, The Browning Version, The Great Silence, The Sacrifice"
4751_top-rated_all_attributes_baseline,"The Great Silence, Amour, The Third Man, Black Narcissus, The Umbrellas of Cherbourg, Fitzcarraldo, The Spirit of the Beehive, The Assassin, In the Mood for Love, The Double Life of Veronique"
4751_top-rated_all_attributes_niche_genre,"The Spirit of the Beehive, The Act of Killing, The Death of Mr. Lazarescu, The Last Wave, The House Is Black, The Great Beauty, Wings of Desire, The Arbor, The Quay Brothers' Films, The Mirror"
4751_top-rated_all_attributes_exclude_popular,"The Last Day of Summer, The Man Who Fell to Earth, The Double Life of Veronique, The Spirit of the Beehive, In the Mood for Love, The Act of Killing, Werner Herzog Eats His Shoe, The Killing of a Sacred Deer, The House Is Black, The Quay Brothers' Filmography"
4751_top-rated_all_attributes_indie_international,"The Spirit of the Beehive, The Double Life of Véronique, The Act of Killing, In the Mood for Love, Wings of Desire, The Lobster, A Separation, The Great Beauty, Toni Erdmann, The Headless Woman"
4751_top-rated_all_attributes_temporal_diverse,"12 Angry Men, The Third Man, Rashomon, The Spirit of the Beehive, Ikiru, The Great Escape, Amarcord, The Quiet Man, The Man Who Shot Liberty Valance, Stalker"
4751_top-rated_all_attributes_obscure_theme,"The Last Wave, The Heart of the World, The Spirit of the Beehive, The Mirror, The Housemaid, The Quince Tree Sun, The Man Who Fell to Earth, The Great Happiness Space, The Passenger, The Double Life of Veronique"
4752_top-rated_neutral_baseline,"When Harry Met Sally, Lost in Translation, Harold and Maude, Big Trouble in Little China, The Princess Bride, Amélie, Moonrise Kingdom, Some Like It Hot, The Philadelphia Story, Crazy Rich Asians"
4752_top-rated_neutral_niche_genre,"Big Trouble in Little China, Harold and Maude, The Adventures of Baron Munchausen, The Fall, Brazil, The Princess Bride (animated version), The Last Unicorn, Kiss Kiss Bang Bang, The Cook, the Thief, His Wife & Her Lover, Being John Malkovich"
4752_top-rated_neutral_exclude_popular,"Husbands and Wives, The Last Detail, The Killing of a Sacred Deer, The Double Life of Veronique, The Conformist, The Spirit of the Beehive, A Ghost Story, In the Mood for Love, The Enigma of Kaspar Hauser, The Man Who Fell to Earth"
4752_top-rated_neutral_indie_international,"Amélie, In the Mood for Love, The Triplets of Belleville, Pan's Labyrinth, The Spirit of the Beehive, Wings of Desire, Run Lola Run, Cinema Paradiso, Toni Erdmann, The Fall"
4752_top-rated_neutral_temporal_diverse,"Some Like It Hot, Casablanca, Singin' in the Rain, Roman Holiday, To Kill a Mockingbird, Amélie, Harold and Maude, The Philadelphia Story, The Apartment, When Harry Met Sally"
4752_top-rated_neutral_obscure_theme,"The Fall, Hunt for the Wilderpeople, The Secret of Kells, Big Trouble in Little China, The Adventures of Buckaroo B. Benson, The Man Who Would Be King, Moonrise Kingdom, The Thief of Bagdad, The Last Unicorn, The Princess and the Goblin"
4752_top-rated_gender_age_only_baseline,"Notting Hill, Amélie, 10 Things I Hate About You, Crazy Rich Asians, When Harry Met Sally, Eternal Sunshine of the Spotless Mind, Legally Blonde, Clueless, Love Actually, The Princess Diaries"
4752_top-rated_gender_age_only_niche_genre,"The Secret of Kells, The Fall, Amélie, Big Fish, Moonrise Kingdom, Eternal Sunshine of the Spotless Mind, Pan's Labyrinth, Her, The Imaginarium of Doctor Parnassus, Sing Street"
4752_top-rated_gender_age_only_exclude_popular,"Happiness, Loves of a Blonde, The Last Days of Disco, The Spirit of the Beehive, A Ghost Story, Lola, The Souvenir, In the Mood for Love, Paris, Texas, The Double Life of Veronique"
4752_top-rated_gender_age_only_indie_international,"Amélie, The Double Life of Véronique, In the Mood for Love, Frances Ha, Portrait of a Lady on Fire, The Lunchbox, Blue Is the Warmest Color, Her, Eternal Sunshine of the Spotless Mind, The Fall"
4752_top-rated_gender_age_only_temporal_diverse,"Clueless, Roman Holiday, Casablanca, North by Northwest, Amélie, Breakfast at Tiffany's, Some Like It Hot, Singin' in the Rain, Pride and Prejudice, Eternal Sunshine of the Spotless Mind"
4752_top-rated_gender_age_only_obscure_theme,"Big Trouble in Little China, The Secret of Kells, Hunt for the Wilderpeople, The Fall, Moonrise Kingdom, The Adventures of Buckaroo Bunch, A Knight's Tale, The Last Days of Disco, The Dish, Stardust"
4752_top-rated_occupation_only_baseline,"When Harry Met Sally, Amélie, Some Like It Hot, Harold and Maude, The Apartment, Eternal Sunshine of the Spotless Mind, Lost in Translation, Moonrise Kingdom, Crazy Rich Asians, Her"
4752_top-rated_occupation_only_niche_genre,"Big Fish, The Fall, Harold and Maude, Amélie, Eternal Sunshine of the Spotless Mind, The Secret Life of Walter Mitty, Moonrise Kingdom, The Grand Budapest Hotel, Pan's Labyrinth, The Cook, the Thief, His Wife & Her Lover"
4752_top-rated_occupation_only_exclude_popular,"Harold and Maude, The Last Seduction, Eternal Sunshine of the Spotless Mind, The Double Life of Veronique, Picnic at Hanging Rock, The Man Who Fell to Earth, Hiroshima Mon Amour, Local Hero, Buffalo '66, In the Mood for Love"
4752_top-rated_occupation_only_indie_international,"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles, In the Mood for Love, The Spirit of the Beehive, A Man Escaped, L'avventura, Hiroshima Mon Amour, The Double Life of Veronique, Pierrot le Fou, The Umbrellas of Cherbourg, Wings of Desire"
4752_top-rated_occupation_only_temporal_diverse,"Some Like It Hot, Casablanca, Harold and Maude, The Apartment, To Kill a Mockingbird, Amélie, The Philadelphia Story, Roman Holiday, The 40-Year-Old Virgin, Eternal Sunshine of the Spotless Mind"
4752_top-rated_occupation_only_obscure_theme,"The Fall, Big Trouble in Little China, The Adventures of Baron Munchausen, The Thief of Bagdad, Harold and Maude, The Secret of Kells, The Long Goodbye, Time Bandits, Husbands, The Last Starfighter"
4752_top-rated_all_attributes_baseline,"When Harry Met Sally, Clueless, 10 Things I Hate About You, Crazy Rich Asians, Notting Hill, Legally Blonde, Amélie, The Princess Diaries, Mean Girls, To All the Boys I've Loved Before"
4752_top-rated_all_attributes_niche_genre,"Eternal Sunshine of the Spotless Mind, Amélie, Harold and Maude, Little Miss Sunshine, The Lobster, Moonrise Kingdom, Francis Ha, The Fall, The Last Days of Disco, In the Mood for Love"
4752_top-rated_all_attributes_exclude_popular,"Husbands and Wives, Lilya 4-Ever, The Last Days of Disco, The Heartbreak Kid, Mona Lisa, A Ghost Story, The Celebration, In the Mood for Love, Cléo from 5 to 7, The Party"
4752_top-rated_all_attributes_indie_international,"Amélie, Lost in Translation, The Lunchbox, Frances Ha, In the Mood for Love, Before Sunrise, Julie & Julia, Eternal Sunshine of the Spotless Mind, The Double Life of Véronique, Persepolis"
4752_top-rated_all_attributes_temporal_diverse,"Clueless, Amélie, Some Like It Hot, Roman Holiday, When Harry Met Sally, Lost in Translation, Moonstruck, Harold and Maude, Breakfast at Tiffany's, Eternal Sunshine of the Spotless Mind"
4752_top-rated_all_attributes_obscure_theme,"Stardust, Hunt for the Wilderpeople, Sing Street, The Fall, The Secret of Kells, Moonrise Kingdom, Amélie, Big Fish, The Adventures of Priscilla, Queen of the Desert, Submarine"
