custom_id,movies
4251_top-rated_neutral_baseline,"Schindler's List, Forrest Gump, The Shawshank Redemption, Se7en, The Godfather, Goodfellas, The Silence of the Lambs, The Birdcage, Dead Man Walking, A Few Good Men"
4251_top-rated_neutral_niche_genre,"Come and See, A Ghost Story, The Killing of a Sacred Deer, The Proposition, In the Mood for Love, The Assassination of Jesse James by the Coward Robert Ford, Dogtooth, The Fall, The House That Jack Built, Memento Mori"
4251_top-rated_neutral_exclude_popular,"A Midnight Clear, The Kill Team, The Last of the Mohicans, The House That Jack Built, The Assassination of Jesse James by the Coward Robert Ford, The Sweet Hereafter, The King of Marvin Gardens, The Reflecting Skin, The Celebration, The Straight Story"
4251_top-rated_neutral_indie_international,"City of God, Pan's Labyrinth, In the Mood for Love, The Hunt, 4 Months, 3 Weeks and 2 Days, Amélie, A Separation, The Spirit of the Beehive, The Counterfeiters, The Celebration"
4251_top-rated_neutral_temporal_diverse,"Apocalypse Now, All the President's Men, The Bridge on the River Kwai, Chinatown, M*A*S*H, 12 Angry Men, The Godfather, One Flew Over the Cuckoo's Nest, The Great Escape, To Kill a Mockingbird"
4251_top-rated_neutral_obscure_theme,"Come and See, The Fall, The Last of the Mohicans, The Killing of a Sacred Deer, The Long Goodbye, The Reflecting Skin, The Assassin, The Spirit of the Beehive, The House That Jack Built, The Celebration"
4251_top-rated_gender_age_only_baseline,"Schindler's List, Full Metal Jacket, Apocalypse Now, The Shawshank Redemption, No Country for Old Men, The Godfather, American History X, The Departed, Goodfellas, Pulp Fiction"
4251_top-rated_gender_age_only_niche_genre,"Come and See, A Quiet Place, The Hunt for Red October, The Lives of Others, Dogtooth, In the Mood for Love, The Act of Killing, Blue Velvet, Burning, The Great Beauty"
4251_top-rated_gender_age_only_exclude_popular,"A Midnight Clear, The Killing Fields, The Last Wave, The House That Jack Built, The Sweet Hereafter, The Celebration, The Reflecting Skin, The King of Marvin Gardens, The River's Edge, The Assassin"
4251_top-rated_gender_age_only_indie_international,"City of God, A Prophet, The Hunt, In the Mood for Love, Pan's Labyrinth, The Square, Incendies, Toni Erdmann, The Intouchables, The Lives of Others"
4251_top-rated_gender_age_only_temporal_diverse,"Full Metal Jacket, No Country for Old Men, The Godfather, The Shawshank Redemption, Apocalypse Now, The Silence of the Lambs, 12 Angry Men, Chinatown, The Apartment, L.A. Confidential"
4251_top-rated_gender_age_only_obscure_theme,"A Midnight Clear, The Killing Fields, The Last of the Mohicans, The Big Red One, The House of the Spirits, The Assassination of Jesse James by the Coward Robert Ford, In the Valley of Elah, The Sweet Hereafter, The Eagle Has Landed, The Friendship Game"
4251_top-rated_occupation_only_baseline,"Schindler's List, The Insider, A Few Good Men, The King's Speech, 12 Angry Men, The Hunt for Red October, All the President's Men, The Godfather, Spotlight, The Post"
4251_top-rated_occupation_only_niche_genre,"Tinker Tailor Soldier Spy, The Insider, Michael Clayton, The Last of the Mohicans, The Assassination of Jesse James by the Coward Robert Ford, A Few Good Men, The Ghost Writer, The Verdict, The Man Who Fell to Earth, The Cook, the Thief, His Wife & Her Lover"
4251_top-rated_occupation_only_exclude_popular,"A Private War, The Insider, Michael Clayton, The Constant Gardener, The Last of the Mohicans, The Ghost Writer, Michael Collins, The Night Manager, The Sweet Hereafter, The Year of Living Dangerously"
4251_top-rated_occupation_only_indie_international,"In the Mood for Love, City of God, Pan's Labyrinth, The Intouchables, Toni Erdmann, The Hunt, A Separation, The Lives of Others, The Diving Bell and the Butterfly, Incendies"
4251_top-rated_occupation_only_temporal_diverse,"All the President's Men, 12 Angry Men, Schindler's List, The Godfather, Network, The Hunt for Red October, The Sting, To Kill a Mockingbird, A Few Good Men, The Insider"
4251_top-rated_occupation_only_obscure_theme,"The Last of the Mohicans, The Assassination of Jesse James by the Coward Robert Ford, The Constant Gardener, Michael Clayton, The Insider, The King of Comedy, A Touch of Evil, The Paper Chase, The Kill Team, The Salton Sea"
4251_top-rated_all_attributes_baseline,"Schindler's List, Se7en, The Godfather, No Country for Old Men, The Departed, American Psycho, The Insider, Fargo, The Insider, Heat"
4251_top-rated_all_attributes_niche_genre,"A Few Good Men, The Insider, Michael Clayton, Network, The Killing of a Sacred Deer, The Spy Who Came in from the Cold, Tinker Tailor Soldier Spy, The Assassination of Jesse James by the Coward Robert Ford, In the Mood for Love, The Last of the Mohicans"
4251_top-rated_all_attributes_exclude_popular,"The Last of the Mohicans, A Simple Plan, The Man Who Wasn't There, The Constant Gardener, Michael Clayton, The Insider, The Ice Storm, The House of Mirth, The Sweet Hereafter, The Pelican Brief"
4251_top-rated_all_attributes_indie_international,"A Prophet, In the Mood for Love, The Hunt, The Lives of Others, City of God, Pan's Labyrinth, Toni Erdmann, The Intouchables, The Celebration, The Secret in Their Eyes"
4251_top-rated_all_attributes_temporal_diverse,"Schindler's List, The Godfather, The Hunt for Red October, 12 Angry Men, Chinatown, Network, All the President's Men, The Departed, The Bourne Identity, Glengarry Glen Ross"
4251_top-rated_all_attributes_obscure_theme,"The Last of the Mohicans, A Very Long Engagement, The Assassination of Jesse James by the Coward Robert Ford, The Insider, Michael Collins, The Mission, The Grey Zone, The Eagle, The Counterfeiters, The Man Who Shot Liberty Valance"
4252_top-rated_neutral_baseline,"The Silence of the Lambs, Se7en, Requiem for a Dream, The Shawshank Redemption, Pulp Fiction, The Prestige, Black Swan, Fight Club, No Country for Old Men, Eternal Sunshine of the Spotless Mind"
4252_top-rated_neutral_niche_genre,"Eternal Sunshine of the Spotless Mind, Donnie Darko, Synecdoche, New York, Memento, Fight Club, Requiem for a Dream, Being John Malkovich, The Machinist, Lost in Translation, Blue Velvet"
4252_top-rated_neutral_exclude_popular,"The Sweet Hereafter, Lantana, Hiroshima Mon Amour, The Double Life of Veronique, In the Mood for Love, Mysterious Skin, The Fever, Dogtooth, The Housemaid, The Last Days of Disco"
4252_top-rated_neutral_indie_international,"In the Mood for Love, The Taste of Tea, A Separation, Blue Velvet, The Wind Rises, Wild Strawberries, The Diving Bell and the Butterfly, Pan's Labyrinth, Once, Tokyo Story"
4252_top-rated_neutral_temporal_diverse,"The Silence of the Lambs, 12 Angry Men, Blade Runner, Schindler's List, Requiem for a Dream, The Shawshank Redemption, Chinatown, The Graduate, Eternal Sunshine of the Spotless Mind, The Thing"
4252_top-rated_neutral_obscure_theme,"The Fall, The Void, Coherence, The Invitation, The Machinist, The Man from Earth, A Ghost Story, The Fountain, Mysterious Skin, The Proposition"
4252_top-rated_gender_age_only_baseline,"The Silence of the Lambs, Eternal Sunshine of the Spotless Mind, Black Swan, Amélie, Lost in Translation, The Virgin Suicides, Requiem for a Dream, Her, Freaks and Geeks, The Breakfast Club"
4252_top-rated_gender_age_only_niche_genre,"Eternal Sunshine of the Spotless Mind, Requiem for a Dream, Blue Velvet, The Fall, Donnie Darko, The Virgin Suicides, Lost in Translation, Her, Mysterious Skin, Nowhere"
4252_top-rated_gender_age_only_exclude_popular,"The Double Life of Veronique, In the Mood for Love, The Virgin Suicides, An Angel at My Table, The Piano, Mysterious Skin, Lost in Translation, Frances Ha, The Celebration, Winter's Bone"
4252_top-rated_gender_age_only_indie_international,"Frances Ha, The Lunchbox, Amélie, Wendy and Lucy, The Double Life of Veronique, Blue Is the Warmest Color, In the Mood for Love, The Fits, A Girl Walks Home Alone at Night, Paterson"
4252_top-rated_gender_age_only_temporal_diverse,"Requiem for a Dream, The Piano, Pulp Fiction, Eternal Sunshine of the Spotless Mind, Black Swan, The Breakfast Club, 12 Angry Men, Her, Amélie, The Virgin Suicides"
4252_top-rated_gender_age_only_obscure_theme,"The Fall, The Virgin Suicides, Coherence, The Double Life of Veronique, Mysterious Skin, Dogtooth, Melancholia, The Last Seduction, In the Mood for Love, The Handmaiden"
4252_top-rated_occupation_only_baseline,"The Shawshank Redemption, Forrest Gump, The Silence of the Lambs, The Green Mile, Schindler's List, Good Will Hunting, The Truman Show, Fight Club, Se7en, The Departed"
4252_top-rated_occupation_only_niche_genre,"Eternal Sunshine of the Spotless Mind, Requiem for a Dream, Donnie Darko, The Fall, Blue Velvet, The Holy Mountain, Synecdoche, New York, Memento, Pi, The Fountain"
4252_top-rated_occupation_only_exclude_popular,"The Sweet Hereafter, Hiroshima Mon Amour, The Celebration, In the Mood for Love, Memento, The Double Life of Veronique, The Killing of a Sacred Deer, The Last Days of Disco, Lost in Translation, A Ghost Story"
4252_top-rated_occupation_only_indie_international,"In the Mood for Love, Blue Is the Warmest Color, Pan's Labyrinth, The Hunt, A Separation, The Double Life of Véronique, Roma, The Wind Rises, Once, The Lunchbox"
4252_top-rated_occupation_only_temporal_diverse,"12 Angry Men, The Shawshank Redemption, Casablanca, The Godfather, Requiem for a Dream, Pulp Fiction, The Silence of the Lambs, To Kill a Mockingbird, Forest Gump, The Breakfast Club"
4252_top-rated_occupation_only_obscure_theme,"The Fall, The Station Agent, Coherence, The Man from Earth, Memento, The Machinist, Moon, Donnie Darko, The Celebration, A Ghost Story"
4252_top-rated_all_attributes_baseline,"The Devil Wears Prada, Hidden Figures, The Imitation Game, Little Miss Sunshine, Eternal Sunshine of the Spotless Mind, The Help, Amélie, The Truman Show, Brooklyn, Marie Antoinette"
4252_top-rated_all_attributes_niche_genre,"Eternal Sunshine of the Spotless Mind, Donnie Darko, Lost in Translation, The Fall, The Royal Tenenbaums, Amélie, Synecdoche, New York, Her, Pan's Labyrinth, The Science of Sleep"
4252_top-rated_all_attributes_exclude_popular,"The Double Life of Veronique, In the Mood for Love, The Secret Life of Others, Lost in Translation, Frances Ha, The Savages, An Angel at My Table, The Ice Storm, Hiroshima Mon Amour, The Killing of a Sacred Deer"
4252_top-rated_all_attributes_indie_international,"Frances Ha, Wendy and Lucy, The Farewell, Amélie, In the Mood for Love, A Girl Walks Home Alone at Night, The Double Life of Véronique, Cléo from 5 to 7, Lost in Translation, The Souvenir"
4252_top-rated_all_attributes_temporal_diverse,"The Breakfast Club, Clueless, The Silence of the Lambs, Pulp Fiction, The Truman Show, Amélie, The Shawshank Redemption, Legally Blonde, Eternal Sunshine of the Spotless Mind, Hidden Figures"
4252_top-rated_all_attributes_obscure_theme,"The Fall, Thoroughbreds, The Secret of Kells, Hunt for the Wilderpeople, Eternal Sunshine of the Spotless Mind, Moon, The Station Agent, A Ghost Story, The Man Who Fell to Earth, The Celebration"
4253_top-rated_neutral_baseline,"Indiana Jones and the Raiders of the Lost Ark, Back to the Future, The Mummy, Guardians of the Galaxy, The Fifth Element, Pirates of the Caribbean: The Curse of the Black Pearl, Galaxy Quest, Stardust, The NeverEnding Story, Big Trouble in Little China"
4253_top-rated_neutral_niche_genre,"Stardust, The Fall, Serenity, Pan's Labyrinth, Moon, The Fountain, Big Fish, The Adventures of Baron Munchausen, Paprika, The Secret of Kells"
4253_top-rated_neutral_indie_international,"City of God, Pan's Labyrinth, The Hunt, A Separation, The Intouchables, Oldboy, Run Lola Run, The Secret in Their Eyes, Amélie, The Lives of Others"
4253_top-rated_neutral_temporal_diverse,"Ben-Hur, The Mummy, Aliens, The Princess Bride, The Empire Strikes Back, Indiana Jones and the Raiders of the Lost Ark, Mad Max: Fury Road, The Thing, Guardians of the Galaxy, Back to the Future"
4253_top-rated_neutral_obscure_theme,"The Last Starfighter, Sky Captain and the World of Tomorrow, The Hidden Fortress, Stardust, The Adventures of Buckaroo B¹oy, Time Bandits, The Brothers Bloom, The Iron Giant, The Fall, Kiki's Delivery Service"
4253_top-rated_gender_age_only_baseline,"Indiana Jones and the Raiders of the Lost Ark, The Mummy, Back to the Future, Guardians of the Galaxy, The Fifth Element, Stardust, Pirates of the Caribbean: The Curse of the Black Pearl, The NeverEnding Story, The Dark Knight, Edge of Tomorrow"
4253_top-rated_gender_age_only_niche_genre,"Stardust, The Fall, The Adventures of Baron Munchausen, The City of Lost Children, Pan's Labyrinth, Big Fish, The Secret of Kells, Dark City, The Brothers Bloom, Time Bandits"
4253_top-rated_gender_age_only_exclude_popular,"The Last Crusade, Moon, Stalker, The Man Who Fell to Earth, Time Bandits, Brazil, The City of Lost Children, Dark City, The Iron Giant, The Adventures of Buckaroo B-52s"
4253_top-rated_gender_age_only_indie_international,"City of God, Pan's Labyrinth, The Handmaiden, Oldboy, Amélie, The Secret in Their Eyes, In the Mood for Love, The Intouchables, Toni Erdmann, A Separation"
4253_top-rated_gender_age_only_temporal_diverse,"Raiders of the Lost Ark, The Terminator, Blade Runner, Mad Max: Fury Road, The Good, the Bad and the Ugly, Aliens, Back to the Future, The Princess Bride, Gladiator, The Fifth Element"
