custom_id,movies
5751_recent_neutral_baseline,"The Lion King, Toy Story, Finding Nemo, The Little Mermaid, Beauty and the Beast, Frozen, Moana, Kung Fu Panda, Shrek, The Incredibles"
5751_recent_neutral_niche_genre,"The Secret of Kells, Song of the Sea, The Iron Giant, Kiki's Delivery Service, The Last Unicorn, My Neighbor Totoro, The Adventures of Prince Achmed, Watership Down, The Plague Dogs, The Nightmare Before Christmas"
5751_recent_neutral_exclude_popular,"The Secret of NIMH, The Little Mermaid, The Iron Giant, The Rescuers, The Pagemaster, The Land Before Time, The Brave Little Toaster, The NeverEnding Story, The Secret of the Wings, The Pebble and the Penguin"
5751_recent_neutral_indie_international,"The Secret of Kells, Persepolis, My Neighbor Totoro, The Triplets of Belleville, The Red Turtle, Song of the Sea, Kiki's Delivery Service, Waltz with Bashir, The Boy and the World, The Spirit of the Beehive"
5751_recent_neutral_temporal_diverse,"The Secret of NIMH, The Iron Giant, Willy Wonka & the Chocolate Factory, The Little Mermaid, Robin Hood, The Rescuers, Peter Pan, The NeverEnding Story, The Jungle Book, Bambi"
5751_recent_neutral_obscure_theme,"The Secret of Kells, A Shaun the Sheep Movie: Farmageddon, The Iron Giant, The Little Prince, Song of the Sea, The Pagemaster, Kirikou and the Sorceress, The Boy and the World, My Neighbor Totoro, The Triplets of Belleville"
5751_recent_gender_age_only_baseline,"Tangled, Moana, Frozen, The Little Mermaid, Beauty and the Beast, Coco, Zootopia, Kung Fu Panda, Raya and the Last Dragon, Mulan"
5751_recent_gender_age_only_niche_genre,"Song of the Sea, The Secret of Kells, Princess Mononoke, Kiki's Delivery Service, My Neighbor Totoro, The Iron Giant, Coraline, The Little Prince, Moana, The Tale of the Princess Kaguya"
5751_recent_gender_age_only_exclude_popular,"The Secret of NIMH, The Little Mermaid, The Iron Giant, Kiki's Delivery Service, The Rescuers, The Pagemaster, The Adventures of Milo and Otis, The Secret of the Kells, The Land Before Time, The Tale of the Princess Kaguya"
5751_recent_gender_age_only_indie_international,"Whale Rider, Persepolis, The Secret of Kells, Song of the Sea, My Neighbor Totoro, The Breadwinner, Kiki's Delivery Service, A Silent Voice, The Triplets of Belleville, The Red Turtle"
5751_recent_gender_age_only_temporal_diverse,"The Little Mermaid, Matilda, The Secret of NIMH, The Princess Bride, Harry Potter and the Sorcerer's Stone, Stardust, How to Train Your Dragon, Ponyo, The Iron Giant, Kiki's Delivery Service"
5751_recent_gender_age_only_obscure_theme,"The Secret of Roan Inish, The Little Prince, The Iron Giant, Kiki's Delivery Service, The Pagemaster, My Neighbor Totoro, The Tale of the Princess Kaguya, The Rescuers Down Under, Song of the Sea, The Water Horse"
5751_recent_occupation_only_baseline,"Toy Story, The Iron Giant, Beauty and the Beast, Finding Nemo, Robin Hood, The Little Mermaid, Kung Fu Panda, Moana, Cars, Shrek"
5751_recent_occupation_only_niche_genre,"The Secret of NIMH, The Iron Giant, The Little Polar Bear, Song of the Sea, Kiki's Delivery Service, The Plague Dogs, The Gruffalo's Child, The Tale of the Princess Kaguya, The Wind Rises, Wolfwalkers"
5751_recent_occupation_only_exclude_popular,"The Secret of NIMH, The Iron Giant, The Little Mermaid, The Rescuers, The Land Before Time, The Pagemaster, The Water Babies, The Great Mouse Detective, The Adventures of Milo and Otis, The Gruffalo"
5751_recent_occupation_only_indie_international,"The Secret of Kells, Song of the Sea, My Neighbor Totoro, The Triplets of Belleville, Kiki's Delivery Service, The Red Turtle, Persepolis, Waltz with Bashir, The Painting, The Wind Rises"
5751_recent_occupation_only_temporal_diverse,"The Secret of NIMH, Willy Wonka & the Chocolate Factory, The Iron Giant, Mary Poppins, The Little Mermaid, Toy Story, The Rescuers, The NeverEnding Story, Paddington, Robin Hood"
5751_recent_occupation_only_obscure_theme,"The Secret of Moonacre, The Little Prince, The Iron Giant, The Pagemaster, The Thief and the Cobbler, The Adventures of Rocky and Bullwinkle, The Flight of the Dragons, The King and I, The Pebble and the Penguin, The NeverEnding Story"
5751_recent_all_attributes_baseline,"Moana, Frozen, Tangled, The Little Mermaid, Beauty and the Beast, Coco, Brave, The Princess and the Frog, Kung Fu Panda, Raya and the Last Dragon"
5751_recent_all_attributes_niche_genre,"The Secret of Kells, Song of the Sea, The Little Prince, Kiki's Delivery Service, My Neighbor Totoro, The Iron Giant, The Gruffalo, Wolfwalkers, Coraline, The Boy and the World"
5751_recent_all_attributes_exclude_popular,"The Secret of NIMH, The Last Unicorn, The Pagemaster, The Great Mouse Detective, The Rescuers, The Iron Giant, An American Tail, The Adventures of Milo and Otis, The Borrowers, The Water Horse"
5751_recent_all_attributes_indie_international,"The Secret of Kells, Song of the Sea, The Breadwinner, My Neighbor Totoro, The Girl Who Leapt Through Time, Whisper of the Heart, The Painting, Kiki's Delivery Service, The Wind Rises, A Silent Voice"
5751_recent_all_attributes_temporal_diverse,"The Little Mermaid, Mulan, The Princess Bride, Tangled, The Secret of NIMH, Frozen, Beauty and the Beast, Ponyo, Kiki's Delivery Service, The Iron Giant"
5751_recent_all_attributes_obscure_theme,"The Secret of Kells, Song of the Sea, The Little Prince, The Iron Giant, Kiki's Delivery Service, The Pebble and the Penguin, The Brave Little Toaster, The Gruffalo's Child, The Wind in the Willows, The Box Trolls"
5752_recent_neutral_baseline,"Clueless, The Princess Bride, Ferris Bueller's Day Off, Little Miss Sunshine, The Birdcage, Moonrise Kingdom, The Grand Budapest Hotel, Hairspray, Singin' in the Rain, The Rocky Horror Picture Show"
5752_recent_neutral_niche_genre,"Big Night, The Last Days of Disco, The Band's Visit, The Dish, The Trip to Barnberg, In the Mood for Love, Waiting for Guffman, Moonrise Kingdom, The Fall, The Science of Sleep"
5752_recent_neutral_exclude_popular,"The Grand Seduction, Big Night, The Dish, The Dish and the Spoon, The Station Agent, A Midsummer Night's Dream (1935), The Dishonest Gentleman, The Last Days of Disco, The Little Prince (2015), The Secret of Kells"
5752_recent_neutral_indie_international,"The King of Masks, In the Mood for Love, The Triplets of Belleville, Toni Erdmann, The Hunt, Wild Tales, Amélie, The Lunchbox, A Separation, The Great Beauty"
5752_recent_neutral_temporal_diverse,"Some Like It Hot, The Philadelphia Story, Bringing Up Baby, The Odd Couple, To Be or Not to Be, Arsenic and Old Lace, Wedding Crashers, The Princess Bride, The Grand Budapest Hotel, The Ballad of Buster Scruggs"
5752_recent_neutral_obscure_theme,"The Whole Wide World, The Imposter, Big Night, The Station Agent, In the Mood for Love, The Fall, The Band's Visit, Lars and the Real Girl, The Dish, A Mighty Wind"
5752_recent_gender_age_only_baseline,"When Harry Met Sally, Notting Hill, The Proposal, Crazy Rich Asians, Legally Blonde, The Devil Wears Prada, Music and Lyrics, Bridget Jones's Diary, The Princess Diaries, 13 Going on 30"
5752_recent_gender_age_only_niche_genre,"Big Fish, Amélie, The Fall, Moonrise Kingdom, The Grand Budapest Hotel, Pan's Labyrinth, The Science of Sleep, Little Miss Sunshine, The Imaginarium of Doctor Parnassus, Wristcutters: A Love Story"
5752_recent_gender_age_only_exclude_popular,"The Last Seduction, In the Mood for Love, The Last Days of Disco, Four Weddings and a Funeral, The Double Life of Veronique, The Farewell, The Love Parade, A Ghost Story, The Double, Happiness"
5752_recent_gender_age_only_indie_international,"The Farewell, Amélie, In the Mood for Love, The Double Life of Veronique, Toni Erdmann, The Lunchbox, Lost in Translation, Frances Ha, A Fantastic Woman, Wadjda"
5752_recent_gender_age_only_temporal_diverse,"Some Like It Hot, Clueless, The Philadelphia Story, Bringing Up Baby, To Wong Foo, Thanks for Everything! Julie Newmar, The Princess Bride, Moonstruck, Singin' in the Rain, Dirty Dancing, When Harry Met Sally"
5752_recent_gender_age_only_obscure_theme,"In the Mood for Love, The Last Seduction, The Dish, The Princess Bride, The Ref, Waiting for Guffman, The Half of It, A Midsummer Night's Dream (1999), Happiest Season, The Brothers Bloom"
5752_recent_occupation_only_baseline,"The Birdcage, Clueless, To Wong Foo, Thanks for Everything! Julie Newmar, The Princess Diaries, Little Miss Sunshine, The Grand Budapest Hotel, Hairspray, Crazy Rich Asians, The Intouchables, Legally Blonde"
5752_recent_occupation_only_niche_genre,"The Adventures of Priscilla, Queen of the Desert, Toni Erdmann, The Fall, Big Fish, The Holy Mountain, Amélie, The Cook, the Thief, His Wife & Her Lover, Pan's Labyrinth, The Grand Budapest Hotel, The Secret of Kells"
