custom_id,movies
4501_top-rated_neutral_baseline,"Gone with the Wind, To Kill a Mockingbird, The Shawshank Redemption, Pulp Fiction, The Godfather, Stand by Me, Scent of a Woman, Goodfellas, Night at the Opera, Rebel Without a Cause"
4501_top-rated_neutral_niche_genre,"The Third Man, Stalker, Fitzcarraldo, The Night of the Hunter, Blue Velvet, The Spirit of the Beehive, The Ascent, Wings of Desire, Come and See, A Ghost Story"
4501_top-rated_neutral_exclude_popular,"The Sweet Hereafter, The Man Who Would Be King, The Last Wave, The Passenger, The Killing of a Sacred Deer, The Proposition, A Ghost Story, The Spirit of the Beehive, The Conversation, The Heart of the World"
4501_top-rated_neutral_indie_international,"A Separation, The Spirit of the Beehive, In the Mood for Love, Pan's Labyrinth, The Double Life of Véronique, Cinema Paradiso, Run Lola Run, The Return, The Hunt, Toni Erdmann"
4501_top-rated_neutral_temporal_diverse,"Gone with the Wind, The Third Man, Rebel Without a Cause, Some Like It Hot, To Kill a Mockingbird, Pulp Fiction, The Apartment, 12 Angry Men, Annie Hall, The Graduate"
4501_top-rated_neutral_obscure_theme,"The Night of the Hunter, The Passenger, The Last Wave, The Spirit of the Beehive, Picnic at Hanging Rock, The Proposition, The Battle of Algiers, The Celebration, Murmur of the Hearts, The Reflecting Skin"
4501_top-rated_gender_age_only_baseline,"The Godfather, Pulp Fiction, Goodfellas, The Shawshank Redemption, Fight Club, Inception, The Dark Knight, Forrest Gump, American History X, The Breakfast Club"
4501_top-rated_gender_age_only_niche_genre,"Blow-Up, The Third Man, The Killing of a Sacred Deer, Naked Lunch, Memento, The Cook, the Thief, His Wife & Her Lover, Donnie Darko, The Holy Mountain, Stalker, Brazil"
4501_top-rated_gender_age_only_exclude_popular,"The Last Picture Show, The Killing of a Sacred Deer, The Night of the Hunter, Memento, The Double Life of Veronique, Blue Velvet, The Spirit of the Beehive, Picnic at Hanging Rock, The Conversation, Hiroshima Mon Amour"
4501_top-rated_gender_age_only_indie_international,"City of God, A Prophet, The Handmaiden, Pan's Labyrinth, In the Mood for Love, The Secret in Their Eyes, Let the Right One In, Cinema Paradiso, The Diving Bell and the Butterfly, Memories of Murder"
4501_top-rated_gender_age_only_temporal_diverse,"Double Indemnity, Chinatown, The Graduate, Rebel Without a Cause, The Third Man, The Sting, Pulp Fiction, Goodfellas, The Breakfast Club, To Kill a Mockingbird"
4501_top-rated_gender_age_only_obscure_theme,"The Third Man, Memento, The Killing of a Sacred Deer, The Night of the Hunter, The Assassination of Jesse James by the Coward Robert Ford, The Last Seduction, The Friend, The Man Who Fell to Earth, The Proposition, The Spirit of the Beehive"
4501_top-rated_occupation_only_baseline,"12 Angry Men, The Third Man, Good Will Hunting, The Silence of the Lambs, The Name of the Rose, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Catch Me If You Can, The Breakfast Club, Memento, The Prestige"
4501_top-rated_occupation_only_niche_genre,"The Third Man, Stalker, The Man Who Fell to Earth, Blade Runner, The Spirit of the Beehive, Brazil, Solaris, The Holy Mountain, Fitzcarraldo, Eraserhead"
