custom_id,movies
251_recent_neutral_baseline,"Dunkirk, Black Hawk Down, Lone Survivor, Hacksaw Ridge, Unforgiven, The Patriot, Band of Brothers, The Outlaw Josey Wales, Saving Private Ryan (Director's Cut), 13 Hours: The Secret Soldiers of Benghazi"
251_recent_neutral_niche_genre,"The Proposition, The Assassination of Jesse James by the Coward Robert Ford, Come and See, A Bittersweet Life, The Proposition, Master and Commander: The Far Side of the World, The Searchers, McCabe & Mrs. Miller, The Proposition, The Proposition"
251_recent_neutral_exclude_popular,"A Midnight Clear, The Last of the Mohicans, The Big Gundown, The Train, Monte Walsh, The Assassination of Jesse James by the Coward Robert Ford, The Prisoner of Zenda, Fortress, The Proposition, The Eagle Has Landed"
251_recent_neutral_indie_international,"City of God, A Separation, The Hunt, The Chaser, Infernal Affairs, Let the Right One In, The Secret in Their Eyes, Pan's Labyrinth, The Wind That Shakes the Barley, Downfall"
251_recent_neutral_temporal_diverse,"Braveheart, Schindler's List, The Searchers, Full Metal Jacket, Apocalypse Now, The Untouchables, Django Unchained, The Great Escape, Lone Star, Papillon"
251_recent_neutral_obscure_theme,"The Wind That Shakes the Barley, The Assassination of Jesse James by the Coward Robert Ford, Come and See, The Eagle Huntress, The Proposition, A Bullet for Pretty Boy, The Proposition, The Big Gundown, The Grey Zone, The Homesman"
251_recent_gender_age_only_baseline,"Black Hawk Down, Lone Survivor, Django Unchained, The Outlaw Josey Wales, Heat, Saving Private Ryan, Apocalypse Now, The Patriot, Unforgiven, Band of Brothers"
251_recent_gender_age_only_niche_genre,"The Proposition, Hell or High Water, The Assassination of Jesse James by the Coward Robert Ford, A History of Violence, The Proposition, Dead Man, The Proposition, 3:10 to Yuma, Unforgiven, The Homesman"
251_recent_gender_age_only_exclude_popular,"Come and See, The Proposition, A Short Film About Killing, The Assassination of Jesse James by the Coward Robert Ford, No Country for Old Men, The Proposition, The Gray Fox, Lone Star, The Homesman, The Proposition"
251_recent_gender_age_only_indie_international,"The Proposition, A Prophet, City of God, The Sacrifice, The Hunt, The Secret in Their Eyes, The Counterfeiters, The Chaser, Paprika, The Wind That Shakes the Barley"
251_recent_gender_age_only_temporal_diverse,"Apocalypse Now, Lethal Weapon, The Untouchables, The Great Escape, Black Hawk Down, 12 Angry Men, The Magnificent Seven, Heat, Patton, Django Unchained"
251_recent_gender_age_only_obscure_theme,"The Grey Fox, The Keep, A Midnight Clear, The Gunfighter, The Last Castle, Billy Budd, The Siege of Firebase Gloria, Custer of the West, The Big Gundown, The Eagle Has Landed"
251_recent_occupation_only_baseline,"Black Hawk Down, Lone Survivor, Hacksaw Ridge, Dunkirk, 13 Hours: The Secret Soldiers of Benghazi, Unforgiven, The Outlaw Josey Wales, Heat, Sicario, Zero Dark Thirty"
251_recent_occupation_only_niche_genre,"Come and See, The Battle of Algiers, Paths of Glory, A Brighter Summer Day, The Proposition, Hell or High Water, The Proposition, Uzak, The Assassin, Miller's Crossing"
251_recent_occupation_only_exclude_popular,"The Counterfeiters, The Great Escape, The Train, A Midnight Clear, The Eagle Has Landed, The Train Robbers, The Last Run, The Big Gundown, The Vanishing, Breaker Morant"
251_recent_occupation_only_indie_international,"City of God, The Counterfeiters, Ladri di biciclette, Timbuktu, The Hunt, A Prophet, Run Lola Run, The Secret in Their Eyes, The Wind That Shakes the Barley, The Chaser"
251_recent_occupation_only_temporal_diverse,"Full Metal Jacket, Black Hawk Down, Apocalypse Now, Heat, The Great Escape, Lone Survivor, Das Boot, The Dirty Dozen, Twelve O'Clock High, The Bridge on the River Kwai"
251_recent_occupation_only_obscure_theme,"The Grey Zone, The Keep, Hurt Locker, A Midnight Clear, The Siege of Firebase Gloria, The River's Edge, The Outpost, The Counterfeiters, The Lost Battalion, The Ballad of Buster Scruggs"
251_recent_all_attributes_baseline,"Black Hawk Down, Hurt Locker, Jarhead, Dunkerque, Lone Survivor, Heat, No Country for Old Men, Sicario, 13 Hours: The Secret Soldiers of Benghazi, American Sniper"
251_recent_all_attributes_niche_genre,"The Proposition, Hell or High Water, The Assassination of Jesse James by the Coward Robert Ford, A Most Violent Year, The Proposition, No Country for Old Men, The Rover, Cold Mountain, The Homesman, 3:10 to Yuma"
251_recent_all_attributes_exclude_popular,"A Midnight Clear, The Grey Zone, The Eagle Has Landed, The Big Gundown, The Keep, The Counterfeit Traitor, Cross of Iron, The Train, The Deer Hunter, The Osterman Weekend"
251_recent_all_attributes_indie_international,"City of God, The Chaser, A Prophet, The Hunt, Borgman, The Man from Nowhere, The Secret in Their Eyes, The Return, Mongol, The Raid"
