custom_id,movies
751_top-rated_neutral_baseline,"Star Wars: A New Hope, Guardians of the Galaxy, The Fifth Element, Galaxy Quest, Spaceballs, Back to the Future, Mad Max: Fury Road, The Iron Giant, Blazing Saddles, Airplane! 2"
751_top-rated_neutral_niche_genre,"The Fall, The Iron Giant, Brazil, Dark City, The Adventures of Buckaroo Bender, The City of Lost Children, Stalker, Timecrimes, The Fountain, The Void"
751_top-rated_neutral_exclude_popular,"The Iron Giant, Galaxy Quest, Flash Gordon, The Last Starfighter, Forbidden Planet, SpaceCamp, The Adventures of Buckaroo Boo Boo, Outland, Dark Star, Silent Running"
751_top-rated_neutral_indie_international,"The Spirit of the Beehive, City of God, The Secret in Their Eyes, Paprika, The Lives of Others, Pan's Labyrinth, Run Lola Run, The Attack, Toni Erdmann, The Hunt"
751_top-rated_neutral_temporal_diverse,"Metropolis, The Empire Strikes Back, Blade Runner, The Abyss, The Iron Giant, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Galaxy Quest, Forbidden Planet, The Great Escape, Monty Python and the Holy Grail"
751_top-rated_neutral_obscure_theme,"Galaxy Quest, The Last Starfighter, The Iron Giant, Dark City, Time Bandits, Buckaroo Bies: Escape from L.A., The Adventures of Buckaroo Bies, The Forbidden Planet, Big Trouble in Little China, Monty Python's The Meaning of Life"
751_top-rated_gender_age_only_baseline,"Guardians of the Galaxy, The Fifth Element, Stardust, Galaxy Quest, Pirates of the Caribbean: The Curse of the Black Pearl, Men in Black, The Princess Bride, Serenity, Mad Max: Fury Road, Guardians of the Galaxy Vol. 2"
751_top-rated_gender_age_only_niche_genre,"The Fall, Moon, The Navigator: A Medieval Odyssey, The Secret of Kells, Stalker, Brazil, Pan's Labyrinth, The City of Lost Children, The Adventures of Buckaroo Bender, Paprika"
751_top-rated_gender_age_only_exclude_popular,"The Last Unicorn, The Iron Giant, Sky Captain and the World of Tomorrow, The Secret of Kells, Moonrise Kingdom, The Little Prince, Hunt for the Wilderpeople, The Fall, The Adventures of Tintin, Sing Street"
751_top-rated_gender_age_only_indie_international,"Amélie, Pan's Labyrinth, The Secret of Kells, Persepolis, The Fall, Run Lola Run, The Handmaiden, A Tale of Two Sisters, City of God, The Wind Rises"
751_top-rated_gender_age_only_temporal_diverse,"Guardians of the Galaxy, Stardust, The Princess Bride, Galaxy Quest, Men in Black, The Fifth Element, Clueless, The NeverEnding Story, How to Train Your Dragon, Mulan"
751_top-rated_gender_age_only_obscure_theme,"The Last Starfighter, Galaxy Quest, The Iron Giant, Moon, Serenity, Hunt for the Wilderpeople, The Adventures of Buckaroo Bunch, The Forbidden Planet, Time Bandits, Battle of the Sexes"
751_top-rated_occupation_only_baseline,"Galaxy Quest, The Iron Giant, Back to the Future, Spaceballs, Guardians of the Galaxy, The Hitchhiker's Guide to the Galaxy, Mad Max: Fury Road, The Fifth Element, Blade Runner, Monty Python and the Holy Grail"
751_top-rated_occupation_only_niche_genre,"The Man Who Fell to Earth, Brazil, Dark City, The Adventures of Buckaroo Bender, Time Bandits, The Iron Giant, Galaxy Quest, The Forbidden Planet, The Last Starfighter, The Venture Bros.: The Movie"
751_top-rated_occupation_only_exclude_popular,"Moon, Coherence, The Man from Earth, Timecrimes, Primer, Pandorum, galaxy quest, Stalker, The Void, Dark City"
751_top-rated_occupation_only_indie_international,"The Man Who Fell to Earth, Dark City, The Spirit of the Beehive, Stalker, City of God, Paprika, Toni Erdmann, The Bothersome Man, The Holy Mountain, Werner Herzog's Aguirre, Wrath of God"
751_top-rated_occupation_only_temporal_diverse,"Buck Rogers in the 25th Century, Forbidden Planet, The Great Escape, Galaxy Quest, The Iron Giant, Monty Python and the Holy Grail, Blade Runner, The Abyss, Spaceballs, The Last Starfighter"
751_top-rated_occupation_only_obscure_theme,"Galaxy Quest, The Iron Giant, Dark City, The Last Starfighter, Timecrimes, The Forbidden Planet, The Adventures of Buckaroo Buuuuuuuuuuuuuuuuuuuuuuyer, Moon, Battlefield Earth, The Hidden"
751_top-rated_all_attributes_baseline,"Guardians of the Galaxy, Starship Troopers, The Fifth Element, Galaxy Quest, Mad Max: Fury Road, Edge of Tomorrow, Guardians of the Galaxy Vol. 2, Spaceballs, The Iron Giant, Back to the Future"
751_top-rated_all_attributes_niche_genre,"Moon, Serenity, The Man from Earth, Galaxy Quest, The Iron Giant, The Host, Safety Not Guaranteed, The Forbidden Planet, The Last Starfighter, Hunt for the Wilderpeople"
751_top-rated_all_attributes_exclude_popular,"Moon, The Secret of Kells, The Man from Earth, Coherence, The Fall, Solaris, Timecrimes, The Last Days of Disco, The Brickleberry, The Cave"
751_top-rated_all_attributes_indie_international,"The Spirit of the Beehive, Toni Erdmann, The Fall, The Secret of Kells, A Girl Walks Home Alone at Night, Eureka, The Brand New Testament, The Lunchbox, The Fits, The Clan"
751_top-rated_all_attributes_temporal_diverse,"Metropolis, The Fifth Element, Galaxy Quest, Blade Runner, Back to the Future, Guardians of the Galaxy, The Iron Giant, Ghostbusters, Hidden Figures, The Martian"
751_top-rated_all_attributes_obscure_theme,"Moon, The Man from Earth, Galaxy Quest, The Iron Giant, Safety Not Guaranteed, The Last Starfighter, Galaxy of Terror, The Adventures of Buckaroo Bonderama, Timecrimes, The Lost Skeleton of Cadavra"
752_top-rated_neutral_baseline,"The Fog of War, Grey Gardens, The Act of Killing, Murderball, The Thin Blue Line, Sherman's March, Paris is Burning, The War Room, Born into Brothels, The Last Dance"
752_top-rated_neutral_niche_genre,"The Act of Killing, Grey Gardens, Salesman, The Wolfpack, Minding the Gap, Paris is Burning (Revisited), American Movie, Crumb, Sherman's March, The Great Happiness Space"
752_top-rated_neutral_exclude_popular,"The Act of Killing, For Sama, Minding the Gap, The Queen of Versailles, The Look of Silence, Gates of Heaven, The End of the Rainbow, Dark Days, American Movie, The Wolfpack"
752_top-rated_neutral_indie_international,"The Act of Killing, Faroese Shorts Collection, Toni Erdmann, The Last Days of Discourse, Ousmane Sembène's Moolaadé, Cameraperson, The Pearl Button, Lorna's Silence, The Great Beauty, The Wolf House"
752_top-rated_neutral_temporal_diverse,"Grey Gardens, Salesman, The Thin Blue Line, Harlan County, USA, Man with a Movie Camera, Sherman's March, Gates of Heaven, The Civil War, Tongues Untied, The King of Kong"
752_top-rated_neutral_obscure_theme,"Gates of Heaven, The Kings of the World, The End of Suburbia, The Black Power Mixtape 1967-1975, Miss Navajo, The Celluloid Closet, Dark Days, Bright Leaves, Shake the Dust, American Movie"
752_top-rated_gender_age_only_baseline,"The Queen of Versailles, Minding the Gap, The Act of Killing, Paris is Burning, Amy, The Look of Silence, Life, Animated, The Fog of War, The Interrupters, Crip Camp"
752_top-rated_gender_age_only_niche_genre,"The Celluloid Closet, Paris is Burning (re-watch for deeper insight), The Queen of Versailles, Tongues Untied, The Watermelon Woman, Crip Camp, The Looks, Mala Mala, A Ballerina's Tale, The Death and Life of Marsha P. Johnson"
752_top-rated_gender_age_only_exclude_popular,"The Arbor, Cameraperson, The Queen of Versailles, The Wolfpack, Minding the Gap, The Act of Killing, American Movie, The Last Black Man in San Francisco, The Great Happiness Space, Tales of the Grim Sleeper"
752_top-rated_gender_age_only_indie_international,"Toni Erdmann, The Fits, Wendy and Lucy, The Rider, Portrait of a Lady on Fire, Cléo from 5 to 7, Girlhood, The Souvenir, A Girl Walks Home Alone at Night, Céline and Julie Go Boating"
