custom_id,movies
1251_recent_neutral_baseline,"10 Things I Hate About You, Crazy Rich Asians, Legally Blonde, The Proposal, Easy A, Superbad, The Princess Bride, Notting Hill, Miss Congeniality, Bridget Jones's Diary"
1251_recent_neutral_niche_genre,"The Fall, Big Trouble in Little China, The Adventures of Buckaroo B boing, The City of Lost Children, The Brothers Bloom, The Imaginarium of Doctor Parnassus, Moonrise Kingdom, Brazil, The Secret of Kells, Big Fish"
1251_recent_neutral_exclude_popular,"The Station Agent, In the Mood for Love, Lost in Translation, Little Miss Sunshine, Kiss Kiss Bang Bang, The Fall, The Dish, A Ghost Story, Waking Life, The Last Days of Disco"
1251_recent_neutral_indie_international,"In the Mood for Love, Amélie, The Fall, The Secret of Kells, A Ghost Story, Once, Boyhood, The Intouchables, Toni Erdmann, Wild Tales"
1251_recent_neutral_temporal_diverse,"10 Things I Hate About You, Clueless, The Princess Bride, Some Like It Hot, Groundhog Day, Ferris Bueller's Day Off, The Mask of Zorro, The Breakfast Club, Big Trouble in Little China, To Wong Foo, Thanks for Everything! Julie Newmar"
1251_recent_neutral_obscure_theme,"The Dish, In the Company of Men, The Folks Who Live on the Hill, The Last Supper, The Opposite of Sex, The Anniversary Party, The Last of the Unjust, Little Miss Sunshine, The Station Agent, The Way Way Back"
1251_recent_gender_age_only_baseline,"Superbad, Kick-Ass, The Hangover, Deadpool, Zombieland, Scott Pilgrim vs. the World, 21 Jump Street, Hot Fuzz, The Other Guys, Guardians of the Galaxy"
1251_recent_gender_age_only_niche_genre,"The Fall, Big Trouble in Little China, The Adventures of Buckaroo Boy, The Forbidden Planet, Dark City, The City of Lost Children, The Man Who Fell to Earth, Brazil, The Fountain, Donnie Darko"
1251_recent_gender_age_only_exclude_popular,"The Dish and the Spoon, Big Trouble in Little China, The Last Seduction, In the Company of Men, The Last of the Unjust, The Reflecting Skin, Buffalo '66, The House of the Devil, The Last Wave, Dead Man's Shoes"
1251_recent_gender_age_only_indie_international,"City of God, The Handmaiden, In the Mood for Love, Amélie, Oldboy, Pan’s Labyrinth, A Separation, The Intouchables, Run Lola Run, The Secret in Their Eyes"
1251_recent_gender_age_only_temporal_diverse,"Superbad, The Mask of Zorro, Hot Fuzz, Kick-Ass, The Nice Guys, Old School, The Princess Bride, Guardians of the Galaxy, Scott Pilgrim vs. the World, Tropic Thunder"
1251_recent_gender_age_only_obscure_theme,"Kiss Kiss Bang Bang, The Foot Fist Way, The Nice Guys, In Bruges, Earth Girls Are Easy, The Brothers Bloom, The Station Agent, Adventureland, The Dish, The Fall"
1251_recent_occupation_only_baseline,"The Intern, Crazy Rich Asians, The Proposal, The Devil Wears Prada, Legally Blonde, Morning Glory, The Bucket List, The Intern, Julie & Julia, Something's Gotta Give"
1251_recent_occupation_only_niche_genre,"The Fall, Moon, In the Mood for Love, Big Fish, The Fountain, Amélie, The Secret of Kells, Pan's Labyrinth, Eternal Sunshine of the Spotless Mind, The Science of Sleep"
1251_recent_occupation_only_exclude_popular,"The Dish, State and Main, The Last Days of Disco, The Station Agent, The Long Way Home, Lantana, In the Mood for Love, The Proposition, A Simple Plan, The Celebration"
1251_recent_occupation_only_indie_international,"In the Mood for Love, The Lunchbox, A Separation, The Hunt, Toni Erdmann, The White Ribbon, Persepolis, The Intouchables, Wild Tales, City of God"
1251_recent_occupation_only_temporal_diverse,"His Girl Friday, The Apartment, To Catch a Thief, The Philadelphia Story, Desk Set, The Sting, An Affair to Remember, The Odd Couple, The Great Escape, Office Space"
1251_recent_occupation_only_obscure_theme,"The Rapture, The Station Agent, In the Soup, The Last Days of Disco, The Decline of Western Civilization Part II: The Metal Years, The Proposition, The Anniversary Party, The King of Marvin Gardens, The Last Seduction, The House of the Devil"
1251_recent_all_attributes_baseline,"The Nice Guys, Superbad, 21 Jump Street, Crazy, Stupid, Love., The Intern, The Secret Life of Walter Mitty, The Proposal, Easy A, Night at the Museum, The Devil Wears Prada"
1251_recent_all_attributes_niche_genre,"In the Company of Men, The Fall, The Nice Guys, Kiss Kiss Bang Bang, The Hunt for the Wilderpeople, Burning, The Square, The Lobster, Memento Mori, The Handmaiden"
