custom_id,movies
751_recent_neutral_baseline,"The Shape of Water, Léon: The Professional, Amélie, The Grand Budapest Hotel, Pan’s Labyrinth, The Royal Tenenbaums, Cinema Paradiso, The Artist, Her, Memento"
751_recent_neutral_niche_genre,"Mona Lisa, The Double Life of Veronique, In the Mood for Love, The Spirit of the Beehive, Blue Velvet, The Last Wave, The Reflecting Skin, Paris, Texas, Werner Herzog's Stroszek, A Ghost Story"
751_recent_neutral_exclude_popular,"The Spirit of the Beehive, The Last Days of Disco, The Reflecting Skin, The Passenger, The Dualist, The Housemaid, L'Avventura, The Conversation, The Killing of a Sacred Deer, The Assassin"
751_recent_neutral_indie_international,"In the Mood for Love, Blue Velvet, The Great Beauty, Amélie, The Double Life of Véronique, A Separation, Pan's Labyrinth, The Spirit of the Beehive, Wild Strawberries, L'Avventura"
751_recent_neutral_temporal_diverse,"Casablanca, Taxi Driver, Sunset Boulevard, The Third Man, Pulp Fiction, The Godfather, Amélie, Chinatown, Rear Window, The Graduate"
751_recent_neutral_obscure_theme,"The Fall, The Last Seduction, The Reflecting Skin, Brazil, The Double Life of Veronique, In the Mood for Love, La Belle Noiseuse, The Piano Teacher, The Spirit of the Beehive, Safe"
751_recent_gender_age_only_baseline,"Amélie, The Secret Life of Walter Mitty, Pride & Prejudice, La La Land, The Grand Budapest Hotel, Eternal Sunshine of the Spotless Mind, The Shape of Water, Her, Midnight in Paris, The Florida Project"
751_recent_gender_age_only_niche_genre,"The Fall, Lars and the Real Girl, The Double Life of Veronique, Amélie, The Science of Sleep, In the Mood for Love, Secret Sunshine, The Handmaiden, Portrait of a Lady on Fire, Holy Motors"
751_recent_gender_age_only_exclude_popular,"The Color Purple, In the Mood for Love, Fingers, The Last Days of Disco, The Double Life of Veronique, Mysterious Skin, The Souvenir, A Ghost Story, The Bitter Tears of Petra von Kant, Safe"
751_recent_gender_age_only_indie_international,"Amélie, Portrait of a Lady on Fire, The Double Life of Véronique, In the Mood for Love, Frances Ha, A Girl Walks Home Alone at Night, The Lobster, Blue Is the Warmest Color, Toni Erdmann, The Farewell"
751_recent_gender_age_only_temporal_diverse,"Breakfast at Tiffany's, Amélie, The Umbrellas of Cherbourg, La La Land, Cinema Paradiso, The Sound of Music, Moonrise Kingdom, Pride and Prejudice, Her, The Great Gatsby"
751_recent_gender_age_only_obscure_theme,"The Fall, The Secret of Kells, In the Mood for Love, Hanna, The Duke of Burgundy, The Handmaiden, Once Upon a Time in Anatolia, The Double Life of Veronique, A Ghost Story, The Love Witch"
751_recent_occupation_only_baseline,"The Prestige, Blade Runner, The Grand Budapest Hotel, Seven Samurai, The Machinist, Inception, The Imitation Game, Fight Club, The Things He Carried, Drive"
751_recent_occupation_only_niche_genre,"Delicatessen, The Fall, Stalker, Being John Malkovich, Brazil, The Spirit of the Beehive, The City of Lost Children, Tetsuo: The Iron Man, The Cook, the Thief, His Wife & Her Lover, Gummo"
751_recent_occupation_only_exclude_popular,"The Fall, The Proposition, The Assassin, The Spirit of the Beehive, The Quay Brothers' Films, The Reflecting Skin, The Last Days of Disco, The Enigma of Kaspar Hauser, The Great Happiness Space, The Color of Pomegranates"
751_recent_occupation_only_indie_international,"The Untouchables, City of God, The Spirit of the Beehive, The Man Who Fell to Earth, The Great Beauty, In the Mood for Love, Persepolis, The Fall, A Prophet, The Headless Woman"
751_recent_occupation_only_temporal_diverse,"Metropolis, Blade Runner, The Treasure of the Sierra Madre, Brazil, The Man Who Fell to Earth, Wings of Desire, Chinatown, The Third Man, Memento, The Shawshank Redemption"
751_recent_occupation_only_obscure_theme,"The Fall, Happiness, The Man Who Fell to Earth, The Spirit of the Beehive, A Ghost Story, The Last Wave, The Conversation, In the Mood for Love, The Reflecting Skin, The Assassin"
751_recent_all_attributes_baseline,"Amélie, The Secret Life of Walter Mitty, Her, The Grand Budapest Hotel, Lost in Translation, The Shape of Water, Big Fish, Moonrise Kingdom, The Fall, Eternal Sunshine of the Spotless Mind"
751_recent_all_attributes_niche_genre,"The Fall, Baraka, Stalker, The Double Life of Veronique, The Adventures of Buckaroo Bigeon, Toni Erdmann, The Fall of the American Empire, The Secret of Kells, Lost in Translation, The Lighthouse"
751_recent_all_attributes_exclude_popular,"The Fall, Mirror, The Last Days of Disco, Hiroshima Mon Amour, The Double Life of Veronique, In the Mood for Love, Daughters of the Dust, A Ghost Story, The Spirit of the Beehive, The Secret of Kells"
751_recent_all_attributes_indie_international,"A Girl Walks Home Alone at Night, The Double Life of Veronique, Toni Erdmann, The Lobster, In the Mood for Love, Moonlight, Frances Ha, The Secret in Their Eyes, Wajib, The Fits"
751_recent_all_attributes_temporal_diverse,"Metropolis, The Day the Earth Stood Still, Blade Runner, Her, Amélie, The Fall, The Grand Budapest Hotel, Annihilation, The Shape of Water, Moon"
751_recent_all_attributes_obscure_theme,"The Fall, Hiroshima Mon Amour, The Secret of Kells, The Double Life of Véronique, Toni Erdmann, The Last Days of Disco, In the Mood for Love, The Arbor, Wendy and Lucy, A Ghost Story"
752_recent_neutral_baseline,"Double Indemnity, Chinatown, The Third Man, Sunset Boulevard, The Killing, Requiem for a Dream, A Beautiful Mind, Rashomon, 12 Angry Men, The Sting"
752_recent_neutral_niche_genre,"Sid and Nancy, The Killers, In the Mood for Love, The Last Detail, Blue Velvet, The Passenger, Memento, The Night of the Hunter, Fallen Angels, Blue Velvet"
752_recent_neutral_exclude_popular,"Night and the City, The Asphalt Jungle, The Killing, Bringing Up Baby, The Sweet Hereafter, The Man Who Shot Liberty Valance, Support Your Local Sheriff!, The Pledge, The Spirit of the Beehive, The Housemaid"
752_recent_neutral_indie_international,"In the Mood for Love, The Secret in Their Eyes, A Prophet, The Spirit of the Beehive, Toni Erdmann, Run Lola Run, The Headless Woman, The Chaser, The Mirror, Angel's Egg"
752_recent_neutral_temporal_diverse,"Double Indemnity, Touch of Evil, Chinatown, Requiem for a Dream, The 400 Blows, Sunset Boulevard, The Seventh Seal, Rashomon, Blue Velvet, Cinema Paradiso"
752_recent_neutral_obscure_theme,"Night and the City, The Big Sleep, The Pledge, The Vanishing, Chinatown, The Killing of a Sacred Deer, In the Mood for Love, The Passenger, The Last Seduction, Memento"
752_recent_gender_age_only_baseline,"Chinatown, Rebecca, The Girl with the Dragon Tattoo, Lost in Translation, Memento, Blue Velvet, The Handmaiden, Eternal Sunshine of the Spotless Mind, Mulholland Drive, Ladri di biciclette"
752_recent_gender_age_only_niche_genre,"In the Mood for Love, Chinatown, Blue Velvet, The Third Man, Fallen Angels, Ladri di biciclette, Memento, The Night of the Hunter, Mulholland Drive, The Double Life of Veronique"
752_recent_gender_age_only_exclude_popular,"In the Mood for Love, The Long Goodbye, The Killing of a Sacred Deer, The Night of the Hunter, Fingers, The Housemaid, Night Moves, The Sweet Hereafter, Daughters of the Dust, The Reflecting Skin"
752_recent_gender_age_only_indie_international,"A Girl Walks Home Alone at Night, In the Mood for Love, The Spirit of the Beehive, Toni Erdmann, The Lunchbox, The Fits, Tokyo Story, The Double Life of Veronique, Pan's Labyrinth, The Secret in Their Eyes"
752_recent_gender_age_only_temporal_diverse,"Double Indemnity, Rebel Without a Cause, In the Mood for Love, Sunset Boulevard, Blue Velvet, The Silence of the Lambs, The Seventh Seal, Ponyo, A Woman Under the Influence, Ladri di biciclette"
752_recent_gender_age_only_obscure_theme,"Night of the Hunter, In the Mood for Love, The Long Goodbye, Chinatown, In the Realm of the Senses, The Woman in the Window, The Passenger, The Scarlet Empress, The Killing of a Sacred Deer, Memento"
752_recent_occupation_only_baseline,"Double Indemnity, Chinatown, L.A. Confidential, The Big Sleep, The Third Man, Rebecca, Sunset Boulevard, Vertigo, Rashomon, The Killing"
752_recent_occupation_only_niche_genre,"Detour, Night and the City, The Killing of a Chinese Bookie, In the Mood for Love, The Spirit of the Beehive, The Long Goodbye, The Assassin, A Man Escaped, Days of Heaven, The Quay Brothers' Films"
752_recent_occupation_only_exclude_popular,"Night of the Hunter, Pickup on South Street, The Third Man, The Killing, The Last Seduction, The Pledge, The Night of the Hunter, Le Samouraï, The Long Goodbye, The Housemaid"
752_recent_occupation_only_indie_international,"The Spirit of the Beehive, In the Mood for Love, A Separation, The Man Who Fell to Earth, Toni Erdmann, The Killing of a Sacred Deer, The Double Life of Véronique, The Handmaiden, Climates, The Mirror"
752_recent_occupation_only_temporal_diverse,"Double Indemnity, 12 Angry Men, All the President's Men, Chinatown, To Kill a Mockingbird, The Third Man, The Apartment, The Killing of a Chinese Bookie, Rear Window, The Last Picture Show"
752_recent_occupation_only_obscure_theme,"Night Moves, The Big Combo, The Prowler, The Naked Kiss, The Killing of a Chinese Bookie, The Lonedale Operator, The Big Heat, Deadline at Dawn, The Narrow Margin, Pickup on South Street"
752_recent_all_attributes_baseline,"Double Indemnity, Chinatown, The Big Sleep, Gaslight, Rebecca, To Kill a Mockingbird, Dead Poets Society, Little Miss Sunshine, Moonrise Kingdom, Amélie"
752_recent_all_attributes_niche_genre,"Chinatown, Blue Velvet, The Last Seduction, In the Mood for Love, Ladri di biciclette (Bicycle Thieves), The Killing of a Sacred Deer, Memento, The House of Mirth, Stranger Than Paradise, Night of the Hunter"
752_recent_all_attributes_exclude_popular,"Laura, In the Mood for Love, The Night of the Hunter, The Sweet Hereafter, The Last Seduction, Black Narcissus, The Killing of a Sacred Deer, The Spirit of the Beehive, The Passenger, Cléo from 5 to 7"
752_recent_all_attributes_indie_international,"In the Mood for Love, The Spirit of the Beehive, 3 Iron, A Girl Walks Home Alone at Night, The Double Life of Veronique, The Secret in Their Eyes, Toni Erdmann, The Chaser, The Fits, Lorna's Silence"
752_recent_all_attributes_temporal_diverse,"Double Indemnity, To Kill a Mockingbird, Chinatown, Sunset Boulevard, The Queen of Black Magic, Rear Window, Girl, Interrupted, The Third Man, Lost in Translation, A Separation"
