custom_id,movies
5251_top-rated_neutral_baseline,"Crazy Rich Asians, La La Land, Silver Linings Playbook, The Grand Budapest Hotel, Big Fish, Eternal Sunshine of the Spotless Mind, The Intouchables, Amélie, The Prestige, Catch Me If You Can"
5251_top-rated_neutral_niche_genre,"The Fall, Big Fish, Amélie, The Secret Life of Walter Mitty, Eternal Sunshine of the Spotless Mind, The Science of Sleep, Pan's Labyrinth, Little Miss Sunshine, Birdman, The Grand Budapest Hotel"
5251_top-rated_neutral_exclude_popular,"Lust, Caution, In the Mood for Love, The Double Life of Véronique, The Spirit of the Beehive, The Vanishing, The Friendship Moment, The Secret in Their Eyes, Toni Erdmann, The Maiden, The Last Seduction"
5251_top-rated_neutral_indie_international,"Amélie, In the Mood for Love, Run Lola Run, The Intouchables, Pan's Labyrinth, The Hunt, A Separation, City of God, Let the Right One In, The Lives of Others"
5251_top-rated_neutral_temporal_diverse,"Some Like It Hot, To Catch a Thief, Funny Face, Vertigo, The Pink Panther, Rear Window, The Apartment, Chinatown, Clueless, The Others"
5251_top-rated_neutral_obscure_theme,"Happy Together, The Fall, In the Mood for Love, The Station Agent, Lars and the Real Girl, The Adventure of Iron Pussy, The Way Way Back, A Ghost Story, The Last Five Years, The Double Life of Veronique"
5251_top-rated_gender_age_only_baseline,"La La Land, Crazy Rich Asians, The Proposal, Amélie, Notting Hill, The Queen of Versailles, The Intern, Eternal Sunshine of the Spotless Mind, The Holiday, Murder by the Coast"
5251_top-rated_gender_age_only_niche_genre,"Amélie, Palm Springs, The Fall, Eternal Sunshine of the Spotless Mind, In the Mood for Love, The Secret Life of Walter Mitty, Her, Lost in Translation, Big Fish, The Grand Budapest Hotel"
5251_top-rated_gender_age_only_exclude_popular,"The Way We Dance, The Edge of Seventeen, In the Mood for Love, Lost in Translation, Amélie, Eternal Sunshine of the Spotless Mind, The Secret Life of Words, A Girl Walks Home Alone at Night, The Double Life of Veronique, The Last Seduction"
5251_top-rated_gender_age_only_indie_international,"Amélie, In the Mood for Love, The Intouchables, Persepolis, Run Lola Run, The Beat That My Heart Skipped, Toni Erdmann, The Lunchbox, Paprika, A Fantastic Woman"
5251_top-rated_gender_age_only_temporal_diverse,"Amélie, Pride and Prejudice, La La Land, Breakfast at Tiffany's, Clueless, Eternal Sunshine of the Spotless Mind, Roman Holiday, The Princess Diaries, Sense and Sensibility, The Grand Budapest Hotel"
