custom_id,movies
2001_top-rated_neutral_baseline,"Rear Window, Casablanca, The Maltese Falcon, North by Northwest, Sunset Boulevard, On the Waterfront, 12 Angry Men, To Kill a Mockingbird, Some Like It Hot, Chinatown"
2001_top-rated_neutral_niche_genre,"Blue Velvet, In the Mood for Love, The Last Wave, Memento, Picnic at Hanging Rock, The Killing of a Sacred Deer, Lantana, Twin Peaks: Fire Walk with Me, The Spirit of the Beehive, The Vanishing"
2001_top-rated_neutral_exclude_popular,"The Night of the Hunter, In the Mood for Love, Sweet Smell of Success, The Passenger, The Sweet Hereafter, The Killing of a Sacred Deer, Pierrot le Fou, The Long Goodbye, Le Samouraï, Murmur of the Heart"
2001_top-rated_neutral_indie_international,"In the Mood for Love, Tokyo Story, The Spirit of the Beehive, A Separation, The Double Life of Véronique, Cinema Paradiso, The Umbrellas of Cherbourg, The Intouchables, Run Lola Run, Fitzcarraldo"
2001_top-rated_neutral_temporal_diverse,"Casablanca, Rear Window, Sunset Boulevard, The Third Man, On the Waterfront, Chinatown, The Maltese Falcon, 12 Angry Men, North by Northwest, Ladri di biciclette"
2001_top-rated_neutral_obscure_theme,"Night of the Hunter, The Third Man, The Killing of a Sacred Deer, Le Samouraï, In the Mood for Love, The Night of the Hunter, Point Blank, The Conversation, Ugetsu, Throne of Blood"
2001_top-rated_gender_age_only_baseline,"Rear Window, Casablanca, Chinatown, The Third Man, On the Waterfront, Sunset Boulevard, The Maltese Falcon, 12 Angry Men, The Postman Always Rings Twice, Once Upon a Time in America"
2001_top-rated_gender_age_only_niche_genre,"Memento, In the Mood for Love, The Killing of a Sacred Deer, Blue Velvet, The Third Man, Chinatown, Night of the Hunter, Fitzcarraldo, The Double Life of Veronique, The Assassination of Jesse James by the Coward Robert Ford"
2001_top-rated_gender_age_only_exclude_popular,"Night of the Hunter, The Third Man, In the Mood for Love, The Spirit of the Beehive, Le Samouraï, The Swimmer, The Passenger, Pierrot le Fou, The Killing of a Sacred Deer, The Conversation"
2001_top-rated_gender_age_only_indie_international,"In the Mood for Love, The Spirit of the Beehive, Pierrot le Fou, A Touch of Zen, The Last Wave, Tokyo Story, The Secret in Their Eyes, Blissfully Yours, The Vanishing, L'Avventura"
2001_top-rated_gender_age_only_temporal_diverse,"Casablanca, Double Indemnity, Sunset Boulevard, Chinatown, 12 Angry Men, The Third Man, The Maltese Falcon, Rebecca, The Man Who Shot Liberty Valance, Taxi Driver"
2001_top-rated_gender_age_only_obscure_theme,"Night of the Hunter, The Killers, The Third Man, Sweet Smell of Success, The Passenger, In the Mood for Love, The Killing of a Sacred Deer, Point Blank, The Long Goodbye, Under the Silver Lake"
2001_top-rated_occupation_only_baseline,"Rear Window, Casablanca, Sunset Boulevard, 12 Angry Men, The Best Years of Our Lives, On the Waterfront, Chinatown, All About Eve, The Maltese Falcon, To Kill a Mockingbird"
2001_top-rated_occupation_only_niche_genre,"The Third Man, In the Mood for Love, Blue Velvet, The Night of the Hunter, Mysterious Skin, The Killing of a Sacred Deer, Stalker, Angel Heart, The Spirit of the Beehive, Picnic at Hanging Rock"
2001_top-rated_occupation_only_exclude_popular,"The Night of the Hunter, Sweet Smell of Success, In the Mood for Love, The Passenger, The Killing of a Sacred Deer, Mishima: A Life in Four Chapters, The Spirit of the Beehive, Pierrot le Fou, The Red and the White, Le samouraï"
2001_top-rated_occupation_only_indie_international,"In the Mood for Love, The Spirit of the Beehive, Picnic at Hanging Rock, The Double Life of Veronique, Stalker, Tokyo Story, The Conformist, A Touch of Sin, Hiroshima Mon Amour, The Umbrellas of Cherbourg"
2001_top-rated_occupation_only_temporal_diverse,"Casablanca, Sunset Boulevard, 12 Angry Men, Rashomon, The Third Man, Lawrence of Arabia, To Kill a Mockingbird, The 400 Blows, Chinatown, Double Indemnity"
2001_top-rated_occupation_only_obscure_theme,"The Conversation, Night Moves, The Heart of the Matter, The Passenger, The Killing of a Sacred Deer, In the Mood for Love, The Long Goodbye, The Red House, The Housemaid, The Pledge"
2001_top-rated_all_attributes_baseline,"Rear Window, Casablanca, Sunset Boulevard, The Third Man, On the Waterfront, 12 Angry Men, Chinatown, Lawrence of Arabia, The Graduate, To Kill a Mockingbird"
2001_top-rated_all_attributes_niche_genre,"The Third Man, In the Mood for Love, The Assassin, Blow-Up, The Spirit of the Beehive, The Night of the Hunter, The Last Wave, Peeping Tom, Eternal Sunshine of the Spotless Mind, The Great Silence"
2001_top-rated_all_attributes_exclude_popular,"Night of the Hunter, Le Samouraï, The Last Wave, The Housemaid, The Passenger, The Spirit of the Beehive, The Killing of a Sacred Deer, In the Mood for Love, The Browning Version, The Conversation"
2001_top-rated_all_attributes_indie_international,"The Spirit of the Beehive, In the Mood for Love, Pierrot le Fou, The Red Balloon, The Spirit of the Beehive, A Man Escaped, Tokyo Story, Ladri di biciclette (Bicycle Thieves), Sansho the Bailiff, Diabolique"
2001_top-rated_all_attributes_temporal_diverse,"Rebecca, Casablanca, 12 Angry Men, Sunset Boulevard, The Maltese Falcon, The Third Man, Chinatown, Double Indemnity, All About Eve, The Asphalt Jungle"
2001_top-rated_all_attributes_obscure_theme,"Night of the Hunter, The Passenger, The Last Wave, The Spider's Stratagem, The Quiller Memorandum, The Pledge, The Bad and the Beautiful, The Third Man, The Heart of the Matter, The Conversation"
2002_top-rated_neutral_baseline,"His Girl Friday, The Philadelphia Story, The Thin Man, North by Northwest, The Big Sleep, To Catch a Thief, Some Like It Hot, The Lady Vanishes, The Maltese Falcon, Sleuth"
2002_top-rated_neutral_niche_genre,"The Killing of a Sacred Deer, In the Mood for Love, The Fall, The Last of Sheila, Brazil, The Cook, the Thief, His Wife & Her Lover, The Night of the Hunter, The Spirit of the Beehive, Fitzcarraldo, The Discreet Charm of the Bourgeoisie"
2002_top-rated_neutral_exclude_popular,"The Last Detail, Sweet Smell of Success, The Phenix City Story, The Sweet Hereafter, The House on Telegraph Hill, The Big Knife, The Killing of a Chinese Bookie, The Heart is a Lonely Hunter, The Woman in the Window, The Night of the Hunter"
2002_top-rated_neutral_indie_international,"The Spirit of the Beehive, A Big Night, In the Mood for Love, The Double Life of Veronique, My Night at Maud's, Paris, Texas, The Celebration, The Last Wave, Toni Erdmann, The Flavor of Green Tea over Rice"
2002_top-rated_neutral_temporal_diverse,"His Girl Friday, The Philadelphia Story, Some Like It Hot, The Big Sleep, The Thin Man, To Kill a Mockingbird, The Apartment, The Lady Vanishes, The Sting, The Sweet Smell of Success"
2002_top-rated_neutral_obscure_theme,"The Last Seduction, The Lady Vanishes, The Thin Man, Night of the Hunter, The Killing of a Chinese Bookie, The Parking Lot, The House on Telegraph Hill, The Big Combo, Sweet Smell of Success, The Long Goodbye"
2002_top-rated_gender_age_only_baseline,"His Girl Friday, The Philadelphia Story, Sleuth, Clue, The Thin Man, Some Like It Hot, The Lady Eve, The Big Sleep, Murder by Death, The Apartment"
2002_top-rated_gender_age_only_niche_genre,"The Last Seduction, Night of the Hunter, The House of Mirth, The Killing of a Sacred Deer, The Spirit of the Beehive, The Sweet Hereafter, A Touch of Sin, In the Mood for Love, The Killing of a Sacred Deer, The Celebration"
2002_top-rated_gender_age_only_exclude_popular,"The Last Seduction, The House of Mirth, The Passenger, Sweet Smell of Success, The Night of the Hunter, The Spirit of the Beehive, The Heiress, The Conversation, Fingers, The Killing of a Chinese Bookie"
2002_top-rated_gender_age_only_indie_international,"The Spirit of the Beehive, In the Mood for Love, Le Samouraï, A Man Escaped, The Vanishing, The Double Life of Véronique, Cléo from 5 to 7, A Girl Walks Home Alone at Night, The Fire Within, Tokyo Story"
2002_top-rated_gender_age_only_temporal_diverse,"His Girl Friday, The Philadelphia Story, To Kill a Mockingbird, Sleuth, The Big Sleep, Vertigo, The Third Man, Breakfast at Tiffany's, The Lady Vanishes, Clueless"
2002_top-rated_gender_age_only_obscure_theme,"The Last of Sheila, The Heartbreak Kid, The Gingerbread Man, The Last Seduction, The Lady Vanishes, Sweet Smell of Success, The Passenger, The Big Knife, The House on Telegraph Hill, The Woman in the Window"
2002_top-rated_occupation_only_baseline,"The Philadelphia Story, His Girl Friday, The Sting, To Kill a Mockingbird, The Apartment, Notorious, Some Like It Hot, The Thin Man, Harvey, The Man Who Knew Too Much"
2002_top-rated_occupation_only_niche_genre,"The Last of Sheila, The Lady Vanishes, Bringing Up Baby, The Thin Man, Night of the Hunter, The 39 Steps, The Maltese Falcon, The Killers, The Night of the Hunter, The Big Sleep"
2002_top-rated_occupation_only_exclude_popular,"The Last Hurrah, The Night of the Hunter, The Ghost and Mrs. Muir, The Heartbreak Kid, The Sting of the Wild, The House of Mirth, The Phenix City Story, The Long Goodbye, The Bad and the Beautiful, The Secret of Santa Vittoria"
2002_top-rated_occupation_only_indie_international,"The Spirit of the Beehive, Cinema Paradiso, The Last Metro, A Man Escaped, The Umbrellas of Cherbourg, My Dinner with Andre, Le Samouraï, Tokyo Story, The Luncheon on the Grass, In the Mood for Love"
2002_top-rated_occupation_only_temporal_diverse,"To Kill a Mockingbird, The Philadelphia Story, Some Like It Hot, The Apartment, The Thin Man, Harvey, The Sting, Casablanca, The Shop Around the Corner, Gentleman's Agreement"
2002_top-rated_occupation_only_obscure_theme,"The Heartbreak Kid, The Last of Sheila, The Big Town, The Honorable Woman, The Murder of Mary Phagan, The Chinese Box, The Man Who Fell to Earth, The Last Seduction, The Lady Vanishes, The Lady Eve"
2002_top-rated_all_attributes_baseline,"The Philadelphia Story, Sleuth, The Thin Man, Harold and Maude, The Apartment, Clueless, The Goodbye Girl, Murder by Death, Some Like It Hot, The Lady Vanishes"
2002_top-rated_all_attributes_niche_genre,"The Last Seduction, The Sweet Hereafter, Fargo, In the Mood for Love, The Lady Vanishes, The Third Man, Night of the Hunter, Rebecca, Brief Encounter, The Night of the Hunter"
2002_top-rated_all_attributes_exclude_popular,"The Last Picture Show, Sweet Smell of Success, The Phenix City Story, The Heartbreak Kid, The Lady Vanishes, Murder by Contract, The Seventh Continent, The House of Mirth, The Strange Love of Martha Ivers, The Big Clock"
2002_top-rated_all_attributes_indie_international,"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles, The Spirit of the Beehive, In the Mood for Love, The Unknown Girl, A Man Escaped, My Dinner with Andre, The Catalogue of Ships, The Headless Woman, Cléo from 5 to 7, A Separation"
2002_top-rated_all_attributes_temporal_diverse,"All About Eve, The Philadelphia Story, Sleuth, The Thin Man, Some Like It Hot, Harper, The Last Picture Show, The Grand Budapest Hotel, Murder by Death, The Apartment"
2002_top-rated_all_attributes_obscure_theme,"The Heartbreak Kid, The Last of Sheila, The Big Sleep, The Sting, Sweet Smell of Success, The Lady Vanishes, The Night of the Hunter, The Letter, The Trouble with Harry, The Trial"
2003_top-rated_neutral_baseline,"Star Wars: A New Hope, The Lion King, Beauty and the Beast, Aladdin, The Iron Giant, The Incredibles, Treasure Planet, How to Train Your Dragon, WALL-E, Moana"
2003_top-rated_neutral_niche_genre,"The Iron Giant, Song of the Sea, The Secret of Kells, Kiki's Delivery Service, Princess Mononoke, WALL-E, The Last Unicorn, Coraline, The Plague Dogs, Ernest & Celestine"
2003_top-rated_neutral_exclude_popular,"The Iron Giant, The Secret of Kells, Song of the Sea, The Last Unicorn, The Plague Dogs, Watership Down, The Pebble and the Penguin, The Rescuers Down Under, The Box Trolls, The Adventures of Milo and Otis"
2003_top-rated_neutral_indie_international,"Pan's Labyrinth, City of God, The Secret of Kells, The Triplets of Belleville, Song of the Sea, The Fall, The Handmaiden, Persepolis, The Last Wave, A Separation"
2003_top-rated_neutral_temporal_diverse,"The Iron Giant, E.T. the Extra-Terrestrial, The NeverEnding Story, WALL-E, Anastasia, The Princess Bride, The Goonies, Big Hero 6, How to Train Your Dragon, The Last Unicorn"
2003_top-rated_neutral_obscure_theme,"The Iron Giant, The Last Unicorn, Watership Down, The Secret of Kells, The Pagemaster, The Great Mouse Detective, The Black Cauldron, The Adventures of the American Rabbit, The Rescuers Down Under, The Thief and the Cobbler"
2003_top-rated_gender_age_only_baseline,"Guardians of the Galaxy, Spider-Man: Into the Spider-Verse, The Iron Giant, Big Hero 6, Star Wars: The Force Awakens, How to Train Your Dragon, The Incredibles, Treasure Planet, Kung Fu Panda, Pokémon: The Movie 2000"
2003_top-rated_gender_age_only_niche_genre,"The Iron Giant, Kiki's Delivery Service, Castle in the Sky, The Secret of Kells, The Last Unicorn, The Book of Life, Song of the Sea, Coraline, The Nightmare Before Christmas, Hunt for the Wilderpeople"
2003_top-rated_gender_age_only_exclude_popular,"The Iron Giant, The Last Unicorn, The Secret of Kells, Song of the Sea, The Plague Dogs, Watership Down, The Bears and the Bees, The Rescuers Down Under, FernGully: The Last Rainforest, The Box Trolls"
2003_top-rated_gender_age_only_indie_international,"The Fall, City of God, Pan's Labyrinth, The Secret of Kells, The Handmaiden, Persepolis, The Triplets of Belleville, Waltz with Bashir, The Man Who Would Be Polka, Song of the Sea"
2003_top-rated_gender_age_only_temporal_diverse,"Indiana Jones and the Raiders of the Lost Ark, Back to the Future, The Goonies, E.T. the Extra-Terrestrial, Batman: The Movie, Ghostbusters, The Iron Giant, Willy Wonka & the Chocolate Factory, The NeverEnding Story, How to Train Your Dragon"
2003_top-rated_gender_age_only_obscure_theme,"The Iron Giant, Treasure Planet, The Last Starfighter, The Black Hole, The Flight of the Navigator, The Secret of Kells, Song of the Sea, The Plague Dogs, The Great Mouse Detective, Flight of the Navigator"
2003_top-rated_occupation_only_baseline,"Toy Story, Moana, The Incredibles, Finding Nemo, Aladdin, Beauty and the Beast, Frozen, How to Train Your Dragon, Kung Fu Panda, Zootopia"
2003_top-rated_occupation_only_niche_genre,"The Iron Giant, Kiki's Delivery Service, The Secret of Kells, The Last Unicorn, Song of the Sea, The Pagemaster, Coraline, The NeverEnding Story, My Neighbor Totoro, WALL-E"
2003_top-rated_occupation_only_exclude_popular,"The Iron Giant, An American Tail, The Secret of Kells, Song of the Sea, The Rescuers, The Pagemaster, The Last Unicorn, The Box Trolls, Kiki's Delivery Service, The Tale of the Princess Kaguya"
2003_top-rated_occupation_only_indie_international,"My Neighbor Totoro, Kiki's Delivery Service, The Iron Giant, Song of the Sea, The Secret of Kells, Mary and The Witch's Flower, Ernest & Celestine, A Cat in Paris, The Little Prince, Wolfwalkers"
2003_top-rated_occupation_only_temporal_diverse,"The Iron Giant, WALL-E, How to Train Your Dragon, The Incredibles, Big Hero 6, The NeverEnding Story, The Secret of the Unicorn (Tintin), The Princess and the Frog, Kung Fu Panda, The Rescuers"
2003_top-rated_occupation_only_obscure_theme,"The Iron Giant, The Last Unicorn, The Rescuers, Flight of the Navigator, The Secret of Roan Inish, The Pagemaster, The NeverEnding Story, The Adventures of Milo and Otis, The Brave Little Toaster, The Great Mouse Detective"
2003_top-rated_all_attributes_baseline,"Guardians of the Galaxy, Spider-Man: Into the Spider-Verse, How to Train Your Dragon, The Iron Giant, Big Hero 6, Marvel's The Avengers, The Incredibles, Wreck-It Ralph, Star Wars: The Force Awakens, Peter Pan"
2003_top-rated_all_attributes_niche_genre,"The Iron Giant, The Secret of Kells, How to Train Your Dragon, Kubo and the Two Strings, The Last Unicorn, Song of the Sea, The Boy and the Beast, Coraline, The Tale of the Princess Kaguya, Fantastic Mr. Fox"
2003_top-rated_all_attributes_exclude_popular,"The Iron Giant, The Secret of Kells, Song of the Sea, The Last Unicorn, The Plague Dogs, Watership Down, The Very Hungry Caterpillar and Other Stories, The Little Prince, Kiki's Delivery Service, The Tale of the Princess Kaguya"
2003_top-rated_all_attributes_indie_international,"Spirited Away, The Secret of Kells, Song of the Sea, The Iron Giant, Kiki's Delivery Service, The Triplets of Belleville, The Boy and the Beast, Persepolis, My Neighbor Totoro, A Letter to Momo"
2003_top-rated_all_attributes_temporal_diverse,"Indiana Jones and the Raiders of the Lost Ark, Back to the Future, E.T. the Extra-Terrestrial, The Iron Giant, Ghostbusters, Jurassic Park, The Goonies, WALL-E, Spider-Man: Into the Spider-Verse, How to Train Your Dragon"
2003_top-rated_all_attributes_obscure_theme,"The Iron Giant, The Last Starfighter, Flight of the Navigator, The Rescuers Down Under, The Secret of Moonacre, The Pagemaster, Treasure Planet, The Adventures of Tintin, The Black Cauldron, The Phantom Tollbooth"
2004_top-rated_neutral_baseline,"Gremlins, Ghostbusters, E.T. the Extra-Terrestrial, The Goonies, Indiana Jones and the Raiders of the Lost Ark, Honey, I Shrunk the Kids, The Karate Kid, National Lampoon's Vacation, Big, Close Encounters of the Third Kind"
2004_top-rated_neutral_niche_genre,"The Fall, Pan's Labyrinth, Big Fish, The Secret of Kells, The Adventures of Baron Munchausen, The City of Lost Children, The Fountain, The Last Wave, The Cook, the Thief, His Wife & Her Lover, Stalker"
2004_top-rated_neutral_exclude_popular,"The Iron Giant, Hunt for the Wilderpeople, Moonrise Kingdom, Little Miss Sunshine, The Fall, Safety Not Guaranteed, Kiki's Delivery Service, The Secret of Kells, Big Fish, The Station Agent"
2004_top-rated_neutral_indie_international,"The Lunchbox, City of God, Amélie, Pan's Labyrinth, The Intouchables, The Secret in Their Eyes, In the Mood for Love, Run Lola Run, Persepolis, The Hunt"
2004_top-rated_neutral_temporal_diverse,"It's a Wonderful Life, The Godfather, Raiders of the Lost Ark, Casablanca, The Princess Bride, Pulp Fiction, Singin' in the Rain, The Shawshank Redemption, E.T. the Extra-Terrestrial, The Breakfast Club"
