custom_id,movies
4751_recent_neutral_baseline,"Pineapple Express, The Big Lebowski, Snatch, In Bruges, American Psycho, Catch Me If You Can, Fight Club, The Wolf of Wall Street, Lock, Stock and Two Smoking Barrels, Seven Psychopaths"
4751_recent_neutral_niche_genre,"The Fall, In the Mouth of Madness, The Holy Mountain, Brazil, Eraserhead, The Holy Girl, Gummo, Pi, The Housemaid, The Reflecting Skin"
4751_recent_neutral_exclude_popular,"Inherent Vice, The References, The House of the Devil, The Last Days of Disco, The Machinist, Kiss Kiss Bang Bang, The Cooler, The King of Marvin Gardens, The Last Seduction, The Big White"
4751_recent_neutral_indie_international,"In the Mood for Love, City of God, The Death of Mr. Lazarescu, A Prophet, The Fall, Revanche, The Hunt, Once, The Secret in Their Eyes, Dancer in the Dark"
4751_recent_neutral_temporal_diverse,"Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb, The Big Lebowski, Catch Me If You Can, American Psycho, The Graduate, Pulp Fiction, Fight Club, The Nice Guys, The Wolf of Wall Street, Inherent Vice"
4751_recent_neutral_obscure_theme,"The King of Marvin Gardens, The Last Time I Saw Macao, The Fever, Kansas City, The Killing of a Chinese Bookie, The Last Detail, The House That Jack Built, The American Friend, The Passenger, The Reflection of Fear"
4751_recent_gender_age_only_baseline,"Pulp Fiction, Snatch, Fight Club, The Big Lebowski, American Psycho, Lock, Stock and Two Smoking Barrels, Trainspotting, Boogie Nights, The Wolf of Wall Street, Seven Psychopaths"
4751_recent_gender_age_only_niche_genre,"Inherent Vice, The Nice Guys, Kiss Kiss Bang Bang, The Big Lebowski, American Psycho, The House That Jack Built, Nightcrawler, A Serious Man, The Killing of a Sacred Deer, Drug War"
4751_recent_gender_age_only_exclude_popular,"A Simple Plan, The Last Seduction, In the Company of Men, The House of the Devil, The Assassination of Jesse James by the Coward Robert Ford, Wicked Blood, The Machinist, Drug War, The Proposition, Blue Ruin"
4751_recent_gender_age_only_indie_international,"In the Mood for Love, The Secret in Their Eyes, A Prophet, Once, The Fall, Blue Velvet, City of God, The Lives of Others, Requiem for a Dream, The Holy Mountain"
4751_recent_gender_age_only_temporal_diverse,"Fear and Loathing in Las Vegas, The Big Lebowski, Lock, Stock and Two Smoking Barrels, Pulp Fiction, Seven Psychopaths, American Psycho, Snatch, Fight Club, The Usual Suspects, The Departed"
4751_recent_gender_age_only_obscure_theme,"In the Company of Men, The Last Detail, The King of Comedy, The House That Jack Built, The Cooler, Kiss Kiss Bang Bang, The Assassination of Jesse James by the Coward Robert Ford, The Honeymoon Killers, The Big White, American Movie"
4751_recent_occupation_only_baseline,"The Big Lebowski, Pulp Fiction, Fight Club, American Psycho, Requiem for a Dream, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, The Prestige, Memento, Se7en, Trainspotting"
4751_recent_occupation_only_niche_genre,"Pi, Primer, Dark City, Eraserhead, The Man Who Fell to Earth, Brazil, Gummo, Stalker, Synecdoche, New York, The Fountainhead"
4751_recent_occupation_only_exclude_popular,"The Man Who Fell to Earth, Brazil, Koyaanisqatsi, Memento, The Cook, the Thief, His Wife & Her Lover, Pi, The Double Life of Veronique, Stalker, The Holy Mountain, Synecdoche, New York"
4751_recent_occupation_only_indie_international,"The Holy Girl, The Turin Horse, Toni Erdmann, The Headless Woman, The Bothersome Man, In the Mood for Love, Dogtooth, The Beat That My Heart Skipped, The Man Who Sleeps, Timecrimes"
4751_recent_occupation_only_temporal_diverse,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Brazil, The Man Who Fell to Earth, Memento, Fight Club, The Big Lebowski, Seven, Requiem for a Dream, The Cook, the Thief, His Wife & Her Lover, A Clockwork Orange"
4751_recent_occupation_only_obscure_theme,"The Last Days of Disco, Kiss Kiss Bang Bang, The King of Comedy, The Proposition, In the Loop, The Fall, The Square, The House That Jack Built, The Killing of a Sacred Deer, The Saint of Fort Washington"
4751_recent_all_attributes_baseline,"Night at the Museum, The Big Lebowski, Fight Club, American Psycho, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, The Social Network, Requiem for a Dream, The Grand Budapest Hotel, Inception, The Prestige"
4751_recent_all_attributes_niche_genre,"The Cook, the Thief, His Wife & Her Lover, Brazil, A Serious Man, The House That Jack Built, The Killing of a Sacred Deer, The Holy Mountain, Being John Malkovich, Pi, Eraserhead, Naked Lunch"
4751_recent_all_attributes_exclude_popular,"The Man Who Fell to Earth, Brazil, The Killing of a Sacred Deer, The Cook, the Thief, His Wife & Her Lover, The Spirit of the Beehive, The Double Life of Veronique, The Last Days of Disco, The House That Jack Built, Stalker, The Quay Brothers' Films"
4751_recent_all_attributes_indie_international,"The Man Who Fell to Earth, Gummo, The Holy Mountain, Dark Days, Berlin Alexanderplatz, The Spirit of the Beehive, Pi, Three Colors: Blue, The Last Days, Toni Erdmann"
