custom_id,movies
1751_recent_neutral_baseline,"The Matrix, Inception, Blade Runner, The Fifth Element, E.T. the Extra-Terrestrial, Back to the Future, The Iron Giant, Interstellar, The Prestige, Guardians of the Galaxy"
1751_recent_neutral_niche_genre,"Brazil, Dark City, The Fall, Pan's Labyrinth, City of Lost Children, Stalker, Paprika, The Shape of Water, MirrorMask, The City of Lost Souls"
1751_recent_neutral_exclude_popular,"The Fall, Stalker, Brazil, The City of Lost Children, Dark City, Heavenly Creatures, The Fountain, The Iron Giant, The Last Wave, Pi"
1751_recent_neutral_indie_international,"City of God, Amélie, Oldboy, Pan’s Labyrinth, The Handmaiden, Run Lola Run, The Intouchables, Toni Erdmann, In the Mood for Love, Wild Strawberries"
1751_recent_neutral_temporal_diverse,"Metropolis, Blade Runner, The Silence of the Lambs, 2001: A Space Odyssey, The Shining, Back to the Future, The Thing, Casablanca, The Wizard of Oz, Pan's Labyrinth"
1751_recent_neutral_obscure_theme,"Deep Rising, The City of Lost Children, Dark City, The Shadow, The Fall, The Extra Terrestrial, The Thirteenth Floor, Event Horizon, Stardust, The Fountain"
1751_recent_gender_age_only_baseline,"The Matrix, Mad Max: Fury Road, Inception, Blade Runner, District 9, The Fifth Element, Back to the Future, Guardians of the Galaxy, Edge of Tomorrow, Interstellar"
1751_recent_gender_age_only_niche_genre,"Pan's Labyrinth, The Fall, Brazil, Dark City, The Fountain, Stalker, Eternal Sunshine of the Spotless Mind, The City of Lost Children, A Ghost Story, The VVitch"
1751_recent_gender_age_only_exclude_popular,"Brazil, Dark City, The City of Lost Children, The Fall, Stalker, The Handmaiden, Moon, The Proposition, The Man from Earth, Coherence"
1751_recent_gender_age_only_indie_international,"Blue Velvet, City of God, Pan's Labyrinth, Oldboy, The Handmaiden, Amélie, Run Lola Run, The Fall, A Prophet, In the Mood for Love"
1751_recent_gender_age_only_temporal_diverse,"Blade Runner, The Matrix, Mad Max: Fury Road, The Fifth Element, Inception, Back to the Future, The Iron Giant, District 9, Alien, The Terminator"
1751_recent_gender_age_only_obscure_theme,"The Fall, Dark City, The Iron Giant, The City of Lost Children, Moon, Brazil, The Adventures of Buckaroo B. Benson, The Void, A Ghost Story, The Fountain"
1751_recent_occupation_only_baseline,"The Matrix, Inception, Blade Runner, The Fifth Element, Eternal Sunshine of the Spotless Mind, The Prestige, Pan's Labyrinth, The Iron Giant, Ex Machina, Children of Men"
1751_recent_occupation_only_niche_genre,"Brazil, Stalker, The Fall, Pan's Labyrinth, Metropolis, The Fountain, Brazil, The City of Lost Children, Dark City, The Double Life of Veronique"
