custom_id,movies
5001_top-rated_neutral_baseline,"2001: A Space Odyssey, Wallace & Gromit's A Close Shave, Modern Times, Planet of the Apes (2001), The Iron Giant, Metropolis, Ratatouille, The Great Dictator, Alien, A Trip to the Moon"
5001_top-rated_neutral_niche_genre,"Brazil, A Trip to the Moon, Metropolis, The City of Lost Children, Fantastic Planet, The Secret of Kells, The Fall, Paprika, Dark City, Stalker"
5001_top-rated_neutral_exclude_popular,"A Trip to the Moon, The Cabinet of Dr. Caligari, The Last Laugh, The Red Balloon, The Circus, The Passion of Joan of Arc, Nosferatu, Un chien andalou, The Kid, Sherlock Jr."
5001_top-rated_neutral_indie_international,"City of God, The Spirit of the Beehive, Paprika, Toni Erdmann, The Triplets of Belleville, My Neighbors the Yamadas, The Double Life of Veronique, A Man Vanishes, The Lunchbox, The Secret of Kells"
5001_top-rated_neutral_temporal_diverse,"Metropolis, 2001: A Space Odyssey, Duck Amuck, Charlie Chaplin's Modern Times, The Gold Rush, Blade Runner, The Great Dictator, The Apartment, Brazil, Planet of the Apes (2001)"
5001_top-rated_neutral_obscure_theme,"A Boy and His Dog, The City of Lost Children, The Quay Brothers' Institute Benjamenta, The Last Wave, Fantastic Planet, The Secret of Kells, The Adventures of Prince Achmed, The Iron Giant, Time Bandits, The Spirit of the Beehive"
5001_top-rated_gender_age_only_baseline,"Amélie, The Grand Budapest Hotel, Paddington, Kiki's Delivery Service, Moonrise Kingdom, My Neighbor Totoro, Little Miss Sunshine, The Iron Giant, Up, WALL-E"
5001_top-rated_gender_age_only_niche_genre,"The Secret of Kells, Kiki's Delivery Service, The Fall, Mirrormask, Fantastic Planet, A Trip to the Moon, The City of Lost Children, Paprika, The Last Unicorn, The Adventures of Baron Munchausen"
5001_top-rated_gender_age_only_exclude_popular,"A Trip to the Moon, Fantastic Planet, The Great Mouse Detective, The Secret of Kells, Wizards, The Painting, My Neighbor Totoro, The Iron Giant, The Little Prince, The Triplets of Belleville"
5001_top-rated_gender_age_only_indie_international,"Amélie, The Double Life of Véronique, Spirited Away, Pan’s Labyrinth, The Secret of Kells, Persepolis, The Fall, A Fantastic Woman, In the Mood for Love, The Handmaiden"
5001_top-rated_gender_age_only_temporal_diverse,"Metropolis, Amélie, Clueless, The Grand Budapest Hotel, Breakfast at Tiffany's, Blade Runner, Spirited Away, Casablanca, The Princess Bride, Moonrise Kingdom"
5001_top-rated_gender_age_only_obscure_theme,"The Secret of Kells, A Town Called Panic, The Last Days of Planet Earth, The Triplets of Belleville, The Congress, The Painting, The Illusionist, A Ghost Story, Birdboy: The Forgotten Children, The Spirit of the Beehive"
5001_top-rated_occupation_only_baseline,"Metropolis, The Iron Giant, Blade Runner, A Trip to the Moon, WALL-E, The Incredibles, 2001: A Space Odyssey, Ratatouille, Toy Story, Ghost in the Shell"
5001_top-rated_occupation_only_niche_genre,"Fantastic Planet, The Secret of Kells, Koyaanisqatsi, The Triplets of Belleville, The City of Lost Children, A Scanner Darkly, Waltz with Bashir, The Last Wave, The Adventures of Prince Achmed, Metropolis"
5001_top-rated_occupation_only_exclude_popular,"The Man Who Fell to Earth, A Zed & Two Noughts, The Street Fighter, The Holy Mountain, The Color of Pomegranates, The Spirit of the Beehive, The Passenger, Stalker, Daisies, Wings of Desire"
5001_top-rated_occupation_only_indie_international,"The Holy Mountain, Toni Erdmann, The Spirit of the Beehive, Beyond the Hills, A Man Escaped, The Color of Pomegranates, The Headless Woman, The Spirit of the Beehive, The Last Wave, A Boy and His Samurai"
5001_top-rated_occupation_only_temporal_diverse,"Metropolis, Duck Amuck, Modern Times, 2001: A Space Odyssey, The Gold Rush, The Great Dictator, A Trip to the Moon, The Adventures of Prince Achmed, Blade Runner, WALL-E"
5001_top-rated_occupation_only_obscure_theme,"Allegro Non Troppo, Koyaanisqatsi, The Hand"
5001_top-rated_all_attributes_baseline,"Amélie, The Grand Budapest Hotel, Spirited Away, Moonrise Kingdom, The Secret of Kells, Ratatouille, The Triplets of Belleville, Sen to Chihiro no Kamikakushi, WALL-E, Fantastic Mr. Fox"
5001_top-rated_all_attributes_niche_genre,"Waltz with Bashir, Persepolis, The Secret of Kells, A Scanner Darkly, The Fall, Mind Game, Fantastic Planet, The Congress, Paprika, The Illusionist"
