custom_id,movies
2751_recent_neutral_baseline,"The Remains of the Day, The Age of Innocence, Sense and Sensibility, Little Women, A Room with a View, The Secret Life of Words, The Best Exotic Marigold Hotel, Fried Green Tomatoes, The Station Agent, On Golden Pond"
2751_recent_neutral_niche_genre,"The Last Detail, The Straight Story, The Son's Room, In the Bedroom, The Celebration, The Station Agent, Wendy and Lucy, The Sweet Hereafter, A Late Quartet, The Arbor"
2751_recent_neutral_exclude_popular,"The Station Agent, A Late Quartet, The Sweet Hereafter, In the Bedroom, The Castle, The Last of the Mohicans, The Razor's Edge, The Secret of Roan Inish, The King of Marvin Gardens, Hiroshima Mon Amour"
2751_recent_neutral_indie_international,"A Ghost Story, The Lives of Others, In the Mood for Love, The Lunchbox, Tampopo, The Celebration, Stranger Than Paradise, Paprika, The Spirit of the Beehive, The Headless Woman"
2751_recent_neutral_temporal_diverse,"To Kill a Mockingbird, The Graduate, On Golden Pond, The Remains of the Day, Ordinary People, A Passage to India, The Apartment, Cinema Paradiso, The Best Years of Our Lives, The Year of Living Dangerously"
2751_recent_neutral_obscure_theme,"The Sweet Hereafter, A Single Man, Lantana, The Last of the Mohicans, The House of Mirth, The Straight Story, The Passenger, Little Miss Sunshine, The Salvation, In the Mood for Love"
2751_recent_gender_age_only_baseline,"The Remains of the Day, Little Women, Sense and Sensibility, Pride and Prejudice, The English Patient, Fried Green Tomatoes, Steel Magnolias, Ordinary People, The Queen, Annie Hall"
2751_recent_gender_age_only_niche_genre,"The Last of the Mohicans, The Painted Veil, A Good Woman, An Education, The Secret of Roan Inish, The Queen of Black Magic, The Tree of Life, In the Mood for Love, The Spirit of the Beehive, Wanderlust"
2751_recent_gender_age_only_exclude_popular,"The Secret of Roan Inish, A Late Quartet, The Savages, The Little Foxes, The Queen of Hearts, The House of Mirth, The Door in the Floor, The Sweet Hereafter, The Shipping News, The Edge of Seventeen"
2751_recent_gender_age_only_indie_international,"Frances Ha, Toni Erdmann, The Farewell, Amélie, Portrait of a Lady on Fire, The Lunchbox, A Separation, The Double Life of Véronique, In the Mood for Love, The Secret in Their Eyes"
2751_recent_gender_age_only_temporal_diverse,"To Kill a Mockingbird, Little Women, Pride and Prejudice, The Sound of Music, Annie Hall, Sense and Sensibility, The Age of Innocence, A Room with a View, Fried Green Tomatoes, The Secret Garden"
2751_recent_gender_age_only_obscure_theme,"A Patch of Blue, The Secret Garden, The Love Letter, Mrs. Palfrey at the Claremont, Little Darlings, The Belle of Amherst, A Month by the Lake, In the Bedroom, The Sweet Hereafter, The Yearling"
2751_recent_occupation_only_baseline,"The Remains of the Day, Little Women, The English Patient, Annie Hall, To Kill a Mockingbird, The Apartment, On Golden Pond, Mrs. Miniver, A River Runs Through It, The Queen"
2751_recent_occupation_only_niche_genre,"In the Mood for Love, The Last Detail, The Spirit of the Beehive, The Heart of the World, Wings of Desire, A Ghost Story, The Double Life of Veronique, Paris, Texas, Broken Flowers, Paterson"
2751_recent_occupation_only_exclude_popular,"The Last Picture Show, A Man Called Ove, In the Mood for Love, The Sea Inside, The Straight Story, The Heart of the Matter, The Browning Version, The Irishman, The Passenger, The Enigma of Kaspar Hauser"
2751_recent_occupation_only_indie_international,"In the Mood for Love, The Celebration, The Class, A Separation, Wild Strawberries, My Dinner with Andre, The Last Wave, Tokyo Story, Portrait of a Lady on Fire, The Spirit of the Beehive"
2751_recent_occupation_only_temporal_diverse,"To Kill a Mockingbird, The Apartment, On Golden Pond, The Sound of Music, A Passage to India, The Great Escape, Terms of Endearment, The Remains of the Day, Ordinary People, Guess Who's Coming to Dinner"
2751_recent_occupation_only_obscure_theme,"The Last of the Mohicans, A Month in the Country, The House of Mirth, The Sweet Hereafter, The Secret of Roan Inish, Scenes from a Marriage, The Celebration, The Proposition, The Gardener, In the Mood for Love"
2751_recent_all_attributes_baseline,"Little Women, The Help, Pride and Prejudice, Steel Magnolias, The Secret Life of Bees, Fried Green Tomatoes, The Age of Innocence, A Little Princess, Sense and Sensibility, Mona Lisa Smile"
2751_recent_all_attributes_niche_genre,"The Last of the Mohicans, A Ghost Story, The Painted Veil, The Secret of Roan Inish, In the Mood for Love, Paterson, The Love Witch, Certain Women, The Rider, A Ghost Story"
2751_recent_all_attributes_exclude_popular,"The Last Station, A Month in the Country, The Secret Life of Words, The Love Letter, The House of Mirth, The Heart of the Matter, The Squid and the Whale, The Song of the Lark, The Deep End, The Distant Horizon"
