custom_id,movies
2001_recent_neutral_baseline,"The Others, Memento, Fight Club, Clueless, The Day After Tomorrow, The Great Escape, The Abyss, Galaxy Quest, The Usual Suspects, Stand by Me"
2001_recent_neutral_niche_genre,"Coherence, The Fall, The Invitation, The Others, Timecrimes, The Wailing, The Orphanage, The Void, The Babadook, Triangle"
2001_recent_neutral_exclude_popular,"The Others, Dead Man's Shoes, The Killing of a Sacred Deer, The Double Life of Veronique, The Machinist, The Last Wave, The Reflection of Fear, The Vanishing, The Spirit of the Beehive, The Orphanage"
2001_recent_neutral_indie_international,"The Lunchbox, A Separation, In the Mood for Love, Pan's Labyrinth, The Hunt, Run Lola Run, City of God, The Secret in Their Eyes, Toni Erdmann, Wild Strawberries"
2001_recent_neutral_temporal_diverse,"Vertigo, Clue, Chinatown, The Breakfast Club, Shutter Island, The Thing, Sunset Boulevard, The Great Escape, Girl, Interrupted, The Abyss"
2001_recent_neutral_obscure_theme,"The Invitation, The Fall, The Others, The Machinist, Coherence, The Proposition, The Grey, The Void, Timecrimes, The Last Wave"
2001_recent_gender_age_only_baseline,"The Usual Suspects, Fight Club, Se7en, Clueless, Superbad, The Great Escape, Mad Max: Fury Road, Inception, The Mask of Zorro, The Game"
2001_recent_gender_age_only_niche_genre,"The Machinist, Memento, Donnie Darko, Pi, The Others, Clerks, The Fall, The Company of Wolves, Dark City, The Fountain"
2001_recent_gender_age_only_exclude_popular,"The Orphanage, Memento, The Invitation, The Others, The Machinist, The Descent, Coherence, The Witch, The Fall, Blue Velvet"
2001_recent_gender_age_only_indie_international,"The Secret in Their Eyes, A Ghost Story, The Hunt, In the Mood for Love, The Wind Rises, The Fall, Pan’s Labyrinth, City of God, Blue Is the Warmest Color, The Lives of Others"
2001_recent_gender_age_only_temporal_diverse,"The Usual Suspects, Clue, Chinatown, Memento, The Thing, North by Northwest, The Shining, Heat, The French Connection, Se7en"
2001_recent_gender_age_only_obscure_theme,"The Machinist, The Invitation, The Fall, Memento, Coherence, The Others, The Orphanage, Timecrimes, The Descent, The Void"
2001_recent_occupation_only_baseline,"Memento, Dead Poets Society, The Truman Show, The Prestige, Good Will Hunting, Stand by Me, A Beautiful Mind, The Usual Suspects, To Kill a Mockingbird, The Shawshank Redemption"
2001_recent_occupation_only_niche_genre,"The Fall, Coherence, The Man from Earth, Paprika, Brazil, The Invitation, Primer, The Void, Stalker, The City of Lost Children"
