custom_id,movies
1001_recent_neutral_baseline,"Waiting for Godot, Little Miss Sunshine, Notting Hill, The Birdcage, Four Weddings and a Funeral, My Big Fat Greek Wedding, Amélie, Bridget Jones's Diary, Clueless, Trainspotting"
1001_recent_neutral_niche_genre,"Big Night, Waiting for Guffman, The Celebration, The Dish, In the Loop, The Last Days of Disco, The Funeral, The Ballad of Buster Scruggs, The Commune, The King of Marvin Gardens"
1001_recent_neutral_exclude_popular,"The Last Days of Disco, The Dish, The Pillow Book, Local Hero, A Midwinter's Tale, The Rapture, A Private Function, The Reflecting Skin, My Life So Far, The Secret of Roan Inish"
1001_recent_neutral_indie_international,"Amélie, In the Mood for Love, The Lunchbox, Cinema Paradiso, Toni Erdmann, The Intouchables, Run Lola Run, Pan’s Labyrinth, The Hunt, A Separation"
1001_recent_neutral_temporal_diverse,"Some Like It Hot, Groundhog Day, Tootsie, When Harry Met Sally, The Philadelphia Story, His Girl Friday, Roman Holiday, It Happened One Night, Mona Lisa Smile, The Shop Around the Corner"
1001_recent_neutral_obscure_theme,"The Dish, The Station Agent, Local Hero, The Last Days of Disco, The Death of Stalin, In the Loop, The Ladykillers, The Little Death, The Brothers Bloom, The Way Way Back"
1001_recent_gender_age_only_baseline,"Superbad, The 40-Year-Old Virgin, Dumb and Dumber, Ferris Bueller's Day Off, American Pie, Crazy, Stupid, Love., Notting Hill, 10 Things I Hate About You, Crazy Rich Asians, The Princess Bride"
1001_recent_gender_age_only_niche_genre,"In the Company of Men, The Dish, The Last Days of Disco, Bottle Rocket, The Fall, Kiss Kiss Bang Bang, The Station Agent, Big Night, In Bruges, The Party"
1001_recent_gender_age_only_exclude_popular,"The Station Agent, Kiss Kiss Bang Bang, In the Company of Men, The Dish, The Proposition, The Last Days of Disco, Lantana, The Reflection of You, The Pledge, Lilya 4-Ever"
1001_recent_gender_age_only_indie_international,"City of God, The Intouchables, Amélie, Good Bye Lenin!, The Hunt, A Separation, In the Mood for Love, Pan’s Labyrinth, The Lunchbox, Borat"
1001_recent_gender_age_only_temporal_diverse,"Ferris Bueller's Day Off, Groundhog Day, The Princess Bride, Big Trouble in Little China, The Mask, Trading Places, Ghostbusters, Planes, Trains & Automobiles, Wayne's World, The Blues Brothers"
1001_recent_gender_age_only_obscure_theme,"Kikujiro, The Way Way Back, In the Loop, The Brothers Bloom, The Dish, The Station Agent, Safety Not Guaranteed, The Last Days of Disco, Begin Again, The Kings of Summer"
1001_recent_occupation_only_baseline,"Bridget Jones's Diary, Notting Hill, 10 Things I Hate About You, Clueless, Easy A, Crazy Rich Asians, Mean Girls, Legally Blonde, The Proposal, Love Actually"
1001_recent_occupation_only_niche_genre,"The Fall, Big Night, The Dish, Once, In the Mood for Love, The Secret of Kells, The Station Agent, Moonrise Kingdom, Paterson, Waitress"
1001_recent_occupation_only_exclude_popular,"The Birdcage, Welcome to the Dollhouse, Little Miss Sunshine, Lars and the Real Girl, The Dish, Lost in America, The Station Agent, In the Company of Men, The Last Days of Disco, Wonder Boys"
1001_recent_occupation_only_indie_international,"Amélie, City of God, The Intouchables, In the Mood for Love, Once, Paprika, The Lunchbox, Run Lola Run, Toni Erdmann, Wild Tales"
1001_recent_occupation_only_temporal_diverse,"Some Like It Hot, Groundhog Day, The Princess Bride, Amélie, Life Is Beautiful, Ferris Bueller's Day Off, Clueless, The Philadelphia Story, Moonstruck, Big Trouble in Little China"
1001_recent_occupation_only_obscure_theme,"The Dish, Kiss Kiss Bang Bang, The Station Agent, Little Miss Sunshine, The Last Days of Disco, In the Loop, Lars and the Real Girl, The Brothers Bloom, Sunshine Cleaning, The Way Way Back"
1001_recent_all_attributes_baseline,"Superbad, Dumb and Dumber, The Princess Bride, 10 Things I Hate About You, Ferris Bueller's Day Off, Clueless, Crazy, Stupid, Love., Mean Girls, The 40-Year-Old Virgin, Easy A"
1001_recent_all_attributes_niche_genre,"The Dish, Kiss Kiss Bang Bang, The Fall, The Station Agent, In the Mood for Love, Little Miss Sunshine, The Way Way Back, Amélie, Juno, Hunt for the Wilderpeople"
1001_recent_all_attributes_exclude_popular,"The Dish, The Ref, Local Hero, The Secret of My Success, The Fisher King, Lantana, The Station Agent, The Last Days of Disco, The Slums of Beverly Hills, The Proposition"
1001_recent_all_attributes_indie_international,"In the Mood for Love, The Lunchbox, Toni Erdmann, The Intouchables, Amélie, Pan’s Labyrinth, The Diving Bell and the Butterfly, Wild Tales, City of God, The Secret in Their Eyes"
1001_recent_all_attributes_temporal_diverse,"Clerks, Ferris Bueller's Day Off, The Breakfast Club, Trading Places, Dead Man Don't Wear Plaid, The Princess Bride, Big Trouble in Little China, Superbad, O Brother, Where Art Thou?, Rushmore"
1001_recent_all_attributes_obscure_theme,"Kiss Kiss Bang Bang, The Dish, The Station Agent, In the Company of Men, Lantana, The Last Days of Disco, The Way Way Back, Adventureland, Little Miss Sunshine, Sing Street"
1002_recent_neutral_baseline,"Remember the Titans, The Insider, The Fugitive, Contagion, The Pelican Brief, A Few Good Men, The Hurricane, Sicario, The Sum of All Fears, The Great Debaters"
1002_recent_neutral_niche_genre,"The Fall, The Fountain, The Assassin, The Proposition, The Red Turtle, The Great Silence, The Wind Rises, The Mission, The Proposition, The Proposition"
1002_recent_neutral_indie_international,"The Hunt, City of God, Wild Tales, The Secret in Their Eyes, Persepolis, A Separation, The Diving Bell and the Butterfly, Once Were Warriors, Incendies, The White Ribbon"
1002_recent_neutral_temporal_diverse,"Remember the Titans, The Fighter, The Edge of Seventeen, The Bourne Identity, The Untouchables, The Last Samurai, The Insider, Se7en, Saving Private Ryan, The Pelican Brief"
1002_recent_neutral_obscure_theme,"The River Wild, The Edge, The Constant Gardener, The Man Who Cried, The Last Days of Disco, The River's Edge, The Pledge, The Yards, The Sweet Hereafter, The River Wild"
1002_recent_gender_age_only_baseline,"Any Given Sunday, Outbreak, The Horse Whisperer, Remember the Titans, The Last Dance, The Contender, John Q, A Few Good Men, The Great Debaters, Courage Under Fire"
1002_recent_gender_age_only_niche_genre,"The Fall, Pi, The Fountain, Memento, The Proposition, Blue Velvet, Eraserhead, The Assassination of Jesse James by the Coward Robert Ford, Stalker, Fitzcarraldo"
1002_recent_gender_age_only_exclude_popular,"The Sweet Hereafter, The River's Edge, The Killing of a Sacred Deer, The Proposition, The Ice Storm, The Last Wave, The Man Who Fell to Earth, The Proposition, The Proposition, The Proposition"
