custom_id,movies
501_recent_neutral_baseline,"A Nightmare on Elm Street, Friday the 13th Part VI: Jason Lives, Scream, The Evil Dead, Urban Legend, Tremors, The Burbs, Arachnophobia, Pale Rider, Motel Hell"
501_recent_neutral_niche_genre,"Mandy, Junoon, The Void, The Invitation, Tusk, The Greasy Strangler, Dead Alive, Hausu, The Lighthouse, Beyond the Black Rainbow"
501_recent_neutral_exclude_popular,"Sleepaway Camp, The Prowler, Maniac Cop, TerrorVision, Dead & Buried, The House on Sorority Row, Blood Rage, The Initiation, The Unseen, Night of the Creeps"
501_recent_neutral_indie_international,"The Invitation (2015), The Babadook, A Girl Walks Home Alone at Night, The Witch, Toni Erdmann, The Lobster, Requiem for a Dream, Only Lovers Left Alive, The Holy Mountain, Gummo"
501_recent_neutral_temporal_diverse,"Evil Dead II, Poltergeist, The Evil Dead, Blazing Saddles, Young Frankenstein, The Texas Chain Saw Massacre, The Shining, Scream, House of 1000 Corpses, The Silence of the Lambs"
501_recent_neutral_obscure_theme,"The Prowler, Dead End Drive-In, The Reflecting Skin, Night of the Creeps, The House That Jack Built, Event Horizon, Goke, Body Snatcher from Hell, The Void, Tetsuo: The Iron Man, The Brood"
501_recent_gender_age_only_baseline,"Evil Dead 2, Army of Darkness, The Evil Dead, House, Tremors, Tremors 2: Aftershocks, Tremors 3: Back to Perfection, The Frighteners, Pineapple Express, Zombieland"
501_recent_gender_age_only_niche_genre,"Tetsuo: The Iron Man, Gozu, Beyond the Black Rainbow, The Void, Mandy, The House by the Cemetery, Deadly Prey, The Reflecting Skin, Pink Flamingos, The Cat's Eye"
501_recent_gender_age_only_exclude_popular,"In the Mouth of Madness, The Stuff, Sleepaway Camp, Manitou, The Prowler, Evil Dead 2, House, Madman, Blood Rage, The House by the Cemetery"
501_recent_gender_age_only_indie_international,"The Holy Mountain, City of God, The Spirit of the Beehive, Gummo, Eraserhead, Paprika, The Fall, Persepolis, The Man Who Fell to Earth, Toni Erdmann"
501_recent_gender_age_only_temporal_diverse,"Night of the Living Dead, The Evil Dead, Poltergeist, The Texas Chain Saw Massacre, Big Trouble in Little China, The Lost Boys, Gremlins, The Shining, Escape from New York, They Live"
501_recent_gender_age_only_obscure_theme,"Behind the Mask: The Rise of Leslie Vernon, The Prowler, Session 9, The Reflecting Skin, The House of the Devil, Six String Samurai, Dead End Drive-In, Cemetery Man, The Editor, The Last Circus"
501_recent_occupation_only_baseline,"Eraserhead, The House That Jack Built, The Evil Dead, Tetsuo: The Iron Man, Bubba Ho-Tep, The Void, Dead Alive, Man Bigs, The Canterville Ghost, The Last Horror Film"
501_recent_occupation_only_niche_genre,"Gates of Hell, Possession, Happiness of the Katakuris, The Reflecting Skin, Eraserhead, Dead Man's Shoes, The House That Jack Built, The Holy Mountain, Tetsuo: The Iron Man, The Swimmer"
501_recent_occupation_only_exclude_popular,"The Reflecting Skin, Dead Man's Shoes, A Ghost Story, The House That Jack Built, The Battery, The Eyes of My Mother, The Pusher, The Autopsy of Jane Doe, The Last Wave, The Babadook"
501_recent_occupation_only_indie_international,"The Spirit of the Beehive, Toni Erdmann, The Double Life of Véronique, In the Realm of the Senses, Tokyo Story, The Holy Mountain, Come and See, The Act of Killing, A Man Vanishes, The Great Happiness Space"
501_recent_occupation_only_temporal_diverse,"Evil Dead 2, Night of the Living Dead, The Shining, Poltergeist, Blazing Saddles, The Texas Chain Saw Massacre, The Thing, The Evil Dead, Young Frankenstein, The Great Silence"
501_recent_occupation_only_obscure_theme,"The House That Jack Built, House of the Devil, Pontypool, Session 9, The Prowler, The reflecting Skin, The Void, They Look Like People, Dead Silence, Ravenous"
501_recent_all_attributes_baseline,"Evil Dead II, Re-Animator, Tucker & Dale vs Evil, The Evil Dead, House, The Cabin in the Woods, Shaun of the Dead, Clerks, The Evil Dead, Tropic Thunder"
501_recent_all_attributes_niche_genre,"Hausu, Goke, Body Snatcher of Destiny, Tetsuo: The Iron Man, The Void, Beyond the Black Rainbow, Eraserhead, The Reflecting Skin, Gothic, The Holy Mountain, Possession"
501_recent_all_attributes_exclude_popular,"Eraserhead, Gummo, Pink Flamingos, Dead Man's Shoes, The Reflecting Skin, The Housemaid, A Field in England, The Last Wave, The Apostle, The Cremator"
501_recent_all_attributes_indie_international,"Eraserhead, Gummo, The Holy Mountain, Toni Erdmann, City of God, A Girl Walks Home Alone at Night, The Lobster, Blue Velvet, The Diving Bell and the Butterfly, Persepolis"
501_recent_all_attributes_temporal_diverse,"Eraserhead, Pink Floyd: The Wall, A Nightmare on Elm Street 3: Dream Warriors, Twin Peaks: Fire Walk with Me, The Evil Dead, Re-Animator, The Cabinet of Dr. Caligari, The Holy Mountain, The Texas Chain Saw Massacre, Donnie Darko"
501_recent_all_attributes_obscure_theme,"Stage Fright, Sleepaway Camp, The Prowler, Blood Diner, Butcher Baker Nightmare Maker, Maniac Cop, The Beyond, Terrifier, The House on Sorority Row, The Burning"
502_recent_neutral_baseline,"The Green Mile, Forrest Gump, The Godfather, Schindler's List, Goodfellas, Catch Me If You Can, American History X, The Departed, Pulp Fiction, The Shawshank Redemption"
502_recent_neutral_niche_genre,"The Fall, The Great Silence, The Spirit of the Beehive, Pink Flamingos, Eraserhead, Come and See, Wings of Desire, Brazil, The Holy Mountain, Fitzcarraldo"
502_recent_neutral_exclude_popular,"The Last Detail, Long Day's Journey Into Night, Moonlight Mile, The Sweet Hereafter, The Pony Express, The Visitor, The Straight Story, The Apostle, The Heart is a Lonely Hunter, The Last Wave"
502_recent_neutral_indie_international,"A Ghost Story, The Hunt, In the Mood for Love, The Spirit of the Beehive, The Double Life of Veronique, Shoplifters, Mommy, The Kid With a Bike, Toni Erdmann, Police, Adjective"
502_recent_neutral_temporal_diverse,"12 Angry Men, Some Like It Hot, The Apartment, To Kill a Mockingbird, On the Waterfront, Casablanca, The Godfather, Chinatown, Goodfellas, Pulp Fiction"
502_recent_neutral_obscure_theme,"The Last Detail, A Simple Plan, The Celebration, The Man Who Fell to Earth, The Killing of a Sacred Deer, The Sweet Hereafter, The Straight Story, The House That Jack Built, The Proposition, The Fall"
502_recent_gender_age_only_baseline,"The Godfather, Fight Club, Goodfellas, Pulp Fiction, Forrest Gump, The Departed, Shrek, Superbad, The Big Lebowski, American History X"
502_recent_gender_age_only_niche_genre,"Blue Velvet, The Fall, Oldboy, City of God, Pan's Labyrinth, Requiem for a Dream, A Ghost Story, Let the Right One In, The Witch, Moonlight"
502_recent_gender_age_only_exclude_popular,"The Last Detail, A Prophet, The River's Edge, Dead Man's Shoes, The Killing of a Sacred Deer, Blue Valentine, The Proposition, Down by Law, The Sweet Hereafter, The Master"
502_recent_gender_age_only_indie_international,"City of God, A Prophet, The Hunt, Requiem for a Dream, Once, The Intouchables, Shoplifters, Train to Busan, In the Mood for Love, The Killing of a Sacred Deer"
502_recent_gender_age_only_temporal_diverse,"Fight Club, Goodfellas, Pulp Fiction, The Godfather, Forrest Gump, American History X, The Silence of the Lambs, Se7en, Requiem for a Dream, Scarface"
502_recent_gender_age_only_obscure_theme,"A Prophet, The Fall, The Proposition, Memento, The Assassination of Jesse James by the Coward Robert Ford, In the Mood for Love, The Man Who Shot Liberty Valance, The Place Beyond the Pines, The King of Marvin Gardens, The Proposition"
502_recent_occupation_only_baseline,"Patch Adams, One Flew Over the Cuckoo's Nest, Awakenings, Good Will Hunting, The Doctor, Patch of Blue, Contagion, Lorenzo's Oil, Awakenings, The Intouchables"
502_recent_occupation_only_niche_genre,"The Diving Bell and the Butterfly, A Beautiful Mind, Patch Adams, The Intouchables, One Flew Over the Cuckoo's Nest, Awakenings, The Doctor, Lorenzo's Oil, The Physician, The Great Silence"
502_recent_occupation_only_exclude_popular,"The King of Comedy, Dead Man Walking, The Sweet Hereafter, A Short Film About Love, The Man Who Fell to Earth, The Celebration, The Celebration, Ladri di biciclette, The Mirror, The Spirit of the Beehive"
502_recent_occupation_only_indie_international,"A Separation, The Intouchables, Pan's Labyrinth, Memories of Murder, The Hunt, In the Mood for Love, Wild Strawberries, The Diving Bell and the Butterfly, Toni Erdmann, Shoplifters"
502_recent_occupation_only_temporal_diverse,"One Flew Over the Cuckoo's Nest, The Great Escape, Patch Adams, Awakenings, The Doctor, M*A*S*H, Good Will Hunting, The King's Speech, Silver Linings Playbook, Patch of Blue"
502_recent_occupation_only_obscure_theme,"The Constant Gardener, The Fall, The Road Within, The Spirit of the Beehive, The Station Agent, The Man Who Shot Liberty Valance, The Secret in Their Eyes, Lantana, The Sweet Hereafter, A Short Film About Killing"
502_recent_all_attributes_baseline,"The Green Mile, Forrest Gump, Good Will Hunting, Schindler's List, One Flew Over the Cuckoo's Nest, A Beautiful Mind, Catch Me If You Can, The King's Speech, Patch Adams, The Social Network"
502_recent_all_attributes_niche_genre,"The Intouchables, The Fall, A Ghost Story, The Spirit of the Beehive, The Diving Bell and the Butterfly, In the Mood for Love, The Last Detail, The Station Agent, The King of Marvin Gardens, My Dinner with Andre"
502_recent_all_attributes_exclude_popular,"The Killing of a Sacred Deer, A Ghost Story, The Master, The Proposition, The Sunset Limited, The Sweet Hereafter, The Assassination of Jesse James by the Coward Robert Ford, Murmur of the Heart, In the Mood for Love, The Double Life of Veronique"
502_recent_all_attributes_indie_international,"A Separation, The Hunt, In the Mood for Love, City of God, The Intouchables, Memories of Murder, The Diving Bell and the Butterfly, Pan's Labyrinth, Blue Is the Warmest Color, Wild Tales"
502_recent_all_attributes_temporal_diverse,"One Flew Over the Cuckoo's Nest, Schindler's List, Good Will Hunting, Dead Poets Society, Patch Adams, A Few Good Men, Awakenings, The Great Escape, Catch Me If You Can, The King's Speech"
502_recent_all_attributes_obscure_theme,"The Pursuit of Happyness, The Fall, The Station Agent, A Prophet, The Intouchables, The Man Who Shot Liberty Valance, The Last Detail, Dead Man's Shoes, Lantana, The Proposition"
503_recent_neutral_baseline,"Once Upon a Time in the West, Django Unchained, The Magnificent Seven, True Grit, High Plains Drifter, The Good, the Bad and the Weird, Tombstone, Unforgiven, The Outlaw Josey Wales, The Quick and the Dead"
503_recent_neutral_niche_genre,"The Proposition, Dead Man, High Plains Drifter, The Assassination of Jesse James by the Coward Robert Ford, The Proposition, Django Unchained, The Proposition, The Proposition, The Proposition, The Proposition"
503_recent_neutral_exclude_popular,"The Outlaw Josey Wales, The Proposition, The Assassination of Jesse James by the Coward Robert Ford, The Homesman, The Proposition, The Ballad of Buster Scruggs, Appaloosa, The Proposition, Unforgiven, Django Unchained"
503_recent_neutral_indie_international,"Once Upon a Time in the West, The Proposition, The Good, the Bad and the Weird, The Assassin, A Prophet, The Outrage, The Secret in Their Eyes, The Wind Journeys, The Hunter, The Man from Nowhere"
503_recent_neutral_temporal_diverse,"Once Upon a Time in the West, High Noon, The Magnificent Seven, Django Unchained, The Good, the Bad and the Ugly (1966), The Wild Bunch, The Searchers, Mad Max: Fury Road, Tombstone, Lawrence of Arabia"
503_recent_neutral_obscure_theme,"The Big Gundown, Django Kill... If You Live, Shoot!, The Great Silence, The Outlaw Josey Wales, The Proposition, The Salvation, The Duelist, The Magnificent Seven (1960), Red Sun, El Topo"
503_recent_gender_age_only_baseline,"Once Upon a Time in the West, Django Unchained, The Magnificent Seven, Tombstone, The Good, the Bad and the Ugly, Unforgiven, The Outlaw Josey Wales, True Grit, High Plains Drifter, 3:10 to Yuma"
503_recent_gender_age_only_niche_genre,"The Proposition, Dead Man, The Assassination of Jesse James by the Coward Robert Ford, True Grit, Django Unchained, The Proposition, High Plains Drifter, The Proposition, Appaloosa, The Salvation"
