custom_id,movies
2251_recent_neutral_baseline,"The Muppets Take Manhattan, Paddington, The Iron Giant, Big, E.T. the Extra-Terrestrial, Bill & Ted's Excellent Adventure, Honey, I Shrunk the Kids, Back to the Future, Labyrinth, The Little Mermaid"
2251_recent_neutral_niche_genre,"The Dark Crystal, Labyrinth, The City of Lost Children, The Fall, Big Trouble in Little China, Brazil, The Adventures of Baron Munchausen, The Secret of Kells, Mirrormask, Pink Floyd The Wall"
2251_recent_neutral_exclude_popular,"The Muppet Movie, Big Trouble in Little China, The Iron Giant, The Secret of NIMH, The Last Starfighter, Labyrinth, The Adventures of Buckaroo B. Warren, The NeverEnding Story, The City of Lost Children, The Dark Crystal"
2251_recent_neutral_indie_international,"The Spirit of the Beehive, The Red Balloon, Shoplifters, The Lunchbox, Pan's Labyrinth, Cinema Paradiso, City of God, Toni Erdmann, The Intouchables, The Quiet Earth"
2251_recent_neutral_temporal_diverse,"Bedknobs and Broomsticks, E.T. the Extra-Terrestrial, The Little Rascals, Big, The Iron Giant, Willy Wonka & the Chocolate Factory, The Goonies, Back to the Future, Paddington, Labyrinth"
2251_recent_neutral_obscure_theme,"The Great Muppet Caper, The Secret of NIMH, The Peanut Butter Falcon, The Iron Giant, Hunt for the Wilderpeople, The Adventures of Buckaroo B-52, Big Trouble in Little China, Kiki's Delivery Service, The Fall, The Watermelon Woman"
2251_recent_gender_age_only_baseline,"Back to the Future, The Goonies, Teenage Mutant Ninja Turtles, Ghostbusters, Indiana Jones and the Raiders of the Lost Ark, Stand by Me, Super 8, E.T. the Extra-Terrestrial, Big Trouble in Little China, Bill & Ted's Excellent Adventure"
2251_recent_gender_age_only_niche_genre,"Big Trouble in Little China, The Iron Giant, Kubo and the Two Strings, The Secret of NIMH, The Last Starfighter, Hunt for the Wilderpeople, The Adventures of Buckaroo B.I.M.P., The NeverEnding Story, Moonrise Kingdom, The Fall"
2251_recent_gender_age_only_exclude_popular,"The Secret of NIMH, Big Trouble in Little China, The Iron Giant, The NeverEnding Story, Labyrinth, The Last Starfighter, Time Bandits, Willow, The Waterboy, Dark Crystal"
2251_recent_gender_age_only_indie_international,"City of God, Amélie, The Intouchables, Pan's Labyrinth, Oldboy, The Hunt, Run Lola Run, Toni Erdmann, The Secret in Their Eyes, Borat"
2251_recent_gender_age_only_temporal_diverse,"Back to the Future, Ghostbusters, The Goonies, Stand by Me, Big Trouble in Little China, The Iron Giant, Labyrinth, Indiana Jones and the Raiders of the Lost Ark, E.T. the Extra-Terrestrial, The Princess Bride"
2251_recent_gender_age_only_obscure_theme,"The Great Mouse Detective, The Last Dragon, Flash Gordon, The Iron Giant, Mystery Men, Big Trouble in Little China, The Secret of NIMH, The Forbidden Zone, Dark Crystal, The, Time Bandits"
2251_recent_occupation_only_baseline,"The Muppet Movie, Big, The Secret of Monkey Island, E.T. the Extra-Terrestrial, Back to the Future, Bill & Ted's Excellent Adventure, Labyrinth, The Goonies, Honey, I Shrunk the Kids, The Iron Giant"
2251_recent_occupation_only_niche_genre,"The Secret of Kells, The Adventures of Baron Munchausen, The Fall, Big Fish, The Iron Giant, Moonrise Kingdom, The City of Lost Children, The Little Prince, Hugo, Pan's Labyrinth"
2251_recent_occupation_only_exclude_popular,"The Great Muppet Caper, The Secret of NIMH, Hunt for the Wilderpeople, My Neighbor Totoro, Big Trouble in Little China, The Iron Giant, The Fall, Kiki's Delivery Service, The Adventures of Buckaroo Bbooney, The NeverEnding Story"
2251_recent_occupation_only_indie_international,"The Spirit of the Beehive, Toni Erdmann, The Triplets of Belleville, The Fall, City of God, The Intouchables, Pan’s Labyrinth, Wadjda, In the Mood for Love, The Secret of Kells"
2251_recent_occupation_only_temporal_diverse,"The Pink Panther, Back to the Future, E.T. the Extra-Terrestrial, The Goonies, Indiana Jones and the Raiders of the Lost Ark, Ghostbusters, The Princess Bride, Batteries Not Included, Big, The Mask"
2251_recent_occupation_only_obscure_theme,"The Secret of NIMH, Kiki's Delivery Service, The Last Starfighter, The Iron Giant, The Adventures of Buckaroo B.I.M., The Last Unicorn, Dark Crystal, Flight of the Navigator, Mystery Men, Big Trouble in Little China"
2251_recent_all_attributes_baseline,"Back to the Future, The Goonies, Ghostbusters, Ferris Bueller's Day Off, Stand by Me, Big, The Princess Bride, E.T. the Extra-Terrestrial, The NeverEnding Story, Beetlejuice"
2251_recent_all_attributes_niche_genre,"The Dark Crystal, Big Trouble in Little China, The Secret of NIMH, The Iron Giant, Moonrise Kingdom, The Last Starfighter, Dick Tracy, The Adventures of Buckaroo B.A. Baracus, The City of Lost Children, Labyrinth"
