custom_id,movies
501_top-rated_neutral_baseline,"Big Fish, The Princess Bride, Shrek, Mulan, The Iron Giant, The Mask of Zorro, Aladdin, The Incredibles, Tangled, Home Alone"
501_top-rated_neutral_niche_genre,"Big Trouble in Little China, The Secret of Kells, The Fall, Kiki's Delivery Service, The Adventures of Baron Munchausen, Pan's Labyrinth, The Iron Giant, Stardust, Dark City, The City of Lost Children"
501_top-rated_neutral_exclude_popular,"The Secret of Kells, The Fall, The Station Agent, Big Fish, My Neighbor Totoro, The Iron Giant, Amélie, The Last Unicorn, Hunt for the Wilderpeople, A Matter of Life and Death"
501_top-rated_neutral_indie_international,"Amélie, City of God, Pan's Labyrinth, The Intouchables, Run Lola Run, In the Mood for Love, Cinema Paradiso, The Secret in Their Eyes, Persepolis, Toni Erdmann"
501_top-rated_neutral_temporal_diverse,"Some Like It Hot, Young Frankenstein, The Princess Bride, Monty Python and the Holy Grail, To Kill a Mockingbird, The Secret of NIMH, Big Trouble in Little China, Blazing Saddles, The Iron Giant, Groundhog Day"
501_top-rated_neutral_obscure_theme,"The Dish, Kiss Kiss Bang Bang, The Fall, Big Trouble in Little China, The Iron Giant, Galaxy Quest, The Secret of Kells, The Adventures of Buckaroo Boo... (or Buckaroo B.O.R.N.), The Little Prince, The Handmaiden"
501_top-rated_gender_age_only_baseline,"Back to the Future, Guardians of the Galaxy, The Mask, Pirates of the Caribbean: The Curse of the Black Pearl, Deadpool, Jumanji, Superbad, The Incredibles, Zombieland, Kick-Ass"
501_top-rated_gender_age_only_exclude_popular,"The Fall, Big Trouble in Little China, The Secret of Kells, The Adventures of Baron Munchausen, Stardust, The Last Unicorn, The Iron Giant, Moonrise Kingdom, The NeverEnding Story, The Prestige"
501_top-rated_gender_age_only_indie_international,"City of God, Amélie, Pan's Labyrinth, The Intouchables, Run Lola Run, Persepolis, In the Mood for Love, The Hunt, A Separation, The Secret of Kells"
501_top-rated_gender_age_only_temporal_diverse,"Back to the Future, The Goonies, Guardians of the Galaxy, Monty Python and the Holy Grail, Who Framed Roger Rabbit, Big Trouble in Little China, The Iron Giant, The Mask of Zorro, Crocodile Dundee, Scott Pilgrim vs. the World"
501_top-rated_gender_age_only_obscure_theme,"The Fall, Big Trouble in Little China, The Secret of Kells, Kiki's Delivery Service, The Navigator: A Medieval Odyssey, The Adventures of Buckaroo Boozoo, The Iron Giant, Stardust, The Thief and the Cobbler, Safety Not Guaranteed"
501_top-rated_occupation_only_baseline,"Big Fish, Amélie, The Grand Budapest Hotel, The Iron Giant, Spirited Away, The Secret of Kells, Chocolat, Wallace & Gromit's A Close Shave, Mary and Max, Hugo"
