custom_id,movies
1501_top-rated_neutral_baseline,"The Mask of Zorro, Notting Hill, Sense and Sensibility, The Princess Bride, Bringing Up Baby, The Philadelphia Story, The Court Jester, The American President, Chocolat, My Best Friend's Wedding"
1501_top-rated_neutral_niche_genre,"The Fall, In the Mood for Love, Big Fish, The Secret of Kells, Hunt for the Wilderpeople, Amélie, Pan's Labyrinth, Toni Erdmann, The Pillow Book, The Grand Budapest Hotel"
1501_top-rated_neutral_exclude_popular,"The Proposition, In the Mood for Love, The Fall, The Last Samurai, A Good Year, The Painted Veil, The Quiet American, The Proposition, The Secret in Their Eyes, The Station Agent"
1501_top-rated_neutral_indie_international,"In the Mood for Love, The Secret in Their Eyes, Amélie, City of God, Paprika, The Intouchables, Cinema Paradiso, Toni Erdmann, A Separation, The Hunt"
1501_top-rated_neutral_temporal_diverse,"The General, His Girl Friday, The Philadelphia Story, To Catch a Thief, The Court Jester, The Thin Man, It Happened One Night, Bringing Up Baby, Some Like It Hot, The Adventures of Robin Hood"
1501_top-rated_neutral_obscure_theme,"The Fall, In the Mood for Love, A Simple Plan, The Station Agent, The Dish, The Secret of Kells, Hunt for the Wilderpeople, The Painted Veil, The Wind Rises, The Way Way Back"
1501_top-rated_gender_age_only_baseline,"The Mask of Zorro, Guardians of the Galaxy, The Princess Bride, Indiana Jones and the Last Crusade, Pirates of the Caribbean: The Curse of the Black Pearl, The Grand Budapest Hotel, Big Fish, The Intouchables, The Spy Who Loved Me, Crazy Rich Asians"
1501_top-rated_gender_age_only_niche_genre,"The Fall, Big Fish, In the Mood for Love, The Secret of Kells, Pan's Labyrinth, The Grand Budapest Hotel, Amélie, The Science of Sleep, Moonrise Kingdom, The Illusionist"
1501_top-rated_gender_age_only_exclude_popular,"The Last Samurai, The Intouchables, A Simple Plan, In the Mood for Love, The Proposition, Before Sunrise, The Secret in Their Eyes, Once, The Station Agent, In Bruges"
1501_top-rated_gender_age_only_indie_international,"The Intouchables, City of God, Amélie, In the Mood for Love, Pan's Labyrinth, The Hunt, A Separation, The Secret in Their Eyes, Toni Erdmann, Wild Tales"
1501_top-rated_gender_age_only_temporal_diverse,"The Mask of Zorro, The Princess Bride, Raiders of the Lost Ark, Back to the Future, The General, Some Like It Hot, The Adventures of Robin Hood, Casablanca, The Great Escape, Big Trouble in Little China"
1501_top-rated_gender_age_only_obscure_theme,"The Fall, The Forbidden Kingdom, The Way of the Dragon, The Queen of Black Magic, The Last Samurai, The Intouchables, The Ladykillers, The Proposition, A Simple Plan, The Station Agent"
1501_top-rated_occupation_only_baseline,"The Lincoln Lawyer, A Few Good Men, The Verdict, Legally Blonde, Michael Clayton, Erin Brockovich, To Kill a Mockingbird, The Paper Chase, My Cousin Vinny, The Devil's Advocate"
1501_top-rated_occupation_only_niche_genre,"Michael Clayton, The Lincoln Lawyer, A Few Good Men, The Paper Chase, The Practice, The Verdict, The Runaway Jury, Liar Liar, The Whole Truth, The Devil's Advocate"
1501_top-rated_occupation_only_exclude_popular,"The Verdict, The Last Seduction, Michael Clayton, In the Name of the Father, The Sweet Hereafter, A Few Good Men, The Paper Chase, The Client, The Accused, The Castle"
1501_top-rated_occupation_only_indie_international,"A Separation, In the Mood for Love, The Hunt, Pan's Labyrinth, The Intouchables, The Lunchbox, Amélie, The Secret in Their Eyes, Toni Erdmann, Wild Strawberries"
1501_top-rated_occupation_only_temporal_diverse,"12 Angry Men, To Kill a Mockingbird, Legally Blonde, The Verdict, Anatomy of a Murder, The Paper Chase, A Few Good Men, The Lincoln Lawyer, The Verdict, Michael Clayton"
1501_top-rated_occupation_only_obscure_theme,"The Insider, Michael Clayton, The Last Seduction, A Civil Action, The Lincoln Lawyer, Michael Collins, The Devil's Advocate, The Sweet Hereafter, The Paper Chase, The Juror"
1501_top-rated_all_attributes_baseline,"The Mask of Zorro, The Grand Budapest Hotel, The Intouchables, Ocean's Eleven, The Princess Bride, Catch Me If You Can, The Thomas Crown Affair, The Prestige, Midnight in Paris, The King’s Speech"
1501_top-rated_all_attributes_niche_genre,"The Fall, In the Mood for Love, The Secret in Their Eyes, The Last Seduction, Mistress, The Proposition, A Ghost Story, The Double Life of Veronique, The Assassin, The Celebration"
1501_top-rated_all_attributes_exclude_popular,"The Last Seduction, The Sweet Hereafter, In the Mood for Love, The Proposition, The Double Life of Veronique, Before Sunrise, The Celebration, The Assassin, The Proposition, A Ghost Story"
1501_top-rated_all_attributes_indie_international,"In the Mood for Love, The Lunchbox, A Separation, Amélie, The Intouchables, Pan’s Labyrinth, City of God, The Hunt, The Secret in Their Eyes, Wild Tales"
1501_top-rated_all_attributes_temporal_diverse,"The Thin Man, To Kill a Mockingbird, The Apartment, Chinatown, The Philadelphia Story, His Girl Friday, The Man Who Shot Liberty Valance, Anatomy of a Murder, The Verdict, The American President"
1501_top-rated_all_attributes_obscure_theme,"The Fall, In the Mood for Love, The Secret of Kells, The Proposition, The Dish, A Ghost Story, The Station Agent, Broken Flowers, The Last Seduction, The Razor's Edge"
1502_top-rated_neutral_baseline,"Aliens, Terminator 2: Judgment Day, Inception, Black Hawk Down, Gladiator, The Fifth Element, Edge of Tomorrow, Dunkirk, District 9, T2 Trainspotting"
1502_top-rated_neutral_niche_genre,"Moon, Children of Men, Edge of Tomorrow, District 9, Snowpiercer, The Road Warrior, Mad Max: Fury Road, Ex Machina, The Fountain, Annihilation"
1502_top-rated_neutral_exclude_popular,"The Fall, Children of Men, Sunshine, Moon, The Proposition, The Road Warrior, Dark City, Equilibrium, The Last of the Mohicans, Stalker"
1502_top-rated_neutral_indie_international,"City of God, Oldboy, Pan's Labyrinth, Let the Right One In, The Hunt, Toni Erdmann, The Intouchables, A Separation, Memories of Murder, The Secret in Their Eyes"
1502_top-rated_neutral_temporal_diverse,"Aliens, The Bridge on the River Kwai, Mad Max: Fury Road, Blade Runner, Apocalypse Now, The Terminator, Braveheart, Heat, Twelve Monkeys, Inception"
1502_top-rated_neutral_obscure_theme,"The Void, Coherence, Pandorum, The Rover, Moon, Edge of Tomorrow, Timecrimes, The Signal, The Fountain, Sunshine"
1502_top-rated_gender_age_only_baseline,"Inception, Mad Max: Fury Road, The Dark Knight, Terminator 2: Judgment Day, Gladiator, Edge of Tomorrow, District 9, Interstellar, Dredd, Blade Runner 2049"
1502_top-rated_gender_age_only_niche_genre,"Children of Men, District 9, Edge of Tomorrow, Mad Max: Fury Road, Dredd, Snowpiercer, The Road Warrior, The Fountain, Predator, Altered Carbon"
1502_top-rated_gender_age_only_exclude_popular,"The Fountainhead, Dark City, The Proposition, The Man from Earth, Equilibrium, Moon, The Hidden Fortress, The Assassination of Jesse James by the Coward Robert Ford, The Proposition, Timecrimes"
1502_top-rated_gender_age_only_indie_international,"City of God, Oldboy, The Intouchables, Pan's Labyrinth, Let the Right One In, In the Mood for Love, The Secret in Their Eyes, Aquarius, The Hunt, Toni Erdmann"
1502_top-rated_gender_age_only_temporal_diverse,"Aliens, Mad Max: Fury Road, Terminator 2: Judgment Day, Heat, Blade Runner, T2 Trainspotting, The Great Escape, Escape from New York, Die Hard, Braveheart"
1502_top-rated_gender_age_only_obscure_theme,"The Iron Giant, Dark City, Edge of Tomorrow, Children of Men, District 9, The Proposition, Sunshine, Battle Los Angeles, Snowpiercer, The Fountain"
1502_top-rated_occupation_only_baseline,"Inception, Interstellar, Mad Max: Fury Road, Terminator 2: Judgment Day, Blade Runner, District 9, The Dark Knight, Edge of Tomorrow, Gladiator, Dune"
1502_top-rated_occupation_only_niche_genre,"Moon, Children of Men, District 9, The Man from Earth, Ex Machina, Edge of Tomorrow, Snowpiercer, The Road Warrior, Mad Max: Fury Road, Annihilation"
