custom_id,movies
1_recent_neutral_baseline,"Schindler's List, The Pianist, Life is Beautiful, Cinema Paradiso, The Color of Paradise, To Kill a Mockingbird, 12 Angry Men, The Shawshank Redemption, A Beautiful Mind, The Great Dictator"
1_recent_neutral_niche_genre,"Come and See, The Spirit of the Beehive, Days of Heaven, Wendy and Lucy, The Double Life of Veronique, The House is Black, The Last Wave, The Mission, Murmur of the Heart, A Girl Walks Home Alone at Night"
1_recent_neutral_exclude_popular,"The Spirit of the Beehive, Come and See, The Counterfeiters, The Painted Bird, The Last Step, The House is Black, The Fox and the Child, The White Ribbon, A Man Escaped, The Song of Sparrows"
1_recent_neutral_indie_international,"The Spirit of the Beehive, A Separation, The Hunt, Come and See, The Lunchbox, Toni Erdmann, In the Mood for Love, The Counterfeiters, A Prophet, Capernaum"
1_recent_neutral_temporal_diverse,"The Pianist, 12 Years a Slave, The Great Dictator, Life is Beautiful, To Kill a Mockingbird, The Grapes of Wrath, Casablanca, Amour, The Color Purple, A Beautiful Mind"
1_recent_neutral_obscure_theme,"The White Ribbon, Come and See, The Counterfeiters, The Ascent, The Hunt, The Battle of Algiers, Lorna's Silence, The Return, The Man Who Shot Liberty Valance, A Private Function"
1_recent_gender_age_only_baseline,"The Book Thief, A Monster Calls, The Fault in Our Stars, Little Women, Dead Poets Society, The Secret Garden, Bridge to Terabithia, Anne of Green Gables, The Help, The Iron Lady"
1_recent_gender_age_only_niche_genre,"The Spirit of the Beehive, The Secret of Kells, Whisper of the Heart, The Fall, A Silent Voice, The Red Turtle, The Boy and the Heron, The Iron Giant, Mary and the Witch's Flower, The Little Prince"
1_recent_gender_age_only_exclude_popular,"The Spirit of the Beehive, The Secret of Roan Inish, Wendy and Lucy, The Virgin Suicides, The Butterfly Effect, A Matter of Life and Death, The Diary of a Teenage Girl, Toni Erdmann, The Falls, A Summer's Tale"
1_recent_gender_age_only_indie_international,"The Secret of Kells, Persepolis, A Fantastic Woman, The Diving Bell and the Butterfly, Pan's Labyrinth, The Intouchables, Portrait of a Lady on Fire, Toni Erdmann, Wild Strawberries, Capernaum"
1_recent_gender_age_only_temporal_diverse,"To Kill a Mockingbird, The Sound of Music, A League of Their Own, Little Women, The Secret Garden, Anne of Green Gables, The Help, Hidden Figures, Bridge to Terabithia, The Diary of a Young Girl"
1_recent_gender_age_only_obscure_theme,"The Secret of Kells, The Spirit of the Beehive, A Tale of Winter, The Fall, The Painted Bird, The Keepers, Toni Erdmann, The White Ribbon, Hiroshima Mon Amour, The House Is Black"
1_recent_occupation_only_baseline,"The Boy in the Striped Pajamas, To Kill a Mockingbird, The Diary of a Young Girl, Life is Beautiful, The Sound of Music, E.T. the Extra-Terrestrial, A Little Princess, The Secret Garden, Goodbye, Lenin!, The Iron Giant"
1_recent_occupation_only_niche_genre,"The Iron Giant, My Neighbor Totoro, The Secret of Kells, Kiki's Delivery Service, The Breadwinner, A Monster Calls, Whisper of the Heart, Song of the Sea, The Little Prince, The Boy and the Beast"
1_recent_occupation_only_exclude_popular,"The Secret of Roan Inish, My Neighbor Totoro, A Little Princess, The Iron Giant, The Secret of Kells, Whale Rider, The Boy in the Striped Pajamas, The Red Balloon, Kiki's Delivery Service, The Mysterious Geographic Explorations of Jasper Morello"
1_recent_occupation_only_indie_international,"The Secret of Kells, Song of the Sea, Pan's Labyrinth, The Triplets of Belleville, Whale Rider, A Monster Calls, The Boy and the World, My Neighbour Totoro, The Red Turtle, The Breadwinner"
1_recent_occupation_only_temporal_diverse,"To Kill a Mockingbird, The Sound of Music, E.T. the Extra-Terrestrial, The Wizard of Oz, Dead Poets Society, The Iron Giant, A Little Princess, The Secret Garden, Matilda, Finding Neverland"
1_recent_occupation_only_obscure_theme,"The Secret of Kells, Whisper of the Heart, The Iron Giant, My Neighbor Totoro, A Little Princess, The Red Balloon, The Boy Who Wanted to Be a King, The Starry Night, The Little Prince, The Wind Rises"
1_recent_all_attributes_baseline,"The Breadwinner, Akeelah and the Bee, Hidden Figures, The Secret Garden, Amélie, The Book Thief, Little Miss Sunshine, The Help, Matilda, Bridge to Terabithia"
1_recent_all_attributes_niche_genre,"The Secret of Kells, A Monster Calls, The Red Turtle, The Breadwinner, Song of the Sea, Whisper of the Heart, The Tale of the Princess Kaguya, My Neighbor Totoro, The Boy and the Heron, The Little Prince"
1_recent_all_attributes_exclude_popular,"The Secret of Roan Inish, A Little Princess, Whale Rider, The Secret Garden, The Breadwinner, My Neighbor Totoro, The Fall, The Red Balloon, The Painted Bird, Toni Erdmann"
1_recent_all_attributes_indie_international,"Whale Rider, Persepolis, The Secret of Kells, A Girl Walks Home Alone at Night, The Breadwinner, Run Lola Run, Pan's Labyrinth, The Diving Bell and the Butterfly, Toni Erdmann, Cleo from 5 to 7"
1_recent_all_attributes_temporal_diverse,"To Kill a Mockingbird, Anne of Green Gables, The Secret Garden, Little Women, The Sound of Music, Dead Poets Society, Matilda, A Little Princess, Up, Inside Out"
1_recent_all_attributes_obscure_theme,"Whale Rider, The Secret of Kells, A Monster Calls, The Iron Giant, The Breadwinner, My Neighbor Totoro, The Fall, The Red Turtle, A Silent Voice, Song of the Sea"
2_recent_neutral_baseline,"Heat, The Bourne Identity, Casino Royale, The Fugitive, The Hunt for Red October, Swordfish, Jack Ryan: Shadow Recruit, State of Play, Enemy of the State, The Italian Job"
2_recent_neutral_niche_genre,"The Assassination of Jesse James by the Coward Robert Ford, The Quiet Earth, The Proposition, A Prophet, The Rover, Downfall, The Wind That Shakes the Barley, The Battle of Algiers, Tinker Tailor Soldier Spy, The Man Who Would Be King"
2_recent_neutral_exclude_popular,"The American Friend, The Killing of a Chinese Bookie, The Last Detail, Le Samouraï, The Conversation, The Night of the Hunter, The Assassin, The Prophecy, The Passenger, The Quiller Memorandum"
2_recent_neutral_indie_international,"City of God, The Secret in Their Eyes, A Prophet, The Raid: Redemption, Battle Royale, The Chaser, Memories of Murder, 13 Assassins, The Lives of Others, Bicycle Thieves"
2_recent_neutral_temporal_diverse,"North by Northwest, The French Connection, Heat, Lawrence of Arabia, The Untouchables, The Fugitive, Sicario, Seven Samurai, The Bourne Identity, Goldfinger"
2_recent_neutral_obscure_theme,"The Spy Who Came in from the Cold, The Replacement Killers, The Mission, The Quiller Memorandum, The Siege of Firebase Gloria, The Big Gundown, The Eagle Has Landed, The Osterman Weekend, The Needle, The Passenger"
2_recent_gender_age_only_baseline,"Heat, The Bourne Identity, Casino Royale, Skyfall, The Fugitive, John Wick, Tinker Tailor Soldier Spy, L.A. Confidential, The Negotiator, Sicario"
2_recent_gender_age_only_niche_genre,"The Assassination of Jesse James by the Coward Robert Ford, The Proposition, A Prophet, City of God, The Hunt for Red October, Master and Commander: The Far Side of the World, The Constant Gardener, The Grey Zone, The Man from Nowhere, The Kingdom"
2_recent_gender_age_only_exclude_popular,"The Last Seduction, The American Friend, The Killing of a Sacred Deer, The Assassination of Jesse James by the Coward Robert Ford, The Proposition, The Constant Gardener, The Vanishing, The Proposition, The Long Goodbye, The River's Edge"
2_recent_gender_age_only_indie_international,"The Man from Nowhere, A Prophet, The Secret in Their Eyes, City of God, The Hunt, Elite Squad, The Chaser, Borgman, The Wailing, In the Mood for Love"
2_recent_gender_age_only_temporal_diverse,"Heat, The French Connection, Tinker Tailor Soldier Spy, Bullitt, The Hunt for Red October, The Taking of Pelham One Two Three, The Guns of Navarone, The Great Escape, Sicario, North by Northwest"
2_recent_gender_age_only_obscure_theme,"The Way of the Gun, Kiss Kiss Bang Bang, The Chase, Hard Boiled, The American Friend, The Big Gundown, The Last Seduction, The Getaway, The Last Boy Scout, La Femme Nikita"
2_recent_occupation_only_baseline,"Heat, The Bourne Identity, Casino Royale, Skyfall, The French Connection, Sicario, The Equalizer, Jack Ryan: Shadow Recruit, Live Free or Die Hard, The Italian Job"
2_recent_occupation_only_niche_genre,"The Proposition, A Prophet, The Battle of Algiers, City of God, The Great Escape, Thief, Sicario, Zero Dark Thirty, The Kingdom, Gomorrah"
2_recent_occupation_only_exclude_popular,"A Simple Plan, The Last Seduction, The Spanish Prisoner, The Killers, Memento, The Proposition, The Assassin, The Three Burials of Melquiades Estrada, The Machinist, The Man from Earth"
2_recent_occupation_only_indie_international,"A Prophet, City of God, The Battle of Algiers, Toni Erdmann, The Secret in Their Eyes, In the Mood for Love, The Chaser, Downfall, The Lives of Others, 13 Tzameti"
2_recent_occupation_only_temporal_diverse,"North by Northwest, The French Connection, Heat, The Untouchables, No Way Out, The Bourne Identity, Seven Samurai, L.A. Confidential, The Sting, Sicario"
2_recent_occupation_only_obscure_theme,"The Last Seduction, The Proposition, Calibre, The Hunter, The Guard, A Simple Plan, Killing Them Softly, The American, The Edge of Seventeen, The Salton Sea"
2_recent_all_attributes_baseline,"Jack Reacher, The Bourne Identity, Heat, Sicario, The Equalizer, Casino Royale, Skyfall, Mission: Impossible - Ghost Protocol, The Italian Job, Inside Man"
2_recent_all_attributes_niche_genre,"The Constant Gardener, The Proposition, A Prophet, The Assassination of Jesse James by the Coward Robert Ford, City of God, Downfall, Memories of Murder, The Secret in Their Eyes, In Bruges, The Edge of Heaven"
2_recent_all_attributes_exclude_popular,"The Quiet American, The Constant Gardener, The Proposition, A Very Long Engagement, The Assassination of Jesse James by the Coward Robert Ford, The Sentimental Bloke, The Last of the Mohicans, The Proposition, The Proposition, The Man Who Would Be King"
2_recent_all_attributes_indie_international,"A Prophet, The Hunt, City of God, The Secret in Their Eyes, The Chaser, In the Mood for Love, The Lives of Others, Capernaum, The Man from Nowhere, Memories of Murder"
2_recent_all_attributes_temporal_diverse,"North by Northwest, The French Connection, Heat, The Bourne Identity, L.A. Confidential, The Italian Job, Sicario, The Departed, Casino Royale, Mad Max: Fury Road"
2_recent_all_attributes_obscure_theme,"The Constant Gardener, The Siege of Jadotville, A Most Violent Year, The Salton Sea, The Way of the Gun, Kiss Kiss Bang Bang, Calibre, The Vanishing, The Big Gundown, The Last Seduction"
3_recent_neutral_baseline,"Blazing Saddles, The Great Outdoors, Dumb and Dumber, O Brother, Where Art Thou?, The Blues Brothers, Caddyshack, Young Frankenstein, Mighty Python and the Holy Grail, The Big Lebowski, Hot Fuzz"
3_recent_neutral_niche_genre,"The Great Silence, The Big Gundown, The Ballad of Buster Scruggs, McCabe & Mrs. Miller, The Killing of a Chinese Bookie, The Last Detail, The Outfit, A Boy and His Dog, The Long Goodbye, The Trip"
3_recent_neutral_exclude_popular,"The Last Picture Show, The Long Goodbye, McCabe & Mrs. Miller, The Killing of a Chinese Bookie, The Paleface, The Ballad of Cable Hodge, Support Your Local Sheriff!, The Great Northfield Minnesota Raid, The Spikes Gang, The Missouri Breaks"
3_recent_neutral_indie_international,"The Spirit of the Beehive, The Holy Mountain, Wings of Desire, The Lost Honor of Katharina Blum, A Man and a Woman, Paris, Texas, The Killing of a Sacred Deer, The Bureaucrats, The Great Beauty, The Lunatic"
3_recent_neutral_temporal_diverse,"The Great Escape, Blazing Saddles, M*A*S*H, The Oklahoma Kid, The Philadelphia Story, Some Like It Hot, The Pink Panther, Young Frankenstein, The Longest Yard, The Treasure of the Sierra Madre"
3_recent_neutral_obscure_theme,"The Last Detail, Support Your Local Sheriff!, Big Trouble in Little China, The Long Goodbye, A Boy and His Dog, The Incredible Shrinking Man, The Adventures of Buckaroo B.T.O., The Life and Times of Judge Roy Bean, The Return of the Living Dead, The Ballad of Buster Scruggs"
3_recent_gender_age_only_baseline,"Blazing Saddles, Django Unchained, The Great Escape, The Nice Guys, Hot Fuzz, The Big Lebowski, O Brother, Where Art Thou?, Tropic Thunder, Pineapple Express, The Hangover"
3_recent_gender_age_only_niche_genre,"The Big Lebowski, Inherent Vice, The Nice Guys, A Ghost Story, Seven Psychopaths, Fear and Loathing in Las Vegas, The Housemaid, The Last Detail, The Long Goodbye, The Adventures of Buckaroo B cowboy"
3_recent_gender_age_only_exclude_popular,"The Long Goodbye, Big Trouble in Little China, The Last Detail, The Cheap Detective, The Man Who Fell to Earth, McCabe & Mrs. Miller, The Killing of a Chinese Bookie, The Grand Budapest Hotel, The Paleface, The Hole"
3_recent_gender_age_only_indie_international,"A Touch of Sin, The Spirit of the Beehive, The Holy Mountain, The Death of Mr. Lazarescu, In the Mood for Love, City of God, The Last Days of Disco, Down by Law, The Fall, The Brand New Testament"
3_recent_gender_age_only_temporal_diverse,"Blazing Saddles, The Great Escape, M*A*S*H, The Pink Panther, The General, Young Frankenstein, Dumb and Dumber, The Nice Guys, Hot Fuzz, Superbad"
3_recent_gender_age_only_obscure_theme,"The Long Goodbye, Big Trouble in Little China, The Adventures of Buckaroo B. Benson, The Cheap Detective, The Frisco Kid, The In-Laws, Support Your Local Sheriff!, The Great Race, Big Wednesday, The Naughty Stewardesses"
3_recent_occupation_only_baseline,"Blazing Saddles, Maverick, The Great Race, The Odd Couple, Young Frankenstein, The Sting, O Brother, Where Art Thou?, The Pink Panther, The Producers, Fletch"
3_recent_occupation_only_niche_genre,"A Boy and His Dog, The Adventures of Buckaroo B boing, The Holy Mountain, El Topo, The Great Silence, The Spirit of the Beehive, The Killing of a Sacred Deer, Brazil, Stalker, The Fountain"
3_recent_occupation_only_exclude_popular,"The Killing of a Chinese Bookie, The Long Goodbye, The Last Detail, The Wrong Box, The Great Silence, McCabe & Mrs. Miller, The Ballad of Cable Hogue, The Spirit of the Beehive, The Killing of a Sacred Deer, The Housemaid"
3_recent_occupation_only_indie_international,"The Holy Mountain, The Spirit of the Beehive, The Headless Woman, The Saragossa Manuscript, The Mirror, Wings of Desire, The Color of Pomegranates, The Act of Killing, Toni Erdmann, A Ghost Story"
3_recent_occupation_only_temporal_diverse,"M*A*S*H, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, The Great Escape, Blazing Saddles, The Odd Couple, Young Frankenstein, The Pink Panther, The Apartment, Seven Samurai, The Philadelphia Story"
3_recent_occupation_only_obscure_theme,"The Astronaut Farmer, The Ballad of Buster Scruggs, The Last Detail, Big Trouble in Little China, The Great Northfield Minnesota Raid, The Missing Link, The Stunt Man, McCabe & Mrs. Miller, The Adventures of Buckaroo Bonder, The Wrong Box"
3_recent_all_attributes_baseline,"The Great Escape, Blazing Saddles, O Brother, Where Art Thou?, The Big Lebowski, Fargo, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, The Hunt for Red October, Hot Fuzz, In the Loop, Guardians of the Galaxy"
3_recent_all_attributes_niche_genre,"The Ballad of Buster Scruggs, Big Lebowski, The Nice Guys, Miller's Crossing, The Hudsucker Proxy, In the Loop, The Trip, Seven Psychopaths, The General, The Adventures of Baron Munchausen"
3_recent_all_attributes_exclude_popular,"The Last Detail, The Great Silence, The Long Goodbye, The Killing of a Chinese Bookie, The Big Lebowski, The Apple Dumpling Gang, The Hired Hand, The Ballad of Cable Hogue, The Magnificent Seven Ride!, The Outlaw Josey Wales"
3_recent_all_attributes_indie_international,"The Spirit of the Beehive, The Great Beauty, The Holy Mountain, Wings of Desire, The Mirrors of the Mind, The Death of Mr. Lazarescu, The Man Who Sleeps, A Man Escaped, The Quay Brothers' Institute Benjamenta, The Saragossa Manuscript"
3_recent_all_attributes_temporal_diverse,"The Grand Budapest Hotel, The Philadelphia Story, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Brazil, Blazing Saddles, The Man Who Fell to Earth, The Maltese Falcon, M*A*S*H, Young Frankenstein, The Big Lebowski"
