custom_id,movies
5751_top-rated_neutral_baseline,"Superbad, Dumb and Dumber, The Hangover, Mean Girls, Zoolander, Wedding Crashers, Hot Rod, Old School, Pineapple Express, Anchorman: The Legend of Ron Burgundy"
5751_top-rated_neutral_niche_genre,"The Lost Skeleton of Cadavra, Big Trouble in Little China, Kiss Kiss Bang Bang, The Adventures of Buckaroo Bunch, Death Becomes Her, The Frighteners, The Forbidden Planet, Darkman, Rubber, The Toxic Avenger"
5751_top-rated_neutral_exclude_popular,"Wet Hot American Summer, Superbad, The Hot Chick, EuroTrip, The House Bunny, Adventureland, The 40-Year-Old Virgin, Napoleon Dynamite, Easy A, Clueless"
5751_top-rated_neutral_indie_international,"In the Loop, The Death of Stalin, The Intouchables, Amélie, City of God, The Lobster, Rubber, Toni Erdmann, The Hunt, Wild Tales"
5751_top-rated_neutral_temporal_diverse,"Superbad, The Breakfast Club, Clueless, Dumb and Dumber, Porky's, Revenge of the Nerds, National Lampoon's Vacation, Risky Business, Ferris Bueller's Day Off, Old School"
5751_top-rated_neutral_obscure_theme,"Superbad, The End of the F***ing World, Adventureland, Wet Hot American Summer, The Foot Fist Way, The Hot Chick, Death at a Funeral, The Little Hours, The To Do List, Role Models"
5751_top-rated_gender_age_only_baseline,"Superbad, Easy A, Mean Girls, Clueless, Legally Blonde, The Princess Diaries, Bring It On, 10 Things I Hate About You, She's the Man, Pitch Perfect"
5751_top-rated_gender_age_only_niche_genre,"Easy A, Superbad, The Edge of Seventeen, Clueless, Legally Blonde, The DUFF, Booksmart, Sixteen Candles, Miss Congeniality, Pitch Perfect"
5751_top-rated_gender_age_only_exclude_popular,"Easy A, Never Been Kissed, The Duff, Clueless, John Tucker Must Die, Superbad, The Perfect Score, Lipstick Jungle, Promising Young Woman, Girltrash: All Night Long"
5751_top-rated_gender_age_only_indie_international,"Blue Is the Warmest Color, Amélie, The Edge of Seventeen, Persepolis, The Half of It, Lady Bird, Eighth Grade, Frances Ha, The Diary of a Teenage Girl, Submarine"
5751_top-rated_gender_age_only_temporal_diverse,"Clueless, Legally Blonde, Ferris Bueller's Day Off, 10 Things I Hate About You, Mean Girls, The Princess Diaries, Superbad, Easy A, Bring It On, She's the Man"
5751_top-rated_gender_age_only_obscure_theme,"Easy A, The Edge of Seventeen, Superbad, Wild Child, The DUFF, Nick and Norah's Infinite Playlist, The To Do List, She’s the Man, Freaky Friday, The House Bunny"
5751_top-rated_occupation_only_baseline,"Superbad, Dumb and Dumber, The Hangover, Old School, Mean Girls, The Princess Bride, Napoleon Dynamite, Zoolander, Hot Rod, Road Trip"
5751_top-rated_occupation_only_niche_genre,"The Last Days of Disco, In the Loop, The Foot Fist Way, Wet Hot American Summer, Super Troopers, The State, Clerks, Big Trouble in Little China, The Greasy Strangler, Death to Smoochy"
5751_top-rated_occupation_only_exclude_popular,"Clueless, Super Troopers, Wet Hot American Summer, The Hot Chick, Adventureland, The House Bunny, Easy A, Zoolander, American Pie 2, The Truth About Cats & Dogs"
5751_top-rated_occupation_only_indie_international,"In the Mood for Love, Amélie, The Lobster, City of God, Pan's Labyrinth, The Intouchables, Blue Is the Warmest Color, The Secret in Their Eyes, The Celebration, Wild Tales"
5751_top-rated_occupation_only_temporal_diverse,"Superbad, Clueless, The Naked Gun: From the Files of Police Squad!, Ferris Bueller's Day Off, Dumb and Dumber, The Princess Bride, Zoolander, Mean Girls, Wayne's World, Ghostbusters"
5751_top-rated_occupation_only_obscure_theme,"Superbad, The To Do List, Easy A, Wet Hot American Summer, Adventureland, The Brothers Bloom, Kiss Kiss Bang Bang, The House Bunny, Death at a Funeral, The Last Days of Disco"
5751_top-rated_all_attributes_baseline,"Superbad, Mean Girls, Clueless, Easy A, She's the Man, The Princess Diaries, Legally Blonde, 13 Going on 30, Pitch Perfect, Bring It On"
5751_top-rated_all_attributes_niche_genre,"Easy A, Superbad, The Edge of Seventeen, The DUFF, Nick & Norah's Infinite Playlist, Juno, Clueless, She's the Man, Mean Girls, The To-Do List"
5751_top-rated_all_attributes_exclude_popular,"Easy A, The Edge of Seventeen, Clueless, Superbad, The To Do List, Freaky Friday, The DUFF, Booksmart, The House Bunny, 10 Things I Hate About You"
5751_top-rated_all_attributes_indie_international,"Amélie, Persepolis, The Comedy, Frances Ha, The Intouchables, Boyhood, Eighth Grade, Lorna's Silence, Submarine, The Fall"
5751_top-rated_all_attributes_temporal_diverse,"Clueless, Legally Blonde, Mean Girls, Easy A, The Princess Diaries, Superbad, 10 Things I Hate About You, Bring It On, She’s the Man, The Duff"
5751_top-rated_all_attributes_obscure_theme,"Easy A, The Edge of Seventeen, Superbad, Can’t Hardly Wait, Clueless, Don’t Tell Mom the Babysitter’s Dead, The To Do List, Jawbreaker, 10 Things I Hate About Life, Freaky Friday (2003)"
5752_top-rated_neutral_baseline,"A Clockwork Orange, Blade Runner, Se7en, The Shining, 12 Angry Men, Brazil, The Godfather, The Silence of the Lambs, The Third Man, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
5752_top-rated_neutral_niche_genre,"Stalker, Nostalgia for the Light, The Holy Mountain, Fitzcarraldo, Performance, Eraserhead, The Spirit of the Beehive, The Killing of a Sacred Deer, The Lighthouse, The Act of Killing"
5752_top-rated_neutral_exclude_popular,"The Killing of a Chinese Bookie, The Passenger, Stalker, The Spirit of the Beehive, Night of the Hunter, Hiroshima Mon Amour, Fitzcarraldo, The Assassin, Zabriskie Point, The Quay Brothers' Films"
5752_top-rated_neutral_indie_international,"The Spirit of the Beehive, Breathless, A Man Escaped, The Mirror, Sansho the Bailiff, Eraserhead, In the Realm of the Senses, The Headless Woman, The Saragossa Manuscript, The House is Black"
5752_top-rated_neutral_temporal_diverse,"12 Angry Men, The Cabinet of Dr. Caligari, The Third Man, Blade Runner, The Maltese Falcon, A Clockwork Orange, Serpico, The Killing of a Chinese Bookie, The Man Who Fell to Earth, The Shawshank Redemption"
5752_top-rated_neutral_obscure_theme,"The Heart of the World, The Reflecting Skin, The Last Wave, The Spirit of the Beehive, Fitzcarraldo, The Killing of a Sacred Deer, The Passenger, The Fall, The Night of the Hunter, Stalker"
5752_top-rated_gender_age_only_baseline,"The Shawshank Redemption, Requiem for a Dream, Blade Runner, Memento, The Silence of the Lambs, Amélie, Black Swan, Se7en, Her, The Prestige"
5752_top-rated_gender_age_only_niche_genre,"Stalker, Brazil, The Spirit of the Beehive, Eraserhead, Fitzcarraldo, Sansho the Bailiff, Come and See, The Quay Brothers' Films, The Holy Mountain, The Color of Pomegranates"
