custom_id,movies
1_top-rated_neutral_baseline,"The Princess Bride, Amélie, Singin' in the Rain, Eternal Sunshine of the Spotless Mind, The Grand Budapest Hotel, Little Miss Sunshine, The Iron Giant, When Harry Met Sally, Pleasure and Pain, The Truman Show"
1_top-rated_neutral_niche_genre,"The Fall, Paprika, The Secret of Kells, Fantastic Planet, The Holy Mountain, The Adventures of Prince Achmed, Waking Life, Eternal Sunshine of the Spotless Mind, The Color of Pomegranates, The Quay Brothers' Films"
1_top-rated_neutral_exclude_popular,"The Umbrellas of Cherbourg, The Housemaid, Paris, Texas, The Spirit of the Beehive, Rosencrantz & Guildenstern Are Dead, Hiroshima Mon Amour, The Last Wave, The Reflecting Skin, The Color of Pomegranates, The Killing of a Sacred Deer"
1_top-rated_neutral_indie_international,"Amélie, City of God, The Intouchables, Pan's Labyrinth, The Great Beauty, In the Mood for Love, Run Lola Run, Once, A Separation, The Diving Bell and the Butterfly"
1_top-rated_neutral_temporal_diverse,"Singin' in the Rain, Some Like It Hot, The Princess Bride, Amélie, The Grand Budapest Hotel, The Wizard of Oz, Eternal Sunshine of the Spotless Mind, The Breakfast Club, Pulp Fiction, The Umbrellas of Cherbourg"
1_top-rated_neutral_obscure_theme,"The Secret of Kells, Hugo, The Fall, The Iron Giant, The Last Unicorn, Sing Street, The Adventures of Baron Munchausen, The Spirit of the Beehive, The City of Lost Children, The Reflecting Skin"
1_top-rated_gender_age_only_baseline,"The Princess Diaries, Enchanted, Legally Blonde, Clueless, Matilda, The Parent Trap, Mean Girls, 10 Things I Hate About You, Ella Enchanted, A Cinderella Story"
1_top-rated_gender_age_only_niche_genre,"Moonrise Kingdom, The Secret World of Arrietty, Amélie, Eternal Sunshine of the Spotless Mind, The Fall, Persepolis, The Science of Sleep, Pan's Labyrinth, The Double Life of Véronique, A Ghost Story"
1_top-rated_gender_age_only_exclude_popular,"The Secret of Kells, A Little Princess, The Princess and the Goblin, Moonrise Kingdom, The Fall, Whisper of the Heart, The Little Prince, Hugo, The Iron Giant, Penelope"
1_top-rated_gender_age_only_indie_international,"Amélie, The Secret of Kells, Persepolis, The Triplets of Belleville, Pan's Labyrinth, Run Lola Run, A Fantastic Woman, The Diving Bell and the Butterfly, Toni Erdmann, Boyhood"
1_top-rated_gender_age_only_temporal_diverse,"Annie, The Princess and the Frog, Clueless, Ferris Bueller's Day Off, Grease, The Sound of Music, Legally Blonde, The Breakfast Club, Matilda, Sixteen Candles"
1_top-rated_gender_age_only_obscure_theme,"The Secret of Kells, MirrorMask, The Fall, Song of the Sea, Penelope, Moonrise Kingdom, The Little Prince, Hugo, The Great Mouse Detective, The Red Turtle"
1_top-rated_occupation_only_baseline,"The Lion King, Toy Story, Matilda, The Wizard of Oz, E.T. the Extra-Terrestrial, Harry Potter and the Sorcerer's Stone, Frozen, The Incredibles, Paddington, Willy Wonka & the Chocolate Factory"
1_top-rated_occupation_only_niche_genre,"Kiki's Delivery Service, The Secret of Kells, Song of the Sea, The Iron Giant, My Neighbor Totoro, The Little Prince, The Tale of the Princess Kaguya, WALL-E, Mary and the Witch's Flower, Fantastic Mr. Fox"
1_top-rated_occupation_only_exclude_popular,"The Secret of NIMH, The Iron Giant, The Pagemaster, The Little Prince, My Neighbor Totoro, The NeverEnding Story, The Rescuers, The Secret of the Wings, The Adventures of Milo and Otis, The Borrowers"
1_top-rated_occupation_only_indie_international,"Song of the Sea, My Neighbor Totoro, Kiki's Delivery Service, The Secret of Kells, The Triplets of Belleville, Persepolis, Waltz with Bashir, The Little Prince, A Cat in Paris, The Boy and the World"
1_top-rated_occupation_only_temporal_diverse,"The Wizard of Oz, Willy Wonka & the Chocolate Factory, E.T. the Extra-Terrestrial, The Iron Giant, Mary Poppins, Toy Story, The Goonies, Matilda, The Little Mermaid, Night at the Museum"
1_top-rated_occupation_only_obscure_theme,"The Secret of NIMH, The Iron Giant, The Pagemaster, Hugo, The Last Unicorn, Big Hero 6, Meet the Robinsons, The Adventures of Milo and Otis, A Little Princess, The Water Horse"
1_top-rated_all_attributes_baseline,"Tangled, Enchanted, Matilda, The Princess Diaries, Legally Blonde, The Fault in Our Stars, Mean Girls, A Cinderella Story, The Hunger Games, Clueless"
