custom_id,movies
3751_top-rated_neutral_baseline,"Schindler's List, Auntie Mame, The Godfather, Schindler's List, Auntie Mame, The Godfather, 12 Angry Men, To Kill a Mockingbird, The Shawshank Redemption, Forrest Gump, The Deer Hunter"
3751_top-rated_neutral_niche_genre,"Come and See, The Great Dictator, The Battle of Algiers, Mishima: A Life in Four Chapters, The Wind Rises, Pan's Labyrinth, The Spirit of the Beehive, The Last of the Mohicans, The Act of Killing, The Killing of a Sacred Deer"
3751_top-rated_neutral_exclude_popular,"The Night of the Hunter, The Killing of a Sacred Deer, The Wind Rises, The Last Detail, In the Mood for Love, The Assassin, The Quince Tree Sun, A Man Escaped, The Spirit of the Beehive, The Browning Version"
3751_top-rated_neutral_indie_international,"The Hunt, 4 Months, 3 Weeks and 2 Days, The Great Beauty, In the Mood for Love, City of God, Pan's Labyrinth, The Intouchables, A Separation, Toni Erdmann, The Square"
3751_top-rated_neutral_temporal_diverse,"Casablanca, 12 Angry Men, Lawrence of Arabia, Sunset Boulevard, To Kill a Mockingbird, The Magnificent Seven, On the Waterfront, The Bridge on the River Kwai, Chinatown, The French Connection"
3751_top-rated_neutral_obscure_theme,"The Counterfeiters, The Secret in Their Eyes, A Very Long Engagement, The Spirit of the Beehive, The Awakening, The Last of the Blonde Bombshells, The Proposition, The Proposition, The Last Wave, The Tin Drum"
3751_top-rated_gender_age_only_baseline,"12 Years a Slave, The Help, Little Women, The Queen of Versailles, Amélie, The King's Speech, Hidden Figures, Pride & Prejudice, A Beautiful Mind, The Color Purple"
3751_top-rated_gender_age_only_niche_genre,"The Color Purple, Leaving Las Vegas, The Last Emperor, The Rider, A Ghost Story, The Spirit of the Beehive, Hidden, Blue Velvet, The Fits, In the Mood for Love"
3751_top-rated_gender_age_only_exclude_popular,"The Umbrellas of Cherbourg, The Color Purple, The Secret of Roan Inish, The Spirit of the Beehive, The Lavender Hill Mob, The Night of the Hunter, The Last Picture Show, The Sacrifice, In the Mood for Love, The Double Life of Veronique"
3751_top-rated_gender_age_only_indie_international,"Amélie, Portrait of a Lady on Fire, Roma, The Lunchbox, A Fantastic Woman, Pan's Labyrinth, The Farewell, Shoplifters, In the Mood for Love, Toni Erdmann"
3751_top-rated_gender_age_only_temporal_diverse,"Sunset Boulevard, To Kill a Mockingbird, The Philadelphia Story, Casablanca, Amélie, The Great Escape, 12 Angry Men, The Sound of Music, Mona Lisa, Annie Hall"
3751_top-rated_gender_age_only_obscure_theme,"The Counterfeiters, A Little Chaos, The Song of Sparrows, The Secret in Their Eyes, The Session, The Kill Team, In the Name of the Father, The Lunchbox, The Last Wave, The Queen of Black Magic"
3751_top-rated_occupation_only_baseline,"12 Angry Men, The Shawshank Redemption, Pulp Fiction, The Silence of the Lambs, Goodfellas, The Departed, Fargo, Se7en, The Prestige, No Country for Old Men"
