custom_id,movies
1251_top-rated_neutral_baseline,"Goodfellas, Pulp Fiction, The Departed, Fight Club, Requiem for a Dream, The Big Lebowski, Scarface, Snatch, Boogie Nights, Trainspotting"
1251_top-rated_neutral_niche_genre,"Blue Velvet, The House That Jack Built, In the Mood for Love, Holy Motors, Gummo, Enter the Void, Naked Lunch, Eraserhead, The Holy Mountain, Dogtooth"
1251_top-rated_neutral_exclude_popular,"The Killing of a Sacred Deer, Blue Velvet, In the Mood for Love, A Prophet, The Dreamers, Mysterious Skin, The House that Jack Built, The Celebration, The Assassination of Jesse James by the Coward Robert Ford, The Sweet Hereafter"
1251_top-rated_neutral_indie_international,"A Prophet, City of God, The Hunt, In the Mood for Love, Blue Velvet, The Celebration, Oldboy, The Square, Toni Erdmann, The Lobster"
1251_top-rated_neutral_temporal_diverse,"12 Angry Men, Pulp Fiction, The Graduate, Chinatown, Requiem for a Dream, The Breakfast Club, Memento, Fight Club, The Big Lebowski, No Country for Old Men"
1251_top-rated_neutral_obscure_theme,"A Prophet, The Assassination of Jesse James by the Coward Robert Ford, The Proposition, The Fall, In the Mood for Love, The Limey, Bug, Mysterious Skin, Blue Velvet, Elegy"
1251_top-rated_gender_age_only_baseline,"Scarface, Pineapple Express, The Departed, Superbad, Fight Club, The Wolf of Wall Street, Requiem for a Dream, Step Brothers, The Big Lebowski, Old School"
1251_top-rated_gender_age_only_niche_genre,"A Prophet, Blue Velvet, The Killing of a Sacred Deer, The Assassination of Jesse James by the Coward Robert Ford, Memento, Oldboy, Requiem for a Dream, The Lobster, Drive, Nightcrawler"
1251_top-rated_gender_age_only_exclude_popular,"A Prophet, The Assassination of Jesse James by the Coward Robert Ford, Blue Velvet, The Proposition, In the Mood for Love, The Sweet Hereafter, Memento, The Celebration, The Housemaid, Dogtooth"
1251_top-rated_gender_age_only_indie_international,"City of God, The Secret in Their Eyes, A Prophet, In the Mood for Love, The Hunt, Blue Is the Warmest Color, Pan’s Labyrinth, Oldboy, Requiem for a Dream, The Diving Bell and the Butterfly"
1251_top-rated_gender_age_only_temporal_diverse,"Scarface, Pulp Fiction, Fight Club, The Graduate, Requiem for a Dream, Goodfellas, The Breakfast Club, Seven Samurai, The Big Lebowski, Trainspotting"
1251_top-rated_gender_age_only_obscure_theme,"A Prophet, The Assassination of Jesse James by the Coward Robert Ford, The Proposition, In the Mood for Love, The Fall, The Edge of Seventeen, The Cook, the Thief, His Wife & Her Lover, Mysterious Skin, The Last Days of Disco, The Long Good Friday"
1251_top-rated_occupation_only_baseline,"The Godfather Part II, No Country for Old Men, The Departed, Pulp Fiction, The Shawshank Redemption, Fight Club, The Big Lebowski, Se7en, Sideways, Memento"
1251_top-rated_occupation_only_niche_genre,"The House That Jack Built, Blue Velvet, Memento, The Assassination of Jesse James by the Coward Robert Ford, A Ghost Story, The Master, In the Mood for Love, Dogtooth, Night of the Hunter, Paris, Texas"
