custom_id,movies
3251_top-rated_neutral_baseline,"Vertigo, The Maltese Falcon, Rear Window, The Third Man, 12 Angry Men, Sunset Boulevard, Chinatown, The Night of the Hunter, Double Indemnity, Psycho"
3251_top-rated_neutral_niche_genre,"The Killers, Night and the City, The Lady Vanishes, The Third Man, The Fall, In the Mood for Love, The Double Life of Veronique, Peeping Tom, Memento Mori, The Spirit of the Beehive"
3251_top-rated_neutral_exclude_popular,"Night and Fog, The Killing of a Sacred Deer, Peeping Tom, The Third Man, Elevator to the Gallows, The Innocents, The Passion of Joan of Arc, The Night of the Hunter, Les Diaboliques, The Spirit of the Beehive"
3251_top-rated_neutral_indie_international,"The Mirror, Hiroshima Mon Amour, Pierrot le Fou, Wings of Desire, The Spirit of the Beehive, Paris, Texas, The Killing of a Sacred Deer, In the Mood for Love, A Man Vanishes, The Assassin"
3251_top-rated_neutral_temporal_diverse,"Vertigo, 12 Angry Men, The Third Man, Sunset Boulevard, The Maltese Falcon, Rashomon, Double Indemnity, The Night of the Hunter, Rebecca, Chinatown"
3251_top-rated_neutral_obscure_theme,"Night Moves, The Killing of a Chinese Bookie, The Passenger, The Night of the Hunter, Le Samouraï, The Last Seduction, The Taking of Pelham One Two Three, The Big Knife, The American Friend, The House That Jack Built"
3251_top-rated_gender_age_only_baseline,"Vertigo, The Silence of the Lambs, Se7en, The Shawshank Redemption, Rear Window, Taxi Driver, Chinatown, Memento, The Third Man, The Maltese Falcon"
3251_top-rated_gender_age_only_niche_genre,"The Killing of a Sacred Deer, The Spirit of the Beehive, Peeping Tom, The Assassin, In the Mood for Love, Blue Velvet, The Act of Killing, Pepe le Moko, Mysterious Object at Noon, The Quay Brothers' Films"
3251_top-rated_gender_age_only_exclude_popular,"The Passenger, The Killing of a Chinese Bookie, Night Moves, The Night of the Hunter, Le Samouraï, The Fall, The Long Good Friday, The Conversation, Peeping Tom, The Night of the Shooting Stars"
3251_top-rated_gender_age_only_indie_international,"The Spirit of the Beehive, A Touch of Sin, The Headless Woman, In the Mood for Love, The Secret in Their Eyes, The Killing of a Sacred Deer, A Prophet, The Bothersome Man, The Hunt, Borgman"
3251_top-rated_gender_age_only_temporal_diverse,"The Maltese Falcon, Chinatown, Vertigo, The Third Man, Memento, The Silence of the Lambs, Blade Runner, Se7en, Inception, Oldboy"
3251_top-rated_gender_age_only_obscure_theme,"Night of the Hunter, The Killing of a Chinese Bookie, The Man Who Fell to Earth, The Conversation, Le Samouraï, The Passenger, The Night of the Hunter, The Asphalt Jungle, Mishima: A Life in Four Chapters, The Last Wave"
3251_top-rated_occupation_only_baseline,"Vertigo, The Silence of the Lambs, Psycho, The Third Man, Chinatown, Rear Window, Memento, The Man Who Knew Too Much, Blade Runner, The Maltese Falcon"
3251_top-rated_occupation_only_niche_genre,"Brazil, The Conversation, The Third Man, Fitzcarraldo, M, The Spirit of the Beehive, The Assassin, Stalker, The Man Who Fell to Earth, Come and See"
3251_top-rated_occupation_only_exclude_popular,"The Third Man, Knife in the Water, The Killing of a Chinese Bookie, The Conversation, Le Samouraï, Night of the Hunter, The Passenger, The Last Detail, The Spirit of the Beehive, The Prowler"
3251_top-rated_occupation_only_indie_international,"The Spirit of the Beehive, The Double Life of Veronique, Pierrot le Fou, The Holy Mountain, Wings of Desire, Stalker, The Sacrifice, A Touch of Zen, M, Eraserhead"
3251_top-rated_occupation_only_temporal_diverse,"Vertigo, Seven Samurai, Blade Runner, Chinatown, The Third Man, Memento, The Man Who Knew Too Much, The Conversation, The Killing, 12 Angry Men"
3251_top-rated_occupation_only_obscure_theme,"Night of the Hunter, The Killers, The Ascension of Judy Rose, Sweet Smell of Success, The Night of the Hunter, The Woman Chaser, The Big Combo, The Desperate Hours, Pickup on South Street, They Live by Night"
3251_top-rated_all_attributes_baseline,"Vertigo, 12 Angry Men, The Maltese Falcon, Rear Window, The Third Man, Chinatown, The Silence of the Lambs, The Man Who Knew Too Much, The Big Sleep, Fargo"
3251_top-rated_all_attributes_niche_genre,"The Man Who Fell to Earth, Blue Velvet, The Third Man, Harold and Maude, The Killing of a Chinese Bookie, Eraserhead, The Spirit of the Beehive, Fitzcarraldo, The Wages of Fear, Stalker"
3251_top-rated_all_attributes_exclude_popular,"The Third Man, Night of the Hunter, The Killing of a Chinese Bookie, The Conversation, The Man Who Fell to Earth, The Spirit of the Beehive, The Sweet Hereafter, The Passenger, The Pledge, Boundary"
3251_top-rated_all_attributes_indie_international,"The Man Who Fell to Earth, Stalker, Le Samouraï, The Spirit of the Beehive, Blue Velvet, The Killing of a Sacred Deer, The Last Wave, A Touch of Sin, The Fire Within, The Assassin"
3251_top-rated_all_attributes_temporal_diverse,"12 Angry Men, The Third Man, Rear Window, Chinatown, Blade Runner, The Man Who Shot Liberty Valance, Memento, Brazil, The Conversation, Se7en"
3251_top-rated_all_attributes_obscure_theme,"Night of the Hunter, The Killing of a Chinese Bookie, The Big Knife, The Man Who Fell to Earth, The Last Wave, The Assassin, The Night of the Hunter, The Narrow Margin, The Passenger, The Taking of Pelham One Two Three"
3252_top-rated_neutral_baseline,"Casablanca, North by Northwest, The Great Escape, The Fugitive, The Empire Strikes Back, Raiders of the Lost Ark, Schindler's List, Inception, The Man Who Would Be King, The Road Warrior"
3252_top-rated_neutral_niche_genre,"The Third Man, The Night of the Hunter, The Wind Rises, The Spirit of the Beehive, Stalker, Come and See, The Assassin, Valerie and Her Week of Wonders, Solaris, The Act of Killing"
3252_top-rated_neutral_exclude_popular,"The Third Man, The Night of the Hunter, The 39 Steps, The Man Who Came to Dinner, The Sting, The Killing of a Sacred Deer, The Conversation, The Last Wave, The Spirit of the Beehive, The Assassination of Jesse James by the Coward Robert Ford"
3252_top-rated_neutral_indie_international,"The Intouchables, Ladri di biciclette, Amélie, Pan's Labyrinth, City of God, In the Mood for Love, The Hunt, Run Lola Run, A Separation, The Secret in Their Eyes"
3252_top-rated_neutral_temporal_diverse,"To Kill a Mockingbird, North by Northwest, The Godfather, Blade Runner, 12 Angry Men, The Fugitive, The Searchers, The Man Who Shot Liberty Valance, The Silence of the Lambs, Inception"
3252_top-rated_neutral_obscure_theme,"The Third Man, The Spy Who Came in from the Cold, The Night of the Hunter, The Man Who Would Be King, Dark City, The Proposition, The Fall, The Last Wave, The Keep, The American Friend"
3252_top-rated_gender_age_only_baseline,"Casablanca, North by Northwest, The Fugitive, Blade Runner, The Bourne Identity, Schindler's List, The Man Who Shot Liberty Valance, Inception, The Untouchables, Raiders of the Lost Ark"
3252_top-rated_gender_age_only_niche_genre,"The Third Man, Throne of Blood, The Spy Who Came in from the Cold, Brazil, Children of Men, Blade Runner, The Man Who Fell to Earth, The Proposition, Pan's Labyrinth, Stalker"
3252_top-rated_gender_age_only_exclude_popular,"The Third Man, The Day of the Jackal, The Night of the Hunter, The Man Who Would Be King, The Spy Who Came in from the Cold, The Killing of a Sacred Deer, The Assassination of Jesse James by the Coward Robert Ford, The Friend, The Quiet American, The Conversation"
3252_top-rated_gender_age_only_indie_international,"The Secret in Their Eyes, In the Mood for Love, The Lives of Others, City of God, Pan's Labyrinth, The Hunt, A Separation, The Intouchables, The Man from Nowhere, Let the Right One In"
3252_top-rated_gender_age_only_temporal_diverse,"Casablanca, North by Northwest, The Spy Who Came in from the Cold, Lawrence of Arabia, The French Connection, Blade Runner, The Godfather, The Fugitive, The Matrix, Inception"
