custom_id,movies
5251_recent_neutral_baseline,"Chinatown, 12 Angry Men, Casablanca, The Third Man, Lawrence of Arabia, North by Northwest, Murder on the Orient Express, The Maltese Falcon, Out of Africa, The Great Escape"
5251_recent_neutral_niche_genre,"Stalker, Dark City, The Third Man, The Killing of a Sacred Deer, The Assassination of Jesse James by the Coward Robert Ford, Mishima: A Life in Four Chapters, The Night of the Hunter, Come and See, The Spirit of the Beehive, The Man Who Fell to Earth"
5251_recent_neutral_exclude_popular,"Dark City, The Third Man, The Night of the Hunter, The Killing of a Sacred Deer, The Assassination of Jesse James by the Coward Robert Ford, The Last Wave, The Spirit of the Beehive, Stalker, The Third Generation, The Conversation"
5251_recent_neutral_indie_international,"City of God, A Prophet, In the Mood for Love, Pan's Labyrinth, Toni Erdmann, The Spirit of the Beehive, The Lives of Others, Memories of Murder, The Hunt, The Secret in Their Eyes"
5251_recent_neutral_temporal_diverse,"Casablanca, Chinatown, Metropolis, 12 Angry Men, Lawrence of Arabia, The Third Man, North by Northwest, The Apartment, On the Waterfront, Double Indemnity"
5251_recent_neutral_obscure_theme,"Dark City, The Last Wave, The Quiller Memorandum, The Night of the Hunter, The Third Man, The Long Good Friday, The Passenger, The Killing of a Sacred Deer, Stalker, The Man Who Fell to Earth"
5251_recent_gender_age_only_baseline,"Arrival, Mad Max: Fury Road, Casablanca, The Grand Budapest Hotel, Out of Sight, The Shape of Water, Amélie, Inception, The African Queen, La La Land"
5251_recent_gender_age_only_niche_genre,"Coherence, The Fall, The Secret of Kells, Paprika, Stalker, Toni Erdmann, The Handmaiden, The Bothersome Man, City of Lost Children, The Last Wave"
5251_recent_gender_age_only_exclude_popular,"The Third Man, Night of the Hunter, The Night of the Hunter, The Man Who Fell to Earth, The Quiet Earth, The Last Wave, The Passion of Joan of Arc, The Spirit of the Beehive, Picnic at Hanging Rock, Sweet Bean"
5251_recent_gender_age_only_indie_international,"Portrait of a Lady on Fire, Amélie, The Headless Woman, In the Mood for Love, Toni Erdmann, The Secret in Their Eyes, A Fantastic Woman, The Lobster, Spring, Summer, Fall, Winter... and Spring, The Wind Rises"
5251_recent_gender_age_only_temporal_diverse,"Metropolis, Out of Sight, Casablanca, Amélie, The Third Man, 12 Angry Men, Roman Holiday, Chinatown, Murder on the Orient Express, The Grand Budapest Hotel"
5251_recent_gender_age_only_obscure_theme,"Coherence, The Man Who Fell to Earth, The Last Wave, Dark City, The Proposition, The Fall, Shadow of a Doubt, The Assassin, The Spirit of the Beehive, The Long Goodbye"
5251_recent_occupation_only_baseline,"2001: A Space Odyssey, Metropolis, The Third Man, Chinatown, Casablanca, The Maltese Falcon, Lawrence of Arabia, The Great Escape, North by Northwest, Heat"
5251_recent_occupation_only_niche_genre,"The Man Who Fell to Earth, Alphaville, Stalker, Brazil, The Last Wave, Dark City, The Fountainhead, The Thief of Bagdad, Metropolis, The City of Lost Children"
5251_recent_occupation_only_exclude_popular,"Dark City, The Man Who Fell to Earth, The Third Man, The Night of the Hunter, The Quiller Memorandum, The Assassin, The Conversation, Dune, The Long Goodbye, The Spirit of the Beehive"
5251_recent_occupation_only_indie_international,"Stalker, Come and See, The Spirit of the Beehive, In the Mood for Love, The Mirror, Wings of Desire, Ikiru, A Man Escaped, The Great Beauty, Toni"
5251_recent_occupation_only_temporal_diverse,"Metropolis, 12 Angry Men, Chinatown, The Third Man, Lawrence of Arabia, M, The Maltese Falcon, North by Northwest, The Great Escape, The Man Who Would Be King"
5251_recent_occupation_only_obscure_theme,"Dark City, The Last Wave, Le Cercle Rouge, Stalker, The Killers, Murder by Contract, The Wind Rises, The Night of the Hunter, The Secret of the Grain, A Touch of Zen"
5251_recent_all_attributes_baseline,"Ex Machina, Arrival, Her, Mad Max: Fury Road, The Handmaiden, Inception, Ghost in the Shell, The Martian, Sybil, Edge of Tomorrow"
5251_recent_all_attributes_niche_genre,"Moon, Metropolis, Gattaca, The Man Who Fell to Earth, Brazil, Stalker, Dark City, coherence, The Fall, The City of Lost Children"
5251_recent_all_attributes_exclude_popular,"Coherence, Timecrimes, Upstream Color, The Man Who Fell to Earth, The Last Wave, Stalker, The Spirit of the Beehive, The Quay Brothers' Institute Benjamenta, The Reflection of Power, Mishima: A Life in Four Chapters"
5251_recent_all_attributes_indie_international,"Toni Erdmann, The Secret in Their Eyes, A Separation, In the Mood for Love, The Headless Woman, The Double Life of Véronique, Ida, The Man Who Fell to Earth, Memento Mori, The Spirit of the Beehive"
5251_recent_all_attributes_temporal_diverse,"Metropolis, Contact, Moon, Her, The Man Who Fell to Earth, The Philadelphia Story, North by Northwest, Arrival, The Great Escape, 12 Angry Men"
5251_recent_all_attributes_obscure_theme,"Moon, The Man Who Fell to Earth, Dark City, Coherence, The Last Wave, The Void, Hunt for the Wilderpeople, The Fall, A Ghost Story, Upstream Color"
5252_recent_neutral_baseline,"Dog Day Afternoon, Bicycle Thief, F/X, The French Connection, Rififi, Heat, The Killing, A Prophet, The Asphalt Jungle, The French Connection II"
5252_recent_neutral_niche_genre,"The Killing of a Sacred Deer, A Ghost Story, The Assassin, The Night of the Hunter, Blue Velvet, The Spirit of the Beehive, In the Realm of the Senses, The Act of Killing, The Vanishing, The Holy Mountain"
