custom_id,movies
6001_recent_neutral_baseline,"Blue Velvet, Mulholland Drive, Lost Highway, The Machinist, Black Swan, Nightcrawler, Requiem for a Dream, Donnie Darko, Memento, The Others"
6001_recent_neutral_niche_genre,"Blue Velvet, Repulsion, Memento, In the Mood for Love, The Last Wave, Possession, Night Moves, The Reflecting Skin, Hiroshima Mon Amour, Peeping Tom"
6001_recent_neutral_exclude_popular,"In the Mood for Love, Dark Water, The Last Wave, Blue Velvet, The Reflecting Skin, Angel's Heart, The Spirit of the Beehive, Picnic at Hanging Rock, The Killing of a Sacred Deer, The Assassination of Jesse James by the Coward Robert Ford"
6001_recent_neutral_indie_international,"In the Mood for Love, Blue Velvet, The Spirit of the Beehive, A Ghost Story, The Double Life of Véronique, Taste of Cherry, Tokyo Story, The Last Wave, Munchhausen, Pierrot le Fou"
6001_recent_neutral_temporal_diverse,"Sunset Boulevard, The Night of the Hunter, Chinatown, Blue Velvet, All That Heaven Allows, Mulholland Drive, The Asphalt Jungle, Laura, The Killing of a Sacred Deer, Requiem for a Dream"
6001_recent_neutral_obscure_theme,"The Reflection of Fear, The Last Wave, Angel's Heart, The Killing of a Sacred Deer, The Fall, The Brood, The Night of the Hunter, Pierrot le Fou, The Spirit of the Beehive, The Passenger"
6001_recent_gender_age_only_baseline,"Blue Velvet, Lost in Translation, Mysterious Skin, The Piano, Black Swan, The Virgin Suicides, Requiem for a Dream, Mulholland Drive, Eternal Sunshine of the Spotless Mind, Her"
6001_recent_gender_age_only_niche_genre,"The Spirit of the Beehive, Picnic at Hanging Rock, In the Mood for Love, Mysterious Skin, Blue Velvet, The Cook, the Thief, His Wife & Her Lover, Possession, Twin Peaks: Fire Walk with Me, The Last Wave, The Reflecting Skin"
6001_recent_gender_age_only_exclude_popular,"In the Mood for Love, The Spirit of the Beehive, Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles, Cléo from 5 to 7, Mysterious Skin, The Reflecting Skin, The Last Mistress, The Double Life of Veronique, Daughters of the Dust, The Killing of a Sacred Deer"
6001_recent_gender_age_only_indie_international,"Blue Is the Warmest Color, Amélie, In the Mood for Love, The Double Life of Véronique, Portrait of a Lady on Fire, Frances Ha, The Spirit of the Beehive, The Lifeboat, Persepolis, A Ghost Story"
6001_recent_gender_age_only_temporal_diverse,"Blue Velvet, Mulholland Drive, Casablanca, In the Mood for Love, Rebecca, The Night of the Hunter, Brief Encounter, The Piano, Chinatown, Lost in Translation"
6001_recent_gender_age_only_obscure_theme,"The Reflecting Skin, The Spirit of the Beehive, The Last Wave, In the Mouth of Madness, The Fall, The Virgin Suicides, Hiroshima Mon Amour, Beyond the Black Rainbow, The Double Life of Veronique, Mysterious Skin"
6001_recent_occupation_only_baseline,"Lost in Translation, Nightcrawler, Blue Velvet, The Machinist, Mulholland Drive, Requiem for a Dream, Drive, Black Swan, The Prestige, Her"
6001_recent_occupation_only_niche_genre,"Blue Velvet, Memento, In the Mood for Love, Mulholland Drive, The Double Life of Veronique, Carnival of Souls, Stalker, The Last Wave, The Spirit of the Beehive, Repulsion"
6001_recent_occupation_only_exclude_popular,"In the Mood for Love, Mishima: A Life in Four Chapters, The Double Life of Veronique, The Killing of a Sacred Deer, Blue Velvet, Night Moves, The Last Wave, The Reflecting Skin, The Passenger, The Spirit of the Beehive"
6001_recent_occupation_only_indie_international,"In the Mood for Love, Blue Velvet, The Double Life of Véronique, Paris, Texas, The Holy Mountain, Taste of Cherry, Run Lola Run, Holy Motors, The Spirit of the Beehive, The Last Wave"
6001_recent_occupation_only_temporal_diverse,"All the President's Men, Chinatown, The King of Comedy, Out of Sight, The Long Goodbye, Network, Night of the Hunter, The Third Man, Michael Clayton, The Verdict"
6001_recent_occupation_only_obscure_theme,"The Last Seduction, Night Moves, The Reflecting Skin, The Double Life of Veronique, Vampire's Kiss, Blue Velvet, The Machinist, Mysterious Skin, The Housemaid, The King of Comedy"
6001_recent_all_attributes_baseline,"Lost in Translation, Black Swan, The Prestige, Mulholland Drive, Secretary, Blue Velvet, Her, The Others, Nightcrawler, The Girl with the Dragon Tattoo"
6001_recent_all_attributes_niche_genre,"Blue Velvet, The Last Wave, Angel's Heart, The Cook, the Thief, His Wife & Her Lover, The Reflecting Skin, The Others, Mandy, The Machinist, The Spirit of the Beehive, The House That Jack Built"
6001_recent_all_attributes_exclude_popular,"In the Mood for Love, The Last Seduction, Mysterious Skin, The Double Life of Veronique, Blue Velvet, Memento, Night Moves, The Reflecting Skin, Border Radio, The Housemaid"
6001_recent_all_attributes_indie_international,"In the Mood for Love, The Double Life of Véronique, Frances Ha, Portrait of a Lady on Fire, The Holy Mountain, Blue Velvet, The Spirit of the Beehive, Cléo from 5 to 7, A Girl Walks Home Alone at Night, Memento Mori"
6001_recent_all_attributes_temporal_diverse,"All That Heaven Allows, The Third Man, Clueless, Day for Night, Blue Velvet, The Night of the Hunter, Lost in Translation, Fallen Angels, The Last Seduction, Annie Hall"
6001_recent_all_attributes_obscure_theme,"Husbands and Wives, The Reflecting Skin, The Last Wave, The Passenger, Night Moves, The Long Day Closes, The Killing of a Sacred Deer, The Spirit of the Beehive, The Housemaid, The Vanishing"
6002_recent_neutral_baseline,"12 Angry Men, To Kill a Mockingbird, The Silence of the Lambs, The Shawshank Redemption, The Godfather, Heat, The Verdict, L.A. Confidential, Primal Fear, Chinatown"
6002_recent_neutral_niche_genre,"The Killing of a Sacred Deer, In the Mood for Love, The Assassination of Jesse James by the Coward Robert Ford, Blue Velvet, The Night of the Hunter, No Country for Old Men, The Proposition, A Touch of Sin, The Master, Mystery Road"
6002_recent_neutral_exclude_popular,"The Verdict, The Sweet Hereafter, The Last Seduction, In the Name of the Father, Murder by Contract, The Reflecting Skin, The Pledge, The Man Who Wasn't There, Night Moves, The King of Marvin Gardens"
6002_recent_neutral_indie_international,"The Secret in Their Eyes, A Prophet, In the Mood for Love, The Hunt, City of God, The Chaser, Incendies, The Counterfeiters, Let the Right One In, The Lives of Others"
6002_recent_neutral_temporal_diverse,"12 Angry Men, On the Waterfront, Chinatown, The French Connection, Shane, To Kill a Mockingbird, The Verdict, L.A. Confidential, The Untouchables, No Country for Old Men"
6002_recent_neutral_obscure_theme,"The Star Chamber, The Last Seduction, The Counsel, The Verdict, The House of Games, The Spanish Prisoner, The Big Heat, The Killing of a Sacred Deer, The Asphalt Jungle, The Sweet Hereafter"
6002_recent_gender_age_only_baseline,"12 Angry Men, All the President's Men, Shawshank Redemption, The, Se7en, The Godfather, Heat, L.A. Confidential, The Silence of the Lambs, Primal Fear, Mystic River"
6002_recent_gender_age_only_niche_genre,"In the Mood for Love, The Assassination of Jesse James by the Coward Robert Ford, The Proposition, A Prophet, The Killing of a Sacred Deer, Blue Velvet, The Skin I Live In, The House That Jack Built, Eastern Promises, Prisoners"
6002_recent_gender_age_only_exclude_popular,"The Conversation, Night of the Hunter, The Last Seduction, The Killing of a Chinese Bookie, The Sweet Hereafter, Pierrot le Fou, The Assassin, The Enigma of Kaspar Hauser, The Housemaid, In the Realm of the Senses"
6002_recent_gender_age_only_indie_international,"City of God, The Secret in Their Eyes, In the Mood for Love, The Hunt, A Prophet, The Chaser, Memories of Murder, Son of Saul, The Lives of Others, The Square"
6002_recent_gender_age_only_temporal_diverse,"12 Angry Men, Chinatown, The French Connection, 12 Monkeys, Heat, No Country for Old Men, The Maltese Falcon, The Verdict, Se7en, L.A. Confidential"
6002_recent_gender_age_only_obscure_theme,"The Star Chamber, The Last Seduction, The Killing of a Sacred Deer, The Enforcer, The Devil's Advocate, The Insider, A Perfect World, The Negotiator, The Paper Chase, The Limey"
6002_recent_occupation_only_baseline,"12 Angry Men, To Kill a Mockingbird, The Shawshank Redemption, L.A. Confidential, The Verdict, Chinatown, The Departed, Primal Fear, Mystic River, The Lincoln Lawyer"
6002_recent_occupation_only_niche_genre,"The Killing of a Sacred Deer, Blue Velvet, The Assassination of Jesse James by the Coward Robert Ford, The Sweet Hereafter, Memento, A Ghost Story, The Proposition, In the Mood for Love, No Country for Old Men, The Master"
6002_recent_occupation_only_exclude_popular,"12 Angry Men, The Sweet Hereafter, The Last Seduction, The Killing of a Chinese Bookie, The Last Detail, Night of the Hunter, The Pawnbroker, The Man Who Shot Liberty Valance, The Accident, The Enigma of Kaspar Hauser"
6002_recent_occupation_only_indie_international,"A Separation, The Hunt, In the Mood for Love, Climates, The Secret in Their Eyes, City of God, Pan's Labyrinth, Toni Erdmann, The Intouchables, The Kid with a Bike"
6002_recent_occupation_only_temporal_diverse,"12 Angry Men, To Kill a Mockingbird, Chinatown, Double Indemnity, The French Connection, All the President's Men, The Killing, The Maltese Falcon, Heat, L.A. Confidential"
6002_recent_occupation_only_obscure_theme,"The Last Seduction, The Sweet Hereafter, A Place in the Sun, The Man Who Shot Liberty Valance, The Vanishing, The Proposition, The Pledge, The Assassination of Jesse James by the Coward Robert Ford, The River's Edge, The Big Sleep"
6002_recent_all_attributes_baseline,"12 Angry Men, To Kill a Mockingbird, The Shawshank Redemption, Sicario, The Verdict, Primal Fear, L.A. Confidential, The Lincoln Lawyer, Mystic River, Se7en"
6002_recent_all_attributes_niche_genre,"12 Angry Men, The Killing of a Sacred Deer, The Assassination of Jesse James by the Coward Robert Ford, In the Mood for Love, Michael Clayton, Road to Perdition, The Night of the Hunter, Blue Velvet, No Country for Old Men, The Pledge"
6002_recent_all_attributes_exclude_popular,"The Night of the Hunter, In the Heat of the Night, The Killing of a Chinese Bookie, Pickup on South Street, The Asphalt Jungle, The Loner, The Friends of Eddie Coyle, Point Blank, The Big Combo, The Ruling Class"
6002_recent_all_attributes_indie_international,"A Prophet, In the Mood for Love, The Secret in Their Eyes, City of God, The Hunt, Toni Erdmann, Let the Right One In, The Chaser, Memories of Murder, The Wind Rises"
6002_recent_all_attributes_temporal_diverse,"12 Angry Men, To Kill a Mockingbird, Chinatown, L.A. Confidential, The French Connection, The Verdict, Heat, Se7en, Michael Clayton, The Departed"
6002_recent_all_attributes_obscure_theme,"The Clearing, The Last Seduction, The Pledge, The Paper Chase, The Star Chamber, The Limey, The Salton Sea, The Devil's Advocate, The 25th Hour, The Sweet Hereafter"
6003_recent_neutral_baseline,"Casablanca, The Philadelphia Story, Moonrise Kingdom, The Grand Budapest Hotel, Some Like It Hot, Amélie, The Apartment, Midnight in Paris, Singin' in the Rain, The Intouchables"
6003_recent_neutral_niche_genre,"The Last Wave, The Spirit of the Beehive, Picnic at Hanging Rock, Wings of Desire, The Reflecting Skin, The Cook, the Thief, His Wife & Her Lover, Stalker, The Holy Mountain, The Fall, The Act of Killing"
6003_recent_neutral_exclude_popular,"The Last Seduction, The Assassin, A Touch of Sin, The Spirit of the Beehive, The Passenger, The King of Marvin Gardens, Betty Blue, The Reflecting Skin, Sweet Bean, The Tin Drum"
6003_recent_neutral_indie_international,"The Double Life of Véronique, In the Mood for Love, The Spirit of the Beehive, The Secret in Their Eyes, A Touch of Sin, Wild Tales, The Man Who Would Be King, Lost in Translation, The Celebration, Toni Erdmann"
6003_recent_neutral_temporal_diverse,"North by Northwest, Some Like It Hot, The Apartment, Blazing Saddles, The Philadelphia Story, Amélie, The Grand Budapest Hotel, The Sting, Moonrise Kingdom, Annie Hall"
6003_recent_neutral_obscure_theme,"A Zed & Two Noughts, The Loneliness of the Long Distance Runner, The Reflecting Skin, The Last Wave, The Half of It, The Secret of Roan Inish, The Passenger, The Last Picture Show, The Stunt Man, The Fall"
6003_recent_gender_age_only_baseline,"Moonrise Kingdom, The Grand Budapest Hotel, Breakfast at Tiffany's, Amélie, The Philadelphia Story, Some Like It Hot, Her, Midnight in Paris, Sabrina, The Best Exotic Marigold Hotel"
6003_recent_gender_age_only_niche_genre,"Paris, Texas, The Last Days of Disco, Husbands and Wives, Fitzcarraldo, The Reflecting Skin, In the Mood for Love, The Killing of a Sacred Deer, A Ghost Story, The Spirit of the Beehive, The Archipelago"
6003_recent_gender_age_only_exclude_popular,"The Last Seduction, Paris, Texas, The Ref, A Summer's Tale, Husbands and Wives, The House of Mirth, The King of Marvin Gardens, The Last of the Mohicans, A Ghost Story, The Sweet Hereafter"
6003_recent_gender_age_only_indie_international,"The Lunchbox, Blue Is the Warmest Color, In the Mood for Love, Amélie, The Headless Woman, Toni Erdmann, A Fantastic Woman, The Farewell, Frances Ha, The Spirit of the Beehive"
6003_recent_gender_age_only_temporal_diverse,"Roman Holiday, Some Like It Hot, Amélie, The Grand Budapest Hotel, Breakfast at Tiffany's, The Philadelphia Story, Chinatown, Clueless, Midnight in Paris, The Apartment"
6003_recent_gender_age_only_obscure_theme,"A Woman Under the Influence, The Last Detail, The Long Goodbye, The Reflecting Skin, Husbands, The American Friend, The Killing of a Sacred Deer, The Heart of the Matter, Brown Bunny, The Big City"
6003_recent_occupation_only_baseline,"The Grand Budapest Hotel, The Italian Job, Ocean's Eleven, The Pink Panther, Midnight in Paris, The Thomas Crown Affair, The Nice Guys, Hunt for Red October, Brazil, The Secret Life of Walter Mitty"
6003_recent_occupation_only_niche_genre,"The Fall, The Man Who Fell to Earth, Stalker, Brazil, The Holy Mountain, Eraserhead, Picnic at Hanging Rock, The Spirit of the Beehive, The Reflecting Skin, The Last Wave"
6003_recent_occupation_only_exclude_popular,"The Apartment, The Lady Vanishes, The Thin Man, The 39 Steps, Night of the Hunter, The Shop Around the Corner, The Ghost and Mrs. Muir, The Philadelphia Story, The Lavender Hill Mob, The Man Who Came to Dinner"
6003_recent_occupation_only_indie_international,"The Lunchbox, A Touch of Sin, The Spirit of the Beehive, The Lunchbox, In the Mood for Love, The Secret in Their Eyes, The Clan, The Headless Woman, Wild Tales, The Great Beauty"
6003_recent_occupation_only_temporal_diverse,"Casablanca, Some Like It Hot, The Apartment, North by Northwest, The Philadelphia Story, The Graduate, Harold and Maude, The Thin Man, Amélie, The Grand Budapest Hotel"
