custom_id,movies
2751_top-rated_neutral_baseline,"Dumb and Dumber, Hot Shots!, Coming to America, Mrs. Doubtfire, Trading Places, Ace Ventura: Pet Detective, Vacation, Planes, Trains and Automobiles, Caddyshack, Zoolander"
2751_top-rated_neutral_niche_genre,"The Adventures of Priscilla, Queen of the Desert, Death Becomes Her, Big Trouble in Little China, The Grand Budapest Hotel, To Wong Foo, Thanks for Everything! Julie Newmar, Hairspray, Pink Flamingos, The Rocky Horror Picture Show, Mighty Aphrodite, The Birdcage"
2751_top-rated_neutral_exclude_popular,"The Last Days of Disco, In the Loop, The Party, Death at a Funeral, The Dish, A Fish Called Wanda, Local Hero, The Adventures of Priscilla, Queen of the Desert, Rosencrantz & Guildenstern Are Dead, Waiting for Godot"
2751_top-rated_neutral_indie_international,"In the Mood for Love, Amélie, The Unknown Girl, The Celebration, Once, A Fantastic Woman, The Lunchbox, City of God, Toni Erdmann, The Intouchables"
2751_top-rated_neutral_temporal_diverse,"Some Like It Hot, Blazing Saddles, Tootsie, Dumb and Dumber, The Naked Gun, Pineapple Express, Hot Fuzz, Trading Places, Galaxina, The Odd Couple"
2751_top-rated_neutral_obscure_theme,"The Gang That Couldn’t Shoot Straight, The Wrong Box, The Rare Breed, My Man Godfrey, The Lady Eve, Auntie Mame, The Great Race, The Full Treatment, The Secret of My Success, The Cheap Detective"
2751_top-rated_gender_age_only_baseline,"Bridesmaids, Legally Blonde, Mamma Mia!, 10 Things I Hate About You, Clueless, Easy A, Mean Girls, She's the Man, Pitch Perfect, The Proposal"
2751_top-rated_gender_age_only_niche_genre,"Death Becomes Her, Hairspray, The Adventures of Priscilla, Queen of the Desert, To Wong Foo, Thanks for Everything! Julie Newmar, Big Fish, The Wog Boy, Little Miss Sunshine, The Birdcage, Mamma Mia!, The Full Monty"
2751_top-rated_gender_age_only_exclude_popular,"The Dish, Local Hero, The Ladykillers, A Fish Called Wanda, The Station Agent, The Hundred-Foot Journey, My Dinner with Andre, The Informant!, The Last of the Blonde Bombshells, The Dish and the Spoon"
2751_top-rated_gender_age_only_indie_international,"Amélie, The Lunchbox, Persepolis, Toni Erdmann, The Intouchables, Frances Ha, In the Mood for Love, The Farewell, Wild Tales, The Brand New Testament"
2751_top-rated_gender_age_only_temporal_diverse,"Some Like It Hot, Clueless, Mamma Mia!, Bridget Jones's Diary, Legally Blonde, Easy A, Desperately Seeking Susan, The Favourite, To Wong Foo, Thanks for Everything! Julie Newmar, The Devil Wears Prada"
2751_top-rated_gender_age_only_obscure_theme,"Death Becomes Her, Waiting for Guffman, Big Night, The Dish, The Party, The Adventures of Priscilla, Queen of the Desert, Hairspray, Clueless, Murder by Death, The Lady Eve"
2751_top-rated_occupation_only_baseline,"Dumb and Dumber, Superbad, Office Space, Wedding Crashers, The 40-Year-Old Virgin, Zoolander, Anchorman: The Legend of Ron Burgundy, Hot Fuzz, Mean Girls, Tropic Thunder"
2751_top-rated_occupation_only_niche_genre,"Big Night, The Last Detail, In the Loop, The Party, Waiting for Guffman, A Fish Called Wanda, The King of Comedy, The Great Beauty, The Death of Stalin, The Dish"
2751_top-rated_occupation_only_exclude_popular,"The King of Comedy, The Party, A New Leaf, Local Hero, The Last Detail, My Dinner with Andre, Withnail & I, The Great Muppet Caper, The Moral Conundrum, The Dish"
2751_top-rated_occupation_only_indie_international,"In the Loop, The Death of Stalin, Toni Erdmann, The Intouchables, The Trip, What We Do in the Shadows, Four Lions, The Lunchbox, The Great Beauty, Local Hero"
2751_top-rated_occupation_only_temporal_diverse,"Some Like It Hot, Trading Places, Tootsie, The Princess Bride, Amélie, Groundhog Day, The Odd Couple, Big Trouble in Little China, Hot Fuzz, The Birdcage"
2751_top-rated_occupation_only_obscure_theme,"The Misadventures of Mr. Wilt, The Party, Big Trouble, The Honorable Rebel, The Naked Gun 2½: The Smell of Fear, My Favorite Year, The Wrong Box, The Cheap Detective, Moving Violations, The In-Laws"
2751_top-rated_all_attributes_baseline,"Mamma Mia!, Bridget Jones's Diary, Legally Blonde, Crazy Rich Asians, The Proposal, Clueless, Confessions of a Shopaholic, 10 Things I Hate About You, Easy A, Notting Hill"
2751_top-rated_all_attributes_niche_genre,"Death Becomes Her, The Adventures of Priscilla, Queen of the Desert, Hairspray, To Wong Foo, Thanks for Everything! Julie Newmar, The Birdcage (Stage Version), The King of Comedy, Big Trouble in Little China, The Last Days of Disco, Clueless, Dressed to Kill"
2751_top-rated_all_attributes_exclude_popular,"In the Company of Men, Lars and the Real Girl, The Dish, The Station Agent, The Retreat, The Last Days of Disco, The Best Man, The Proposition, A Man Called Ove, A Serious Man"
2751_top-rated_all_attributes_indie_international,"Frances Ha, Amélie, The Lunchbox, Toni Erdmann, In the Mood for Love, The Intouchables, Once, Paterson, Sing Street, The Trip"
2751_top-rated_all_attributes_temporal_diverse,"Some Like It Hot, Bringing Up Baby, Tootsie, Clueless, Legally Blonde, Easy A, Mean Girls, The Devil Wears Prada, Crazy Rich Asians, The Princess Diaries"
2751_top-rated_all_attributes_obscure_theme,"Death at a Funeral, The Ladykillers, Big Trouble, Kiss Kiss Bang Bang, The Brothers Bloom, In the Loop, The Dish, The Guard, The Way Way Back, What We Do in the Shadows"
2752_top-rated_neutral_baseline,"The Great Dictator, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Monty Python and the Holy Grail, Young Frankenstein, The Princess Bride, Fargo, The Big Lebowski, Pee-wee's Big Adventure, This Is Spinal Tap, The Apartment"
2752_top-rated_neutral_niche_genre,"The Holy Mountain, Eraserhead, The Fountainhead, Brazil, The Killing of a Sacred Deer, The Party, Waiting for Godot, The Cook, the Thief, His Wife & Her Lover, The Last Days of Disco, Gummo"
2752_top-rated_neutral_exclude_popular,"The King of Marvin Gardens, The Last Detail, The Life and Times of Judge Roy Bean, The Ballad of Buster Scruggs, The Killing of a Chinese Bookie, The Last Picture Show, McCabe & Mrs. Miller, The Spirit of the Beehive, The Housemaid, The Woman Who Drinks"
2752_top-rated_neutral_indie_international,"The Holy Mountain, Paris, Texas, The Spirit of the Beehive, My Night at Maud's, The Cook, the Thief, His Wife & Her Lover, A Man Escaped, Come and See, Wings of Desire, Delicatessen, The Last Wave"
2752_top-rated_neutral_temporal_diverse,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, The Apartment, Some Like It Hot, The Great Escape, The Odd Couple, Young Frankenstein, The Philadelphia Story, M*A*S*H, Catch-22, The Killing of a Chinese Bookie"
2752_top-rated_neutral_obscure_theme,"The King of Marvin Gardens, The Last Detail, The Friends of Eddie Coyle, The Long Goodbye, Happiness, The House Bunny, The Ballad of Buster Scruggs, Big Trouble in Little China, The Unauthorized Happiness, The Assassination of Jesse James by the Coward Robert Ford"
2752_top-rated_gender_age_only_baseline,"The Great Escape, The Breakfast Club, Monty Python and the Holy Grail, Fargo, The Big Lebowski, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Pineapple Express, The Secret Life of Walter Mitty, O Brother, Where Art Thou?, Duck Soup"
2752_top-rated_gender_age_only_niche_genre,"The Holy Mountain, Dark City, Brazil, Eraserhead, The Cook, the Thief, His Wife & Her Lover, Repo Man, Pink Flamingos, The Fountainhead, A Boy and His Dog, The Last Wave"
2752_top-rated_gender_age_only_exclude_popular,"The Killing of a Chinese Bookie, The Last Detail, The Housemaid, The Spirit of the Beehive, The River's Edge, The Apple Dumpling Gang Rides Again, The Long Goodbye, The Last Wave, The Killing of a Sacred Deer, The Treasure of the Sierra Madre"
