custom_id,movies
2251_top-rated_neutral_baseline,"Gone with the Wind, To Kill a Mockingbird, The Maltese Falcon, Notorious, Rear Window, Double Indemnity, Sunset Boulevard, The Third Man, Rebecca, Vertigo"
2251_top-rated_neutral_niche_genre,"Orpheus, M, The Third Man, Night and the City, Detour, Kiss Me Deadly, The Night of the Hunter, In a Lonely Place, The Long Goodbye, Touch of Evil"
2251_top-rated_neutral_exclude_popular,"The Night of the Hunter, Out of the Past, Laura, The Third Man, The Asphalt Jungle, Strangers on a Train, The Killers, Sweet Smell of Success, The Big Combo, Night of the Demon"
2251_top-rated_neutral_indie_international,"In the Mood for Love, The Spirit of the Beehive, The Umbrellas of Cherbourg, A Man Escaped, Pierrot le Fou, The Double Life of Veronique, Stalker, The House Is Black, Roma, Blue Velvet"
2251_top-rated_neutral_temporal_diverse,"Sunset Boulevard, Vertigo, Roman Holiday, The Maltese Falcon, Chinatown, Double Indemnity, Rebecca, The Third Man, Laura, The Man Who Knew Too Much"
2251_top-rated_neutral_obscure_theme,"Night and the City, The Woman in the Window, Odd Man Out, The Killers, Nightmare Alley, The Big Heat, The Narrow Margin, The Third Man, The Asphalt Jungle, The Fallen Idol"
2251_top-rated_gender_age_only_baseline,"Vertigo, Double Indemnity, The Maltese Falcon, Rebecca, Sunset Boulevard, Chinatown, The Third Man, Notorious, To Catch a Thief, Laura"
2251_top-rated_gender_age_only_niche_genre,"The Third Man, Night of the Hunter, Out of the Past, The Night of the Hunter, The Long Goodbye, Memento, Mulholland Drive, The Killing of a Sacred Deer, Pierrot le Fou, In the Mood for Love"
2251_top-rated_gender_age_only_exclude_popular,"Night of the Hunter, The Third Man, Out of the Past, Laura, The Night of the Hunter, Kiss Me Deadly, Double Indemnity, The Asphalt Jungle, Pickup on South Street, The Woman in the Window"
2251_top-rated_gender_age_only_indie_international,"A Man Escaped, The Spirit of the Beehive, Le Samouraï, City of God, In the Mood for Love, The Hairdresser's Husband, The Umbrellas of Cherbourg, Pierrot le Fou, The Secret in Their Eyes, Run Lola Run"
2251_top-rated_gender_age_only_temporal_diverse,"Double Indemnity, Chinatown, The Maltese Falcon, Vertigo, The Third Man, Sunset Boulevard, 12 Angry Men, High Noon, On the Waterfront, The Man Who Shot Liberty Valance"
2251_top-rated_gender_age_only_obscure_theme,"Night of the Hunter, The Third Man, Nightmare Alley, The Big Heat, Kiss Me Deadly, The Killers, Pickup on South Street, The Asphalt Jungle, The Narrow Margin, Detour"
2251_top-rated_occupation_only_baseline,"To Kill a Mockingbird, Rear Window, Chinatown, Gone with the Wind, Double Indemnity, The Maltese Falcon, Lawrence of Arabia, Sunset Boulevard, Northwest Passage, The Third Man"
2251_top-rated_occupation_only_niche_genre,"The Third Man, Orpheus, The Night of the Hunter, Taste of Cherry, Fitzcarraldo, The Sacrifice, Wages of Fear, Stalker, Picnic at Hanging Rock, The Spirit of the Beehive"
2251_top-rated_occupation_only_exclude_popular,"Night of the Hunter, Laura, The Third Man, Detour, The Killers, Out of the Past, The Lady Vanishes, The Asphalt Jungle, The Night of the Hunter, Murder, My Sweet"
2251_top-rated_occupation_only_indie_international,"In the Mood for Love, The Double Life of Veronique, A Prophet, The Secret in Their Eyes, Pierrot le Fou, The Spirit of the Beehive, Toni Erdmann, The Headless Woman, Bad Day to Go Fishing, The Hunt"
2251_top-rated_occupation_only_temporal_diverse,"Sunset Boulevard, Double Indemnity, The Maltese Falcon, Vertigo, Chinatown, The Third Man, Rebecca, Lawrence of Arabia, The Great Escape, All the President's Men"
2251_top-rated_occupation_only_obscure_theme,"Night of the Hunter, The Third Man, The Killers, The Big Sleep (1946) - different from the one already watched, The Man Who Knew Too Much (1956), Vertigo, The Night of the Hunter, The Narrow Margin, Sweet Smell of Success, The Asphalt Jungle"
2251_top-rated_all_attributes_baseline,"Chinatown, Double Indemnity, The Maltese Falcon, Sunset Boulevard, Gone with the Wind, The Third Man, Rebecca, Vertigo, Some Like It Hot, To Kill a Mockingbird"
2251_top-rated_all_attributes_niche_genre,"Out of Sight, The Last Seduction, The Third Man, Memento, The Third Man, In a Lonely Place, The Night of the Hunter, Cape Fear, Double Indemnity, The Killing"
2251_top-rated_all_attributes_exclude_popular,"The Third Man, Laura, Night of the Hunter, Out of the Past, The Lady Vanishes, The Killers, The stranger, Sweet Smell of Success, The Long Goodbye, Night of the Demon"
2251_top-rated_all_attributes_indie_international,"In the Mood for Love, The Secret in Their Eyes, A Prophet, City of God, The Hunt, Let the Right One In, The Handmaiden, Pan’s Labyrinth, The Swimmer, Drive"
2251_top-rated_all_attributes_temporal_diverse,"Double Indemnity, Sunset Boulevard, The Maltese Falcon, Chinatown, The Third Man, Rififi, The Godfather, The Man Who Shot Liberty Valance, The Conversation, Heat"
2251_top-rated_all_attributes_obscure_theme,"Night of the Hunter, The Third Man, Pickup on South Street, The Killing of a Chinese Bookie, Sweet Smell of Success, Detour, The Big Heat, The Asphalt Jungle, Night and the City, In a Lonely Place"
2252_top-rated_neutral_baseline,"The Shawshank Redemption, Saving Private Ryan, The Silence of the Lambs, Schindler's List, Pulp Fiction, The Green Mile, Good Will Hunting, Se7en, The Departed, American Beauty"
2252_top-rated_neutral_niche_genre,"The Fall, The Fountain, Moon, Lock, Stock and Two Smoking Barrels, The Machinist, Brazil, Oldboy, Synecdoche, New York, The Double Life of Veronique, Stalker"
2252_top-rated_neutral_exclude_popular,"The Fugitive, The Insider, Primal Fear, L.A. Confidential, The Constant Gardener, The English Patient, Memento, The Talented Mr. Ripley, A Simple Plan, The Sweet Hereafter"
2252_top-rated_neutral_indie_international,"City of God, Amélie, In the Mood for Love, The Intouchables, Pan's Labyrinth, A Prophet, The Hunt, Run Lola Run, Toni Erdmann, The Secret in Their Eyes"
2252_top-rated_neutral_temporal_diverse,"The Silence of the Lambs, Chinatown, The Shawshank Redemption, Casablanca, Pulp Fiction, The Godfather, Modern Times, Raiders of the Lost Ark, Goodfellas, The Grand Budapest Hotel"
2252_top-rated_neutral_obscure_theme,"The Chase, The Negotiator, The American Astronaut, A Simple Plan, The Last Seduction, The Fall, Bottle Rocket, L.A. Confidential, The Way of the Gun, The Man From Earth"
2252_top-rated_gender_age_only_baseline,"Amélie, The Intouchables, Little Miss Sunshine, Pride & Prejudice, The Secret Life of Walter Mitty, La La Land, Eternal Sunshine of the Spotless Mind, Hidden Figures, The Proposal, Julie & Julia"
