custom_id,movies
251_top-rated_neutral_baseline,"The Notebook, Pride and Prejudice, Schindler's List, The Green Mile, Forrest Gump, The Shawshank Redemption, Casablanca, Gone with the Wind, Braveheart, The King's Speech"
251_top-rated_neutral_niche_genre,"The Fall, Pan's Labyrinth, In the Mood for Love, The Secret in Their Eyes, Amélie, The Lives of Others, Cinema Paradiso, Oldboy, The Orphanage, The Handmaiden"
251_top-rated_neutral_exclude_popular,"The Double Life of Véronique, A Tale Told by the Sea, The Assassin, The Last of the Mohicans, In the Mood for Love, The Spirit of the Beehive, The Man Who Would Be King, The Secret in Their Eyes, The Celebration, The Reflection of Power"
251_top-rated_neutral_indie_international,"In the Mood for Love, Cinema Paradiso, Pan's Labyrinth, The Secret in Their Eyes, Amélie, Run Lola Run, The Lives of Others, A Separation, The Hunt, The Intouchables"
251_top-rated_neutral_temporal_diverse,"Casablanca, The Bridge on the River Kwai, Gone with the Wind, Schindler's List, The Great Escape, Some Like It Hot, The Silence of the Lambs, Lawrence of Arabia, The African Queen, To Kill a Mockingbird"
251_top-rated_neutral_obscure_theme,"The Painted Veil, A Very Long Engagement, The Counterfeiters, In the Mood for Love, The Kill Team, The Straight Story, Shadowlands, The Fall, The Last of the Mohicans, The Wind That Shakes the Barley"
251_top-rated_gender_age_only_baseline,"Schindler's List, Forrest Gump, The Shawshank Redemption, The Green Mile, Gladiator, The Pursuit of Happyness, Braveheart, The Dark Knight, Saving Mr. Banks, The Godfather"
251_top-rated_gender_age_only_niche_genre,"The Assassination of Jesse James by the Coward Robert Ford, In the Mood for Love, The Fall, Pan's Labyrinth, The Third Man, Stalker, The Man Who Would Be King, The Spirit of the Beehive, Sunset Boulevard, The Proposition"
251_top-rated_gender_age_only_exclude_popular,"The Last of the Mohicans, The Sting, The Killing Fields, The American Friend, The Quiet American, The Assassination of Jesse James by the Coward Robert Ford, The Third Man, The King of Marvin Gardens, The Heart of the Fall, The Proposition"
251_top-rated_gender_age_only_indie_international,"In the Mood for Love, The Hunt, City of God, Let the Right One In, Amélie, The Lives of Others, Pan’s Labyrinth, Crouching Tiger, Hidden Dragon, A Separation, Paprika"
251_top-rated_gender_age_only_temporal_diverse,"Casablanca, The Great Escape, The Bridge on the River Kwai, The Godfather, To Kill a Mockingbird, Roman Holiday, The African Queen, The Dirty Dozen, Lawrence of Arabia, The Sound of Music"
251_top-rated_gender_age_only_obscure_theme,"The Assassination of Jesse James by the Coward Robert Ford, In the Mood for Love, A Simple Plan, The Proposition, The King of Comedy, The Painted Veil, The Sweet Hereafter, The Vanishing, The Man Who Would Be King, The Proposition"
251_top-rated_occupation_only_baseline,"The Shawshank Redemption, Schindler's List, Forrest Gump, The Green Mile, Apollo 13, The Great Escape, Catch Me If You Can, The Imitation Game, The Terminal, Bridge on the River Kwai"
251_top-rated_occupation_only_niche_genre,"Stalker, The Great Silence, The Man Who Fell to Earth, Wings of Desire, Come and See, The Fall, The Spirit of the Beehive, Werner Herzog's Aguirre, the Wrath of God, The Sacrifice, The Quay Brothers' Institute Benjamenta"
251_top-rated_occupation_only_exclude_popular,"The Assassin, The Man Who Fell to Earth, Come and See, The Spirit of the Beehive, Stalker, Paths of Glory, The Red Balloon, The Last Detail, A Short Film About Killing, The Passenger"
251_top-rated_occupation_only_indie_international,"City of God, Run Lola Run, The Hunt, The Intouchables, Pan's Labyrinth, Toni Erdmann, In the Mood for Love, The Man Who Wanted to Kill Himself, The Celebration, Memories of Murder"
251_top-rated_occupation_only_temporal_diverse,"Lawrence of Arabia, The Great Escape, Bridge on the River Kwai, 12 Angry Men, All the President's Men, The Third Man, The Philadelphia Story, Modern Times, The Apartment, The Magnificent Seven"
251_top-rated_occupation_only_obscure_theme,"The Proposition, The Last of the Mohicans, The Secret of Kells, The Fall, The Assassin, A Midnight Clear, The Wind Rises, The Straight Story, The Man Who Would Be King, Pan's Labyrinth"
251_top-rated_all_attributes_baseline,"Schindler's List, The Shawshank Redemption, The Dark Knight, Inception, Forrest Gump, The Godfather, The Green Mile, Mad Max: Fury Road, The Prestige, Heat"
251_top-rated_all_attributes_niche_genre,"Stalker, The Man Who Fell to Earth, The Thing, Blade Runner, Brazil, The Fountainhead, The Great Escape, The Thief of Bagdad, Come and See, The Spirit of the Beehive"
