custom_id,movies
4251_recent_neutral_baseline,"Clueless, Rushmore, The Royal Tenenbaums, Election, Ferris Bueller's Day Off, The Breakfast Club, Deadpool, Superbad, The Edge of Seventeen, Little Miss Sunshine"
4251_recent_neutral_niche_genre,"The Holy Mountain, Brazil, Eraserhead, Pink Flamingos, The Cook, the Thief, His Wife & Her Lover, Gummo, The Last Movie, Naked Lunch, Tetsuo: The Iron Man, Begotten"
4251_recent_neutral_exclude_popular,"The Last Days of Disco, The House of the Spirits, The Reflecting Skin, Little Murders, The Killing of a Chinese Bookie, The Long Goodbye, Buffalo '66, The House Is Burning, The American Friend, Blue Velvet"
4251_recent_neutral_indie_international,"The Death of Mr. Lazarescu, A Fantastic Woman, The Lobster, In the Mood for Love, The Secret of Kells, Wendy and Lucy, The Fits, Toni Erdmann, Boyhood, The Square"
4251_recent_neutral_temporal_diverse,"Pink Flamingos, Clueless, M*A*S*H, The Breakfast Club, Harold and Maude, Rebel Without a Cause, The Princess Bride, The Firemen's Ball, Election, The Art of Self-Defense"
4251_recent_neutral_obscure_theme,"The Last American Virgin, The Stand"
4251_recent_gender_age_only_baseline,"Clerks, The Breakfast Club, Pineapple Express, Superbad, Office Space, The Cable Guy, American Psycho, Fight Club, The Big Lebowski, Hot Fuzz"
4251_recent_gender_age_only_niche_genre,"Brazil, Eraserhead, The Holy Mountain, Being John Malkovich, The Cook, the Thief, His Wife & Her Lover, Pink Flamingos, Delicatessen, The Fountain, A Field in England, Gummo"
4251_recent_gender_age_only_exclude_popular,"The Last Days of Disco, The King of Marvin Gardens, Arizona Dream, The House of the Devil, The Celebration, Buffalo '66, The Mood Indigo, The Reflecting Skin, The Holy Mountain, A Ghost Story"
4251_recent_gender_age_only_indie_international,"In the Mood for Love, The Killing of a Sacred Deer, A Ghost Story, The Lobster, Holy Motors, The Fall, Blue Velvet, Goodbye Dragon Inn, The Holy Mountain, Toni Erdmann"
4251_recent_gender_age_only_temporal_diverse,"Network, The Breakfast Club, Revenge of the Nerds, Blazing Saddles, Clerks, The King of Comedy, Harold and Maude, American History X, Fight Club, The Graduate"
4251_recent_gender_age_only_obscure_theme,"The Last Dragon, Morris from America, The Way Way Back, The Station Agent, In the Mood for Love, The Art of Self-Defense, Submarine, The Diary of a Teenage Girl, The Little Hours, The Overnight"
4251_recent_occupation_only_baseline,"The Grand Budapest Hotel, The Truman Show, Office Space, The Birdcage, American Psycho, The Breakfast Club, Burn After Reading, The Royal Tenenbaums, Little Miss Sunshine, Thank You for Smoking"
4251_recent_occupation_only_niche_genre,"Brazil, Eternal Sunshine of the Spotless Mind, The Lobster, Being John Malkovich, Adaptation, In the Mood for Love, The Holy Mountain, The Cook, the Thief, His Wife & Her Lover, Pink Flamingos, A Ghost Story"
