custom_id,movies
3001_top-rated_neutral_baseline,"The Shawshank Redemption, Apocalypse Now, The Dark Knight, Blade Runner, Schindler's List, The Godfather Part II, Full Metal Jacket, Pulp Fiction, The Silence of the Lambs, 12 Angry Men"
3001_top-rated_neutral_niche_genre,"Pan's Labyrinth, The Fall, Akira, Stalker, City of God, Oldboy, The Hunt, Tinker Tailor Soldier Spy, The Lives of Others, Memories of Murder"
3001_top-rated_neutral_exclude_popular,"The Killing of a Sacred Deer, The Proposition, A Ghost Story, The Assassination of Jesse James by the Coward Robert Ford, The Master, The Proposition, The Proposition, The Last Detail, The Sweet Hereafter, The Man Who Fell to Earth"
3001_top-rated_neutral_indie_international,"City of God, The Lives of Others, Pan's Labyrinth, In the Mood for Love, Oldboy, Memories of Murder, Amélie, The Hunt, A Separation, The Secret in Their Eyes"
3001_top-rated_neutral_temporal_diverse,"12 Angry Men, Casablanca, Schindler's List, The Good, the Bad and the Ugly, Apocalypse Now, The Shawshank Redemption, Lawrence of Arabia, The Godfather Part II, Pulp Fiction, Blade Runner"
3001_top-rated_neutral_obscure_theme,"The Last Wave, The Proposition, The Message, Zelig, The Assassination of Jesse James by the Coward Robert Ford, The Owl Service, The King of Marvin Gardens, A Touch of Sin, The Proposition, The Killing of a Sacred Deer"
3001_top-rated_gender_age_only_baseline,"Blade Runner, Mad Max: Fury Road, The Dark Knight, Inception, The Departed, Fight Club, Interstellar, Pulp Fiction, The Shawshank Redemption, Gladiator"
3001_top-rated_gender_age_only_niche_genre,"Stalker, The Spirit of the Beehive, The Fall, The Proposition, Come and See, A Ghost Story, Blue Velvet, The Killing of a Sacred Deer, Memento Mori, The Turin Horse"
3001_top-rated_gender_age_only_exclude_popular,"The Assassination of Jesse James by the Coward Robert Ford, The Proposition, A Ghost Story, The Proposition, The White Ribbon, Dead Man, The Master, The Fall, The Rover, Upstream Color"
3001_top-rated_gender_age_only_indie_international,"City of God, Oldboy, The Hunt, Pan's Labyrinth, Let the Right One In, The Intouchables, Requiem for a Dream, The Secret in Their Eyes, Blue Is the Warmest Color, A Separation"
3001_top-rated_gender_age_only_temporal_diverse,"Blade Runner, 12 Angry Men, The Good, the Bad and the Ugly, Apocalypse Now, The Shawshank Redemption, Lawrence of Arabia, The Searchers, Chinatown, The Matrix, Schindler's List"
3001_top-rated_gender_age_only_obscure_theme,"The Last Wave, Thief, The Proposition, The Assassination of Jesse James by the Coward Robert Ford, The Proposition, Paprika, The Killing of a Sacred Deer, The Fall, A Ghost Story, The Man Who Fell to Earth"
3001_top-rated_occupation_only_baseline,"Blade Runner, The Shawshank Redemption, The Dark Knight, Pulp Fiction, Schindler's List, Fight Club, Inception, The Matrix, Apocalypse Now, 12 Angry Men"
3001_top-rated_occupation_only_niche_genre,"Stalker, Solaris, The Holy Mountain, Blue Velvet, Come and See, The Mirror, The Act of Killing, Eraserhead, The Killing of a Sacred Deer, Mandy"
3001_top-rated_occupation_only_exclude_popular,"Brazil, Stalker, The Killing of a Sacred Deer, A Ghost Story, The Man Who Fell to Earth, Children of Men, The Sweet Hereafter, The Assassination of Jesse James by the Coward Robert Ford, Repulsion, The Double Life of Veronique"
3001_top-rated_occupation_only_indie_international,"City of God, Pan's Labyrinth, Oldboy, The Handmaiden, Memories of Murder, The Secret in Their Eyes, The Intouchables, Toni Erdmann, A Separation, The Hunt"
3001_top-rated_occupation_only_temporal_diverse,"12 Angry Men, Blade Runner, The Shawshank Redemption, Apocalypse Now, The Good, the Bad and the Ugly, Pulp Fiction, Lawrence of Arabia, The Prestige, Fight Club, The Silence of the Lambs"
3001_top-rated_occupation_only_obscure_theme,"Dark City, The Assassination of Jesse James by the Coward Robert Ford, The Proposition, The Last of the Mohicans, The Man From Earth, A Prophet, The Spirit of the Beehive, The Fall, The Proposition, The Wind That Shakes the Barley"
3001_top-rated_all_attributes_baseline,"Blade Runner, Mad Max: Fury Road, The Shawshank Redemption, Fight Club, Inception, The Dark Knight, Pulp Fiction, The Matrix, Apocalypse Now, Se7en"
3001_top-rated_all_attributes_niche_genre,"Brazil, Stalker, The Man Who Fell to Earth, Blade Runner, A Clockwork Orange, The Holy Mountain, Altered States, Dark City, The Road Warrior, Samurai Rebellion"
3001_top-rated_all_attributes_exclude_popular,"The Man Who Fell to Earth, The Assassination of Jesse James by the Coward Robert Ford, A Ghost Story, The Spirit of the Beehive, Memento, The Killing of a Sacred Deer, The Last Wave, Stalker, The Return, The Conversation"
3001_top-rated_all_attributes_indie_international,"City of God, Oldboy, The Hunt, Pan's Labyrinth, Requiem for a Dream, Blue Velvet, The Intouchables, Memories of Murder, In the Mood for Love, A Separation"
3001_top-rated_all_attributes_temporal_diverse,"2001: A Space Odyssey, Blade Runner, Schindler's List, The Good, the Bad and the Ugly, Apocalypse Now, The Shawshank Redemption, Lawrence of Arabia, The Silence of the Lambs, Raiders of the Lost Ark, Fight Club"
3001_top-rated_all_attributes_obscure_theme,"The Assassination of Jesse James by the Coward Robert Ford, A Touch of Sin, The Proposition, The Proposition, City of God, The Fall, The Last Black Sea Pirates, Paprika, The Man from Earth, The Hunt for Red October"
