custom_id,movies
3501_top-rated_neutral_baseline,"Wallace & Gromit's A Close Shave, The Iron Giant, Ratatouille, The Secret of NIMH, The Sting, All Quiet on the Western Front, Pan's Labyrinth, Saving Private Ryan, The Third Man, The Godfather"
3501_top-rated_neutral_niche_genre,"The Fall, The Secret of Kells, Pan's Labyrinth, City of God, The Lives of Others, The Handmaiden, Come and See, The Proposition, A Separation, Tinker Tailor Soldier Spy"
3501_top-rated_neutral_exclude_popular,"The Secret of Kells, The Last Seduction, Come and See, The Painted Bird, A Prophet, The Proposition, The Assassin, The Spirit of the Beehive, The Counterfeiters, The Vanishing"
3501_top-rated_neutral_indie_international,"City of God, Omar, A Separation, The Hunt, Pan's Labyrinth, The Celebration, The Secret in Their Eyes, In the Mood for Love, The Lives of Others, The Chaser"
3501_top-rated_neutral_temporal_diverse,"The Great Escape, Singin' in the Rain, The Maltese Falcon, Cinema Paradiso, The Third Man, Finding Nemo, The Shawshank Redemption, Pan's Labyrinth, The African Queen, Spirited Away"
3501_top-rated_neutral_obscure_theme,"The Secret of Kells, The Last Days of Disco, The Proposition, The Fall, A Private War, The Iron Giant, The Proposition, Dark Blue World, The White Ribbon, The Hunt"
3501_top-rated_gender_age_only_baseline,"The Secret of Kells, Kiki's Delivery Service, Amélie, The Iron Giant, Paddington, Spirited Away, The Princess Bride, My Neighbor Totoro, Coraline, Little Miss Sunshine"
3501_top-rated_gender_age_only_niche_genre,"The Fall, Pan's Labyrinth, The Secret of Kells, Kiki's Delivery Service, The Red Turtle, The Cave of the Yellow Dog, The Little Prince, Song of the Sea, Whisper of the Heart, The Boy and the Beast"
3501_top-rated_gender_age_only_exclude_popular,"The Secret of Kells, A Tale of Two Cities, The Fall, The Last of the Mohicans, The Painted Veil, The Mission, Whisper of the Heart, The Double Life of Veronique, Hiroshima Mon Amour, The Spirit of the Beehive"
3501_top-rated_gender_age_only_indie_international,"The Secret of Kells, A Fantastic Woman, Pan's Labyrinth, Persepolis, The Spirit of the Beehive, Toni Erdmann, The Double Life of Véronique, Shoplifters, The Hunt, The Lives of Others"
3501_top-rated_gender_age_only_temporal_diverse,"The Secret of NIMH, Amélie, Murder on the Orient Express, The Sound of Music, Pan's Labyrinth, Little Miss Sunshine, The Great Escape, Bringing Up Baby, The Princess Bride, To Kill a Mockingbird"
3501_top-rated_gender_age_only_obscure_theme,"Mary and the Witch's Flower, The Secret of Kells, A Ghost in the Shell, The Fall, The Invitation, The Assassin, The Wind Rises, The Man Who Knew Infinity, The Painted Bird, The Last Wave"
3501_top-rated_occupation_only_baseline,"The Italian Job, Inception, The Godfather, The Silence of the Lambs, The Dark Knight, Heat, Glengarry Glen Ross, The Departed, No Country for Old Men, The Usual Suspects"
3501_top-rated_occupation_only_niche_genre,"The Secret of Kells, The Last Wave, The Fall, Baraka, The Proposition, The Hunt for Red October, The Wind Rises, The Straight Story, The Spirit of the Beehive, Come and See"
