custom_id,movies
2501_recent_neutral_baseline,"Se7en, The Others, The Sixth Sense, Memento, Donnie Darko, Requiem for a Dream, The Ring, Panic Room, The Witch, Mulholland Drive"
2501_recent_neutral_niche_genre,"The Reflecting Skin, The Invitation, Blue Velvet, Memento, The Fall, The Others, Donnie Darko, Eraserhead, Pi, The City of Lost Children"
2501_recent_neutral_exclude_popular,"The Reflecting Skin, The Last Seduction, Blue Velvet, The Vanishing, Angel Heart, Memento, The House of the Devil, The Pledge, The Addiction, Dead Man's Shoes"
2501_recent_neutral_indie_international,"The Holy Mountain, Blue Velvet, Requiem for a Dream, The Spirit of the Beehive, A Touch of Sin, Pan's Labyrinth, The Double Life of Véronique, Mysterious Skin, The Wailing, In the Mood for Love"
2501_recent_neutral_temporal_diverse,"Rebecca, Psycho, The Cabinet of Dr. Caligari, Nosferatu, Mulholland Drive, The Others, Night of the Living Dead, Vertigo, The Thing, Black Swan"
2501_recent_neutral_obscure_theme,"The Reflecting Skin, May, The Void, The Battery, The Canal, Pontypool, The House of the Devil, The Poughkeepsie Tapes, The Last Wave, Blue Velvet"
2501_recent_gender_age_only_baseline,"Se7en, The Ring, Fight Club, Memento, The Sixth Sense, Oldboy, Donnie Darko, The Others, Requiem for a Dream, Black Swan"
2501_recent_gender_age_only_niche_genre,"Gothic, The Wailing, Blue Velvet, Murder Party, The Orphanage, The Descent, The Witch, Pan's Labyrinth, The Babadook, Tetsuo: The Iron Man"
2501_recent_gender_age_only_exclude_popular,"The Reflecting Skin, The House of the Devil, The Innocents, Dead Man's Shoes, The Last Wave, The Prowler, Cold Prey, The Wailing, Pontypool, A Tale of Two Sisters"
2501_recent_gender_age_only_indie_international,"Blue Velvet, The Double Life of Veronique, Requiem for a Dream, City of God, A Girl Walks Home Alone at Night, Let the Right One In, Oldboy, The Handmaiden, In the Mood for Love, Pantaleon y las visitadoras"
2501_recent_gender_age_only_temporal_diverse,"The Others, Se7en, Oldboy, Blade Runner, Pulp Fiction, The Sixth Sense, Nosferatu, Memento, The Shining, Donnie Darko"
2501_recent_gender_age_only_obscure_theme,"The Void, The Invitation, Pontypool, The Loved Ones, The House of the Devil, Blue Velvet, The Descent, The Poughkeepsie Tapes, May, The Reflecting Skin"
2501_recent_occupation_only_baseline,"Se7en, The Sixth Sense, Pan's Labyrinth, Memento, The Others, Donnie Darko, Jacob's Ladder, Requiem for a Dream, Black Swan, The Machinist"
2501_recent_occupation_only_niche_genre,"Possession, The Cell, The Wailing, Blue Velvet, Carnival of Souls, Picnic at Hanging Rock, The Others, The Reflecting Skin, The Spirit of the Beehive, Mysterious Skin"
2501_recent_occupation_only_exclude_popular,"The Invitation, The Reflecting Skin, The Last Wave, Picnic at Hanging Rock, The Witch, The Void, The House That Jack Built, The Babadook, The Requiem, Blue Velvet"
2501_recent_occupation_only_indie_international,"The Holy Mountain, Come and See, The Act of Killing, City of God, A Girl Walks Home Alone at Night, Toni Erdmann, The Spirit of the Beehive, The Brand New Testament, Wild Strawberries, The Headless Woman"
2501_recent_occupation_only_temporal_diverse,"Blade Runner, The Thing, Brazil, Memento, Se7en, The Fly, Donnie Darko, The Sixth Sense, Requiem for a Dream, The Others"
2501_recent_occupation_only_obscure_theme,"The Reflecting Skin, The Addiction, The Brood, The Void, Mayhem, Blue Velvet, The House of the Devil, The Killing of a Sacred Deer, Pontypool, The Last Wave"
