custom_id,movies
5501_recent_neutral_baseline,"Kiss Kiss Bang Bang, The Nice Guys, Midnight Run, Liar Liar, The Mask, Bad Boys, Planes, Trains and Automobiles, Rush Hour, The Grand Budapest Hotel, The Birdcage"
5501_recent_neutral_niche_genre,"The Fall, Big Trouble in Little China, The Last Dragon, Kiss Kiss Bang Bang, The Nice Guys, In the Mouth of Madness, The Adventures of Buckaroo B. Benson, Death to Smoochy, The Brothers Bloom, The Spirit of the Beehive"
5501_recent_neutral_exclude_popular,"The Ref, The Odd Couple, Things to Do in Denver When You're Dead, A Fish Called Wanda, The Last Days of Disco, The Long Goodbye, The King of Marvin Gardens, In the Soup, The Cheap Detective, The Spanish Prisoner"
5501_recent_neutral_indie_international,"The Lunchbox, A Fantastic Woman, In the Mood for Love, City of God, The Intouchables, Amélie, Pan’s Labyrinth, Oldboy, The Secret in Their Eyes, Toni Erdmann"
5501_recent_neutral_temporal_diverse,"The Sting, Some Like It Hot, The Breakfast Club, Big Trouble in Little China, The Pink Panther, Planes, Trains and Automobiles, Midnight Run, The Princess Bride, Trading Places, The Odd Couple"
5501_recent_neutral_obscure_theme,"The Fall, Big Night, The Secret of Roan Inish, The Long Goodbye, The Station Agent, In the Mood for Love, The Reflection of Power, The Brothers Bloom, The Lady Eve, Theypi"
5501_recent_gender_age_only_baseline,"Hot Fuzz, Rush Hour, The Nice Guys, Kiss Kiss Bang Bang, The Mask of Zorro, Deadpool, Tropic Thunder, Midnight Run, Big Trouble in Little China, The Other Guys"
5501_recent_gender_age_only_niche_genre,"The Fall, Big Trouble in Little China, The Nice Guys, Kiss Kiss Bang Bang, The Adventures of Buckaroo Boo Boo, In the Mouth of Madness, The Forbidden Planet, The King of Comedy, The Man Who Fell to Earth, Brazil"
5501_recent_gender_age_only_exclude_popular,"The Last Days of Disco, The Long Goodbye, In the Mouth of Madness, The Cooler, The House of the Spirits, The Man Who Fell to Earth, Big Trouble in Little China, The Last Seduction, The American Friend, The Friends of Eddie Coyle"
5501_recent_gender_age_only_indie_international,"City of God, Amélie, The Intouchables, In the Mood for Love, Pan’s Labyrinth, A Separation, The Fall, The Hunt, Wild Tales, The Lobster"
5501_recent_gender_age_only_temporal_diverse,"Big Trouble in Little China, The Mask of Zorro, The Nice Guys, Kiss Kiss Bang Bang, Midnight Run, The Fugitive, The Last Boy Scout, Hot Fuzz, The Rock, Seven Psychopaths"
5501_recent_gender_age_only_obscure_theme,"The Last Boy Scout, Kiss Kiss Bang Bang, The Ref, In the Loop, The Nice Guys, Midnight Run, The Long Goodbye, The Big Hit, The Hot Rods, The Adventures of Buckaroo B... (Buckaroo Banzai)"
5501_recent_occupation_only_baseline,"The Grand Budapest Hotel, Amélie, The Royal Tenenbaums, Big Fish, Forrest Gump, The Intouchables, Moonrise Kingdom, Little Miss Sunshine, The Birdcage, Catch Me If You Can"
5501_recent_occupation_only_niche_genre,"Eternal Sunshine of the Spotless Mind, Being John Malkovich, The Fall, Big Fish, Pan's Labyrinth, The Science of Sleep, The City of Lost Children, Amélie, The Secret of Kells, The Adventures of Baron Munchausen"
5501_recent_occupation_only_exclude_popular,"The King of Comedy, The Last Detail, The Reflecting Skin, A Midwinter's Tale, The House of Mirth, Waiting for the Moon, A Ghost Story, The Quince Tree Sun, My Dinner with Andre, The Straight Story"
5501_recent_occupation_only_indie_international,"The Spirit of the Beehive, Toni Erdmann, The Lunchbox, Amélie, In the Mood for Love, The Counterfeiters, A Separation, The Intouchables, City of God, The Hunt"
