custom_id,movies
3751_recent_neutral_baseline,"Blade Runner, The Terminator, Mad Max, RoboCop, Dune, Aliens, The Fifth Element, Total Recall, Planet of the Apes, Escape from L.A."
3751_recent_neutral_niche_genre,"Dark City, Brazil, The Thief of Bagdad, Aeon Flux, The City of Lost Children, The Wind Rises, The Fall, Valerian and the City of a Thousand Planets, Paprika, Metropolis"
3751_recent_neutral_exclude_popular,"Silent Running, Soylent Green, Dark Star, The Andromeda Strain, THX 1138, A Boy and His Dog, The Omega Man, Logan's Run (TV Pilot), Futureworld, The Quiet Earth"
3751_recent_neutral_indie_international,"The Spirit of the Beehive, Toni Erdmann, City of Lost Children, Come and See, Stalker, Paprika, The Man Who Fell to Earth, Wings of Desire, A Girl Walks Home Alone at Night, The Fall"
3751_recent_neutral_temporal_diverse,"Blade Runner, Mad Max, The Road Warrior, 2001: A Space Odyssey, Planet of the Apes, The Terminator, Dune, Metropolis, The Andromeda Strain, Altered States"
3751_recent_neutral_obscure_theme,"The Warriors, Dark City, The Last Starfighter, They Live, Outland, The Hidden, Hardware, Night of the Comet, Futureworld, Dune"
3751_recent_gender_age_only_baseline,"Blade Runner, The Fifth Element, Mad Max: Fury Road, Gattaca, Dune, Arrival, The Matrix, Inception, Edge of Tomorrow, Ex Machina"
3751_recent_gender_age_only_niche_genre,"The Last Starfighter, Moon, Serenity, Dark City, Hardware, The Prestige, Coherence, Sunshine, The Fountain, Children of Men"
3751_recent_gender_age_only_exclude_popular,"Moon, Dark City, The Last Starfighter, Hardware, Event Horizon, The Quiet Earth, Sleepaway Camp, The Man Who Fell to Earth, The Brotherhood of the Wolf, Silent Running"
3751_recent_gender_age_only_indie_international,"The Double Life of Veronique, Toni Erdmann, The Lobster, A Girl Walks Home Alone at Night, Run Lola Run, Blue Is the Warmest Color, The Holy Mountain, Persepolis, In the Mood for Love, The Fits"
3751_recent_gender_age_only_temporal_diverse,"Fahrenheit 451, Blade Runner, Metropolis, The Fifth Element, Mad Max: Fury Road, Her, The Matrix, Dune, Annihilation, Gattaca"
3751_recent_gender_age_only_obscure_theme,"The Quiet Earth, Galaxy of Terror, Dark City, The Brotherhood of the Wolf, The City of Lost Children, The Last Wave, The Void, Event Horizon, The Fountain, Moon"
3751_recent_occupation_only_baseline,"Blade Runner, The Terminator, Aliens, Mad Max, Rogue One: A Star Wars Story, Dune, Total Recall, District 9, Edge of Tomorrow, The Fifth Element"
3751_recent_occupation_only_niche_genre,"Dark City, The City of Lost Children, Avalon, Brazil, Moon, Children of Men, Dredd, The Man from Earth, Gattaca, The Thirteenth Floor"
3751_recent_occupation_only_exclude_popular,"Dark City, The Man Who Fell to Earth, Hardware, Silent Running, A Boy and His Dog, The Quiet Earth, Colossus: The Forbin Project, Phase IV, The Brotherhood of the Wolf, The Last Wave"
3751_recent_occupation_only_indie_international,"City of God, Toni Erdmann, The Man from Earth, The Great Beauty, Paprika, The Bothersome Man, A Touch of Sin, The Hunt, In the Mood for Love, The Lives of Others"
3751_recent_occupation_only_temporal_diverse,"Blade Runner, Mad Max, The Road Warrior, Metropolis, 2001: A Space Odyssey, Dune, Brazil, The Terminator, Akira, Children of Men"
3751_recent_occupation_only_obscure_theme,"Hardware, The Wraith, Dark City, Sunshine, A Boy and His Dog, They Live, The Final Countdown, Outland, The Quiet Earth, Night of the Comet"
3751_recent_all_attributes_baseline,"Blade Runner, The Fifth Element, Gattaca, Ex Machina, Mad Max: Fury Road, Dune, Her, The Matrix, Children of Men, Snowpiercer"
3751_recent_all_attributes_niche_genre,"Hardware, Moon, The Man from Earth, Dark City, The Congress, Coherence, The Fountain, Aniara, Ex Machina, Tangerine Dream: Ricochet"
3751_recent_all_attributes_exclude_popular,"Dark City, The Road Warrior, Hardware, A Boy and His Dog, Alphaville, The Quiet Earth, The Man Who Fell to Earth, They Live, Moon, Coherence"
3751_recent_all_attributes_indie_international,"A Girl Walks Home Alone at Night, The Fits, Moon, Colossal, Toni Erdmann, The Lobster, Perfect Blue, The Brand New Testament, The Bothersome Man, Pontypool"
3751_recent_all_attributes_temporal_diverse,"Blade Runner, The Fifth Element, Gattaca, Metropolis, Children of Men, Moon, Her, The Matrix, Ex Machina, Mad Max: Fury Road"
3751_recent_all_attributes_obscure_theme,"Hardware, Deadly Games, The Quiet Earth, Moon, The Last Starfighter, Dark City, The Illuminated, Coherence, The Signal, Timecrimes"
3752_recent_neutral_baseline,"Braveheart, The Shawshank Redemption, The Green Mile, Finding Neverland, Little Miss Sunshine, Amélie, The Iron Giant, The Secret of Kells, Life is Beautiful, A Beautiful Mind"
