custom_id,movies
5501_top-rated_neutral_baseline,"Fight Club, Requiem for a Dream, Eternal Sunshine of the Spotless Mind, American History X, The Royal Tenenbaums, Donnie Darko, Magnolia, Lost in Translation, Blue Velvet, The Machinist"
5501_top-rated_neutral_niche_genre,"Eternal Sunshine of the Spotless Mind, Adaptation, The Holy Mountain, Synecdoche, New York, The Fountain, Holy Motors, Waking Life, Enter the Void, The Fall, Dogtooth"
5501_top-rated_neutral_exclude_popular,"Happiness, The Reflecting Skin, The Last Seduction, Safe, The Housemaid, A Ghost Story, The King of Marvin Gardens, The Celebration, The King of Comedy, The Spirit of the Beehive"
5501_top-rated_neutral_indie_international,"In the Mood for Love, A Ghost Story, The Celebration, Wendy and Lucy, L'Avventura, The Holy Mountain, Toni Erdmann, The Wind That Shakes the Barley, Silent Light, The Sacred Spirit"
5501_top-rated_neutral_temporal_diverse,"Requiem for a Dream, Fargo, Blue Velvet, The Graduate, Memento, Eternal Sunshine of the Spotless Mind, The Killing of a Sacred Deer, American History X, Lost in Translation, The Seventh Seal"
5501_top-rated_neutral_obscure_theme,"The Celebration, Happiness, The Duke of Burgundy, The House That Jack Built, Shame, The Last Days of Disco, Palindromes, Wendy and Lucy, The Sound of Music, Bug"
5501_top-rated_gender_age_only_baseline,"Fight Club, Requiem for a Dream, Eternal Sunshine of the Spotless Mind, American Psycho, Donnie Darko, The Machinist, A Clockwork Orange, Requiem for a Dream, Her, Mulholland Drive"
5501_top-rated_gender_age_only_niche_genre,"Eternal Sunshine of the Spotless Mind, Synecdoche, New York, The Fall, Stalker, Gummo, The Holy Mountain, Pi, Paprika, Enter the Void, Twin Peaks: Fire Walk with Me"
5501_top-rated_gender_age_only_exclude_popular,"The Last Days of Disco, Happiness, Safe, L.I.E., The Mirror, Toni Erdmann, The Grocer's Son, American Astronaut, The Color of Pomegranates, The Arbor"
5501_top-rated_gender_age_only_indie_international,"Happiness, Holy Motors, The Holy Mountain, Eraserhead, Blue Velvet, The Double Life of Veronique, Requiem for a Dream, Gummo, The Idiots, The Squid and the Whale"
