custom_id,movies
6001_top-rated_neutral_baseline,"Requiem for a Dream, The Shawshank Redemption, Eternal Sunshine of the Spotless Mind, Fight Club, Her, Lost in Translation, The Great Gatsby, Annie Hall, Blue Velvet, The Master"
6001_top-rated_neutral_niche_genre,"Hiroshima Mon Amour, The Spirit of the Beehive, Paris, Texas, Stalker, Eraserhead, The Killing of a Sacred Deer, Blue Velvet, The Double Life of Veronique, Dogtooth, The Holy Mountain"
6001_top-rated_neutral_exclude_popular,"A Man Escaped, The Spirit of the Beehive, Hiroshima Mon Amour, The Passenger, In the Mood for Love, Safe, The Last Picture Show, Mouchette, The Housemaid, Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles"
6001_top-rated_neutral_indie_international,"In the Mood for Love, The Double Life of Veronique, Blue Velvet, The Spirit of the Beehive, A Separation, Paris, Texas, Wings of Desire, The Holy Mountain, The Last Days of Disco, Toni Erdmann"
6001_top-rated_neutral_temporal_diverse,"Sunset Boulevard, Rebel Without a Cause, The Graduate, 12 Angry Men, To Kill a Mockingbird, Psycho, The Apartment, A Streetcar Named Desire, The 400 Blows, Memento"
6001_top-rated_neutral_obscure_theme,"The Heart is a Lonely Hunter, The Last Detail, The Killing of a Sacred Deer, A Ghost Story, The Sweet Hereafter, Happiness, The Celebration, In the Mood for Love, The Assassin, The Proposition"
6001_top-rated_gender_age_only_baseline,"Eternal Sunshine of the Spotless Mind, Her, Lost in Translation, The Virgin Suicides, Requiem for a Dream, Blue Valentine, Little Miss Sunshine, The Royal Tenenbaums, Frances Ha, Amélie"
6001_top-rated_gender_age_only_niche_genre,"Memento, Eternal Sunshine of the Spotless Mind, The Fall, Synecdoche, New York, In the Mood for Love, Blue Velvet, The Double Life of Veronique, Requiem for a Dream, Holy Motors, The Spirit of the Beehive"
6001_top-rated_gender_age_only_exclude_popular,"The Last Days of Disco, Hiroshima Mon Amour, Fingers, Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles, Cléo from 5 to 7, The Spirit of the Beehive, In the Mood for Love, The House Is Black, The Diary of a Teenage Girl, Certain Women"
6001_top-rated_gender_age_only_indie_international,"Amélie, Portrait of a Lady on Fire, The Double Life of Véronique, In the Mood for Love, Frances Ha, Lost in Translation, The Farewell, A Fantastic Woman, Blue Is the Warmest Color, The Lobster"
6001_top-rated_gender_age_only_temporal_diverse,"Pride and Prejudice, Rebecca, The Apartment, Amélie, Eternal Sunshine of the Spotless Mind, The Sound of Music, A Room with a View, La La Land, Her, Lost in Translation"
6001_top-rated_gender_age_only_obscure_theme,"The Heartbreak Kid, The Last Days of Disco, Hampstead, The Painted Veil, The Secret Life of Walter Mitty, Lars and the Real Girl, In the Mood for Love, A Ghost Story, The Double Life of Veronique, The Station Agent"
6001_top-rated_occupation_only_baseline,"The Shawshank Redemption, The Godfather, Forrest Gump, The Social Network, No Country for Old Men, The King's Speech, Good Will Hunting, A Beautiful Mind, The Imitation Game, 12 Angry Men"
6001_top-rated_occupation_only_niche_genre,"The Double Life of Véronique, In the Mood for Love, The Spirit of the Beehive, The Last Wave, The Killing of a Sacred Deer, The Celebration, Mysterious Skin, The Assassination of Jesse James by the Coward Robert Ford, Blue Velvet, The Reflecting Skin"
6001_top-rated_occupation_only_exclude_popular,"The Heart of the Fall, A Ghost Story, The Master, In the Mood for Love, Mysterious Skin, The Sweet Hereafter, Lost in Translation, Hiroshima Mon Amour, The Double Life of Veronique, The Spirit of the Beehive"
6001_top-rated_occupation_only_indie_international,"In the Mood for Love, The Lunchbox, Amélie, Blue is the Warmest Color, The Double Life of Véronique, A Separation, Wild Strawberries, Toni Erdmann, The Great Beauty, Shoplifters"
6001_top-rated_occupation_only_temporal_diverse,"12 Angry Men, The Graduate, The Apartment, Chinatown, Requiem for a Dream, Network, The Godfather, Memento, No Country for Old Men, The Social Network"
6001_top-rated_occupation_only_obscure_theme,"The Last Days of Disco, The Sweet Hereafter, The Celebration, In the Mood for Love, Happiness, The Browning Version, A Serious Man, The Killing of a Sacred Deer, The Man Who Fell to Earth, The Reflecting Skin"
6001_top-rated_all_attributes_baseline,"La La Land, Eternal Sunshine of the Spotless Mind, The Devil Wears Prada, Lost in Translation, Her, Little Miss Sunshine, The Queen of Versailles, Annie Hall, The Social Network, The Grand Budapest Hotel"
6001_top-rated_all_attributes_niche_genre,"The Double Life of Veronique, Lars and the Real Girl, In the Mood for Love, The Assassination of Jesse James by the Coward Robert Ford, Her, The Fall, Eternal Sunshine of the Spotless Mind, Lost in Translation, Anomalisa, The Lobster"
6001_top-rated_all_attributes_exclude_popular,"An Education, The Dreamers, In the Mood for Love, Lost in Translation, The Souvenir, Frances Ha, The Last Days of Disco, Hiroshima Mon Amour, Cléo from 5 to 7, The Italian Job (1969)"
