custom_id,movies
3251_recent_neutral_baseline,"Fitzcarraldo, Blade Runner, The Grand Budapest Hotel, The Cook, the Thief, His Wife & Her Lover, Eternal Sunshine of the Spotless Mind, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, The Holy Mountain, Being John Malkovich, The Night of the Hunter, Brazil (Criterion Edition)"
3251_recent_neutral_niche_genre,"Stalker, The Holy Mountain, Eraserhead, Pink Flamingos, The Holy Girl, Dark City, Tetsuo: The Iron Man, The Reflecting Skin, Gummo, The Last Wave"
3251_recent_neutral_exclude_popular,"The Last Wave, Stalker, The Spirit of the Beehive, The Draughtsman's Contract, The Mirror, A Zed & Two Noughts, Dark City, The Adventures of Baron Munchausen, Fitzcarraldo, The Quay Brothers' Films"
3251_recent_neutral_indie_international,"The Holy Mountain, Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles, The Spirit of the Beehive, Wings of Desire, Paris, Texas, Once Upon a Time in Anatolia, The Double Life of Veronique, The Last Wave, A Ghost Story, Toni Erdmann"
3251_recent_neutral_temporal_diverse,"8½, Blade Runner, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, The Grand Budapest Hotel, The Cabinet of Dr. Caligari, Metropolis, Fargo, The Holy Mountain, The Thief of Bagdad, Young Frankenstein"
3251_recent_neutral_obscure_theme,"The Last Wave, Timecrimes, The Reflecting Skin, The Spirit of the Beehive, A Zed & Two Noughts, The Govinda's, The Quay Brothers' Institute Benjamenta, The Holy Mountain, The Killing of a Sacred Deer, The Act of Killing"
3251_recent_gender_age_only_baseline,"The Grand Budapest Hotel, Blade Runner, Fargo, The Big Lebowski, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Monty Python and the Holy Grail, The Royal Tenenbaums, A Clockwork Orange, Pulp Fiction, The Truman Show"
3251_recent_gender_age_only_niche_genre,"Stalker, Brazil, The Holy Mountain, Eraserhead, The Cook, the Thief, His Wife & Her Lover, Repo Man, The Adventures of Baron Munchausen, The Fountainhead, Dark City, The Fall"
3251_recent_gender_age_only_exclude_popular,"The Last Wave, Stalker, Eraserhead, The Spirit of the Beehive, The Holy Mountain, Waiting for Godot, The Mirror, Hiroshima Mon Amour, The Draughtsman's Contract, Picnic at Hanging Rock"
3251_recent_gender_age_only_indie_international,"The Holy Mountain, Stalker, The Spirit of the Beehive, Wings of Desire, Toni Erdmann, Naked Lunch, Paris, Texas, The Double Life of Veronique, M, The Eclipse"
3251_recent_gender_age_only_temporal_diverse,"Blade Runner, The Grand Budapest Hotel, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, A Clockwork Orange, The Third Man, Fargo, The Cook, the Thief, His Wife & Her Lover, Seven Samurai, Memento, The Big Lebowski"
3251_recent_gender_age_only_obscure_theme,"The Last Wave, Time Bandits, The Reflecting Skin, Dark City, Brazil (Criterion Edition), A Zed & Two Noughts, The Draughtsman's Contract, The Holy Mountain, Stalker, The Adventures of Baron Munchausen"
3251_recent_occupation_only_baseline,"Blade Runner, Brazil, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, The Grand Budapest Hotel, The Third Man, Monty Python's Life of Brian, The Cook, the Thief, His Wife & Her Lover, Fargo, The Big Lebowski, The Shining"
3251_recent_occupation_only_niche_genre,"Stalker, The City of Lost Children, Tetsuo: The Iron Man, Eraserhead, Brazilian Western, The Holy Mountain, Dead Man, The Quay Brothers' Films, The Void, A Scanner Darkly"
3251_recent_occupation_only_exclude_popular,"Stalker, The Draughtsman's Contract, The Holy Mountain, The Last Wave, Eraserhead, The Reflecting Skin, The Cook, the Thief, His Wife & Her Lover, Come and See, The Killing of a Sacred Deer, A Zed & Two Noughts"
3251_recent_occupation_only_indie_international,"The Spirit of the Beehive, Toni Erdmann, Come and See, The Double Life of Veronique, Wings of Desire, A Page of Madness, Stalker, City of God, The Holy Mountain, Fitzcarraldo"
3251_recent_occupation_only_temporal_diverse,"Metropolis, 2001: A Space Odyssey, Blade Runner, The Man Who Fell to Earth, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, The Great Dictator, The Apartment, Brazil, Fargo, Being There"
3251_recent_occupation_only_obscure_theme,"The Cook, the Thief, His Wife & Her Lover, Dark City, The Last Wave, The Reflecting Skin, Repo Man, The City of Lost Souls, The Fall, The Spirit of the Beehive, Stalker, Kiss Me Deadly"
3251_recent_all_attributes_baseline,"Blade Runner, The Grand Budapest Hotel, The Truman Show, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Metropolis, Eternal Sunshine of the Spotless Mind, Fargo, The Big Lebowski, Brazil (Director's Cut), The Cook, the Thief, His Wife & Her Lover"
3251_recent_all_attributes_niche_genre,"Stalker, Tetsuo: The Iron Man, Eraserhead, The Holy Mountain, Brazil (Director's Cut), The Cook, the Thief, His Wife & Her Lover, Repo Man, The Man Who Fell to Earth, The Last Wave, Dead Man"
3251_recent_all_attributes_exclude_popular,"The Double Life of Véronique, Stalker, A Man Escaped, The Spirit of the Beehive, Picnic at Hanging Rock, The Last Days of Chez Nous, Daughters of the Dust, The Reflecting Skin, The Quay Brothers' Institute benjamenta, The Color of Pomegranates"
3251_recent_all_attributes_indie_international,"Werner Herzog's Aguirre, the Wrath of God, Toni Erdmann, The Spirit of the Beehive, City of God, The Holy Mountain, The Double Life of Veronique, The Man Who Fell to Earth, Paprika, Fitzcarraldo, The Holy Girl"
3251_recent_all_attributes_temporal_diverse,"Metropolis, Blade Runner, The Great Escape, 12 Monkeys, The Man Who Fell to Earth, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, The Third Man, Memento, The Adventures of Buckaroo B-51, Brazil"
3251_recent_all_attributes_obscure_theme,"Dark City, The Last Days of Disco, The Reflecting Skin, A Boy and His Dog, The Great Happiness Space, Stalker, The Draughtsman's Contract, The Man Who Fell to Earth, The Adventures of Buckaroo B. Benson, Repo Man"
3252_recent_neutral_baseline,"The Others, The Machinist, Memento, Donnie Darko, The Prestige, Fight Club, Eternal Sunshine of the Spotless Mind, Se7en, Shutter Island, The Illusionist"
3252_recent_neutral_niche_genre,"The Others, Donnie Darko, Coherence, The Fall, The Machinist, Memento, Under the Silver Lake, Synecdoche, New York, The Fountain, Pi"
3252_recent_neutral_exclude_popular,"The Others, Donnie Darko, Memento, The Machinist, Coherence, The Invitation, The Jacket, Primer, Blue Velvet, Mulholland Drive"
3252_recent_neutral_indie_international,"The Spirit of the Beehive, Paprika, The Bothersome Man, Toni Erdmann, In the Mood for Love, A Ghost Story, The Hunt, The Secret of Kells, The Lobster, Wild Tales"
3252_recent_neutral_obscure_theme,"The Machinist, The Reflection of Fear, The Last Wave, The Sweet Hereafter, The Orphanage, The Vanishing, The Apostle, The Pledge, The Fall, Timecrimes"
3252_recent_gender_age_only_baseline,"The Others, Memento, The Machinist, Donnie Darko, Fight Club, Se7en, American Psycho, The Prestige, Requiem for a Dream, Shutter Island"
3252_recent_gender_age_only_niche_genre,"The Fall, Coherence, The Invitation, The Skin I Live In, The Double Life of Véronique, Memento Mori, The Man Who Fell to Earth, Pontypool, The Reflecting Skin, A Ghost Story"
3252_recent_gender_age_only_exclude_popular,"The Machinist, The Others, Memento, Pi, Donnie Darko, The Double Life of Veronique, The Sweet Hereafter, Blue Velvet, The Vanishing, Lost Highway"
