custom_id,movies
4001_top-rated_neutral_baseline,"When Harry Met Sally, Some Like It Hot, The Philadelphia Story, Funny Face, The Birdcage, To Wong Foo, Thanks for Everything! Julie Newmar, The Grand Budapest Hotel, Little Miss Sunshine, The Apartment, Clueless"
4001_top-rated_neutral_niche_genre,"Big Night, The Last Days of Disco, The Player, A Ghost Story, In the Mood for Love, The Last Detail, The Trip to Bountiful, Holy Motors, The Farewell, The Celebration"
4001_top-rated_neutral_exclude_popular,"The Last Detail, The Long Way Home, A Thousand Clowns, The Goodbye Girl, The King of Comedy, Heartburn, Local Hero, The Last Picture Show, The House of Mirth, Alice"
4001_top-rated_neutral_indie_international,"In the Mood for Love, The Flavor of Green Tea over Rice, The Spirit of the Beehive, Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles, The Double Life of Véronique, The Last Days of Disco, Toni Erdmann, The Great Beauty, A Man Escaped, Yi Yi"
4001_top-rated_neutral_temporal_diverse,"Some Like It Hot, The Philadelphia Story, Singin' in the Rain, It Happened One Night, The Apartment, The Producers, Harold and Maude, The Odd Couple, To Be or Not to Be, The Birdcage"
4001_top-rated_neutral_obscure_theme,"The Last Detail, The Killing of a Sacred Deer, The Baxter, In the Mood for Love, The Party, The Upside of Anger, The Dish, A Serious Man, Lars and the Real Girl, The Last Seduction"
4001_top-rated_gender_age_only_baseline,"Crazy Rich Asians, Legally Blonde, The Devil Wears Prada, Mamma Mia!, 10 Things I Hate About You, Clueless, Bridesmaids, To All the Boys I've Loved Before, The Proposal, Pitch Perfect"
4001_top-rated_gender_age_only_niche_genre,"The Last Days of Disco, Frances Ha, The Half of It, Amélie, In the Mood for Love, Clueless, Daughters of the Dust, The Favourite, Eighth Grade, The Farewell"
4001_top-rated_gender_age_only_exclude_popular,"The Last Days of Disco, In the Mood for Love, The Goodbye Girl, The Matchmaker, A Short Film About Love, The House of Yes, Fried Green Tomatoes, The Incredible Shrinking Woman, The Heartbreak Kid, The Last Picture Show"
4001_top-rated_gender_age_only_indie_international,"Frances Ha, Amélie, The Farewell, Portrait of a Lady on Fire, Lars and the Real Girl, In the Mood for Love, The Fits, Toni Erdmann, The Lobster, The Handmaiden"
4001_top-rated_gender_age_only_temporal_diverse,"Some Like It Hot, Little Miss Sunshine, The Philadelphia Story, Clueless, Singin' in the Rain, Amélie, The Grand Budapest Hotel, Breakfast at Tiffany's, Grease, Legally Blonde"
4001_top-rated_gender_age_only_obscure_theme,"Waiting for Guffman, The Last Seduction, The Ref, In the Mood for Love, The Love Parade, Sabrina, The Secret of Roan Inish, The Opposite of Sex, Luminous Motion, L'Auberge Espagnole"
