custom_id,movies
3001_recent_neutral_baseline,"Se7en, Primal Fear, The Silence of the Lambs, Fight Club, Basic Instinct, Misery, The Girl with the Dragon Tattoo, The Machinist, Gone Girl, Sleepers"
3001_recent_neutral_niche_genre,"The Reflecting Skin, Tetsuo: The Iron Man, The Void, Possession, The House That Jack Built, Angel Heart, Mysterious Skin, Antichrist, Blue Velvet, The Loved Ones"
3001_recent_neutral_exclude_popular,"The Prophecy, The Silence of the Lambs, The Last Seduction, Angel Heart, The House of the Devil, The Pledge, Blue Velvet, The Reflecting Skin, The House by the Cemetery, The Vanishing"
3001_recent_neutral_indie_international,"The Reflecting Skin, The Vanishing, Irreversible, Blue Velvet, The Spirit of the Beehive, Martyrs, A Girl Walks Home Alone at Night, The Innocents, The Babadook, Mysterious Skin"
3001_recent_neutral_temporal_diverse,"Se7en, The Silence of the Lambs, Cape Fear, Double Indemnity, Psycho, The Girl with the Dragon Tattoo, Misery, The Shining, Basic Instinct, The Omen"
3001_recent_neutral_obscure_theme,"The Reflecting Skin, The Void, The Pledge, The Last Seduction, Angel Heart, The House of the Devil, The Stepfather, The Prophecy, The House That Jack Built, The Clovehitch Killer"
3001_recent_gender_age_only_baseline,"Se7en, The Silence of the Lambs, Scream, The Sixth Sense, Panic Room, Zodiac, The Girl with the Dragon Tattoo, Prisoners, Seven Psychopaths, Gone Girl"
3001_recent_gender_age_only_niche_genre,"The Reflecting Skin, Audition, The Void, Murder Party, American Mary, The Invitation, The Descent, May, The Poughkeepsie Tapes, The Loved Ones"
3001_recent_gender_age_only_exclude_popular,"The Stepfather, The Vanishing, The Pledge, Blue Velvet, The Reflecting Skin, Angel Heart, The House of the Devil, The Last Seduction, Prison, The Sentimentality of William Tavener"
3001_recent_gender_age_only_indie_international,"Blue Velvet, The Reflecting Skin, Audition, Irreversible, Mysterious Skin, Requiem for a Dream, Antichrist, The Killing of a Sacred Deer, Oldboy, Martyrs"
3001_recent_gender_age_only_temporal_diverse,"Se7en, The Silence of the Lambs, Seven Samurai, The Girl with the Dragon Tattoo, The Descent, Oldboy, The Machinist, Prisoners, The Sixth Sense, A Clockwork Orange"
3001_recent_gender_age_only_obscure_theme,"The Prowler, The Reflecting Skin, The Stendhal Syndrome, The House of the Devil, The Loved Ones, May, The Void, The Proposition, The Gift, Session 9"
