custom_id,movies
4501_recent_neutral_baseline,"Blade Runner, The Terminator, Heat, John Wick, Mad Max: Fury Road, L.A. Confidential, The Fugitive, Point Break, Scarface, The Bourne Identity"
4501_recent_neutral_niche_genre,"The Mission, Hard Boiled, The Driver, Heat, The Substitute Killers, The Proposition, The Killer Within, Point Break, The Raid: Redemption, The Man From Nowhere"
4501_recent_neutral_exclude_popular,"The Proposition, Dead Man's Shoes, The Proposition, Point Blank, The Assassination of Jesse James by the Coward Robert Ford, A Bittersweet Life, The Proposition, The Vanishing, Hard Boiled, The Machinist"
4501_recent_neutral_indie_international,"City of God, Battle Royale, The Raid, Oldboy, Blue Velvet, A Prophet, The Chaser, Pontypool, Hard Boiled, Run Lola Run"
4501_recent_neutral_temporal_diverse,"Blade Runner, Heat, The Terminator, Lethal Weapon, Point Break, Mad Max: Fury Road, The French Connection, Under Siege, The Road Warrior, Oldboy"
4501_recent_neutral_obscure_theme,"The Hidden, Point Break, The McGuffin, The Battery, The Salton Sea, Dead Man's Shoes, The Proposition, The Guest, Blue Ruin, The Void"
4501_recent_gender_age_only_baseline,"Heat, John Wick, The Matrix, Mad Max: Fury Road, Lethal Weapon, Blade Runner, The Departed, Scarface, Reservoir Dogs, Point Break"
4501_recent_gender_age_only_niche_genre,"Hard Boiled, The Killer, Point Blank, The Proposition, The Raid: Redemption, A Bittersweet Life, The Man from Nowhere, The Chaser, The Proposition, The Mission"
4501_recent_gender_age_only_exclude_popular,"Hard Boiled, Point Blank, The Killer, The Big Heat, The Long Goodbye, The Man from Nowhere, The Proposition, Cold in July, City of God, The Assassination of Jesse James by the Coward Robert Ford"
4501_recent_gender_age_only_indie_international,"City of God, District 9, The Raid, Oldboy, Hard Boiled, A Bittersweet Life, The Chaser, Kung Fu Hustle, Run Lola Run, Toni Erdmann"
4501_recent_gender_age_only_temporal_diverse,"Mad Max: Fury Road, Heat, The Terminator, John Wick, Hard Boiled, Point Break, Escape from New York, The Crow, RoboCop, Seven"
4501_recent_gender_age_only_obscure_theme,"The Hidden, Point Break, Naked Lunch, The Prophecy, The Blood of Heroes, Dark City, The Killers, Angel Heart, The American Friend, The Long Goodbye"
4501_recent_occupation_only_baseline,"RoboCop, Blade Runner, The Terminator, Mad Max: Fury Road, Heat, Lethal Weapon, John Wick, The Matrix, Escape from New York, Collateral"
4501_recent_occupation_only_niche_genre,"Hard Boiled, The Man from Nowhere, City of Violence, The Raid: Redemption, The Proposition, The Proposition, The Killer, Machine Gun Preacher, The Night Comes for Us, Dredd"
4501_recent_occupation_only_exclude_popular,"The Hidden, Assault on Precinct 13, The Taking of Pelham One Two Three, The Long Goodbye, The Proposition, Point Blank, The Big Heat, The American Friend, The Way of the Gun, The Hunter"
4501_recent_occupation_only_indie_international,"City of God, The Man from Nowhere, Hard Boiled, The Raid, District 9, Borgman, A Prophet, The Chaser, Elite Squad, 13 Assassins"
4501_recent_occupation_only_temporal_diverse,"Blade Runner, The Terminator, Heat, John Wick, Mad Max: Fury Road, Lethal Weapon, The Rock, Escape from New York, Robocop, Point Break"
4501_recent_occupation_only_obscure_theme,"The Hidden, Death Warrant, Naked Killer, Dark Angel, The Sentinel, Point of No Return, The Deadly Break, The Punisher, Runaway Train, Angel Heart"
4501_recent_all_attributes_baseline,"Heat, The Terminator, Blade Runner, Predator, RoboCop, Mad Max: Fury Road, The Matrix, John Wick, Dredd, Edge of Tomorrow"
4501_recent_all_attributes_niche_genre,"The Man from Earth, Moon, Coherence, The Signal, Upgrade, Blue Velvet, The Wailing, Primer, Stalker, The Beyond"
4501_recent_all_attributes_exclude_popular,"Hard Boiled, The Man from Nowhere, The Mission, Nikita, The Vanishing Point, Point Blank, The Big Heat, The Killer is One of Us, The Taking of Pelham One Two Three, The Long Goodbye"
4501_recent_all_attributes_indie_international,"City of God, The Raid: Redemption, A Prophet, District 9, The Chaser, Hard Boiled, Infernal Affairs, The Man From Nowhere, Elite Squad, Battleship Potemkin"
4501_recent_all_attributes_temporal_diverse,"Blade Runner, Heat, The Terminator, Mad Max: Fury Road, The Road Warrior, Escape from New York, RoboCop, Lethal Weapon, The Fifth Element, Oldboy"
4501_recent_all_attributes_obscure_theme,"Hard Boiled, The Hidden, Point Break, Cherry 2000, Street Trash, The Brotherhood of the Wolf, The Boondock Saints, The Virus, Dark Angel, The Last Seduction"
4502_recent_neutral_baseline,"Body Heat, Basic Instinct, L.A. Confidential, The Big Sleep, Heat, The Prestige, Shutter Island, The Talented Mr. Ripley, The Machinist, Memento"
