custom_id,movies
6001_recent_neutral_baseline,"Blue Velvet, Mulholland Drive, Lost Highway, The Cook, the Thief, His Wife & Her Lover, Night of the Hunter, Double Indemnity, Memento, Fallen Angels, The Others, Requiem for a Dream"
6001_recent_neutral_exclude_popular,"Night of the Hunter, In the Mood for Love, The Last Wave, Possession, Picnic at Hanging Rock, Daughters of the Dust, The Reflecting Skin, Faster, Cheaper, Better, Mysterious Skin, The Spirit of the Beehive"
6001_recent_neutral_indie_international,"In the Mood for Love, Holy Motors, The Spirit of the Beehive, Gummo, Blue Velvet, The Double Life of Veronique, Wings of Desire, A Touch of Sin, The Last Days of Disco, Pecker"
6001_recent_neutral_temporal_diverse,"Double Indemnity, Sunset Boulevard, The Umbrellas of Cherbourg, Blue Velvet, Memento, The Night of the Hunter, In the Mood for Love, Mulholland Drive, The Hustler, Out of the Past"
6001_recent_neutral_obscure_theme,"Night Moves, The Reflection of a Woman, The Last Wave, The Passenger, Possession, The Spirit of the Beehive, Blue Velvet, The Pledge, Hiroshima Mon Amour, The Conversation"
6001_recent_gender_age_only_baseline,"Blue Valentine, Black Swan, Mulholland Drive, Lost in Translation, The Others, Her, Eternal Sunshine of the Spotless Mind, Requiem for a Dream, The Virgin Suicides, Portrait of a Lady"
6001_recent_gender_age_only_niche_genre,"In the Mood for Love, Mysterious Skin, Fallen Angels, Blue Velvet, The Last Mistress, The Spirit of the Beehive, Peeping Tom, Twin Peaks: Fire Walk with Me, The Reflecting Skin, The Night of the Hunter"
6001_recent_gender_age_only_exclude_popular,"In the Mood for Love, The Double Life of Veronique, Hiroshima Mon Amour, Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles, The Spirit of the Beehive, Possession, Picnic at Hanging Rock, The Reflecting Skin, Daughters of the Dust, The Last Wave"
6001_recent_gender_age_only_indie_international,"Broken Flowers, The Double Life of Veronique, In the Mood for Love, Blue Velvet, A Ghost Story, The Spirit of the Beehive, Climates, Hiroshima Mon Amour, My Voyage to Italy, The Reflecting Skin"
6001_recent_gender_age_only_temporal_diverse,"Brief Encounter, In the Mood for Love, Blue Velvet, Mulholland Drive, The Umbrellas of Cherbourg, Out of the Past, Requiem for a Dream, The Piano, Amélie, Cléo from 5 to 7"
6001_recent_gender_age_only_obscure_theme,"Night Moves, The Reflection of Power, The Last Wave, The Last of the Unjust, The Housemaid, The Killing of a Sacred Deer, The Long Day Closes, The Passenger, The Spirit of the Beehive, The Wicker Man"
6001_recent_occupation_only_baseline,"Lost in Translation, Black Swan, Memento, Blue Velvet, The Machinist, Nightcrawler, Requiem for a Dream, Mulholland Drive, Her, The Prestige"
6001_recent_occupation_only_niche_genre,"Blue Velvet, Repulsion, Picnic at Hanging Rock, The Killing of a Sacred Deer, In the Mood for Love, The Cook, the Thief, His Wife & Her Lover, Stalker, Mysterious Skin, The Reflecting Skin, Possession"
6001_recent_occupation_only_exclude_popular,"In the Mood for Love, The Sweet Hereafter, Night Moves, Murmur of the Heart, The Last Detail, The Passenger, The Reflecting Skin, The Vanishing, The Killing of a Sacred Deer, Blue Velvet"
6001_recent_occupation_only_indie_international,"In the Mood for Love, The Double Life of Véronique, Blue Velvet, Holy Motors, The Spirit of the Beehive, Pepe la Belle, The Hairdresser's Husband, A Ghost Story, The Killing of a Sacred Deer, Toni Erdmann"
6001_recent_occupation_only_temporal_diverse,"All That Jazz, Chinatown, The Last Emperor, Mad Men, The King of Comedy, Network, The Third Man, The Player, Sunset Boulevard, The American Friend"
6001_recent_occupation_only_obscure_theme,"The Last Wave, Night Moves, The King of Marvin Gardens, The Reflecting Skin, Blue Velvet, The Passenger, Angel of Desire, The Pledge, The Killing of a Sacred Deer, The Witch"
6001_recent_all_attributes_baseline,"Lost in Translation, Blue Jasmine, The Handmaiden, Black Swan, Her, Mulholland Drive, In the Mood for Love, The Prestige, Nightcrawler, The Others"
6001_recent_all_attributes_niche_genre,"Blue Velvet, Mulholland Drive, In the Mood for Love, The Double Life of Veronique, Persona, The Spirit of the Beehive, Mysterious Skin, The Night of the Hunter, Peeping Tom, The Leopard"
6001_recent_all_attributes_exclude_popular,"In the Mood for Love, The Double Life of Veronique, Mysterious Skin, Blue Velvet, The Spirit of the Beehive, The Last Mistress, The Reflecting Skin, House of the Spirits, Paris, Texas, The Killing of a Sacred Deer"
6001_recent_all_attributes_indie_international,"Blue Valentine, In the Mood for Love, Frances Ha, A Ghost Story, The Double Life of Veronique, The Souvenir, Portrait of a Lady on Fire, Holy Motors, The Killing of a Sacred Deer, Shoplifters"
6001_recent_all_attributes_temporal_diverse,"All That Heaven Allows, Out of Sight, The Last Seduction, Night Moves, Blue Velvet, Secretary, The Long Goodbye, Clute, The Queen of Black Magic, An Unmarried Woman"
6001_recent_all_attributes_obscure_theme,"The Last Seduction, Night Moves, The Reflecting Skin, In the Mood for Love, The Housemaid, The Long Goodbye, Gummo, Blue Velvet, Murder by Contract, The Passenger"
6002_recent_neutral_baseline,"12 Angry Men, To Kill a Mockingbird, Lawrence of Arabia, The Shawshank Redemption, The Godfather, Chinatown, The Silence of the Lambs, Heat, Primal Fear, The Pelican Brief"
6002_recent_neutral_niche_genre,"In the Name of the Father, The Last Detail, The Sweet Hereafter, The Killing of a Sacred Deer, The Hunt for Red October, The Man Who Fell to Earth, Dogtooth, The Proposition, A Prophet, The Assassin"
6002_recent_neutral_exclude_popular,"12 Angry Men, The Last Detail, In the Heat of the Night, The Killing of a Chinese Bookie, A Simple Plan, The Long Good Friday, Night Moves, The Conversation, The Friends of Eddie Coyle, The Enigma of Kaspar Hauser"
6002_recent_neutral_indie_international,"The Chaser, In the Mood for Love, A Prophet, City of God, The Hunt, Let the Right One In, The Secret in Their Eyes, Memories of Murder, Taste of Cherry, The White Ribbon"
6002_recent_neutral_temporal_diverse,"12 Angry Men, On the Waterfront, Chinatown, Double Indemnity, The French Connection, To Kill a Mockingbird, Heat, L.A. Confidential, The Verdict, All the President's Men"
6002_recent_neutral_obscure_theme,"The Last Seduction, The Sweet Hereafter, The Killing of a Sacred Deer, A Simple Plan, The House of the Spirits, The Pledge, The Long Good Friday, The Vanishing, The Yellow Handkerchief, The Limey"
6002_recent_gender_age_only_baseline,"12 Angry Men, Schindler's List, Se7en, The Shawshank Redemption, L.A. Confidential, Heat, The Silence of the Lambs, The Godfather, The Departed, No Country for Old Men"
6002_recent_gender_age_only_niche_genre,"The Last Seduction, The Proposition, In the Heat of the Night, The Night of the Hunter, Chinatown, Long Day's Journey Into Night, The Killing of a Sacred Deer, The Assassination of Jesse James by the Coward Robert Ford, Dogtooth, The Sweet Hereafter"
6002_recent_gender_age_only_exclude_popular,"The Last Seduction, Night Moves, The King of Marvin Gardens, The Sweet Hereafter, The Passenger, The House of Mirth, The Razor's Edge, The Killing of a Sacred Deer, The Limey, The Double Life of Veronique"
6002_recent_gender_age_only_indie_international,"The Hunt for the Wilderpeople, A Prophet, The Secret in Their Eyes, In the Mood for Love, City of God, The Chaser, Let the Right One In, The Proposition, Handmaiden, Taste of Cherry"
6002_recent_gender_age_only_temporal_diverse,"12 Angry Men, Chinatown, The French Connection, Heat, L.A. Confidential, The Maltese Falcon, No Country for Old Men, The Shawshank Redemption, The Godfather, Se7en"
6002_recent_gender_age_only_obscure_theme,"The Lincoln Lawyer, The Last Seduction, The English Patient, The Insider, Michael Clayton, The Secret in Their Eyes, The Killing of a Sacred Deer, A Simple Plan, The Pledge, Blood Simple"
6002_recent_occupation_only_baseline,"12 Angry Men, To Kill a Mockingbird, Primal Fear, The Verdict, L.A. Confidential, Se7en, The Shawshank Redemption, The Silence of the Lambs, The Fugitive, Mystic River"
6002_recent_occupation_only_niche_genre,"The Insider, In the Name of the Father, Michael Clayton, The Hunt for Red October, Michael Collins, Tinker Tailor Soldier Spy, A Few Good Men (TV Movie), The Constant Gardener, The Last Seduction, The Spanish Prisoner"
6002_recent_occupation_only_exclude_popular,"The Last Seduction, The House of Mirth, Night Moves, The Killing of a Sacred Deer, The Sweet Hereafter, The Passenger, In the Mood for Love, The Assassination of Jesse James by the Coward Robert Ford, The Double Life of Veronique, Red Rock West"
6002_recent_occupation_only_indie_international,"A Prophet, The Chaser, In the Mood for Love, City of God, The Hunt, Once Upon a Time in Anatolia, The Secret in Their Eyes, Toni Erdmann, Blue Is the Warmest Color, The Deep End"
6002_recent_occupation_only_temporal_diverse,"12 Angry Men, On the Waterfront, Chinatown, The French Connection, Double Indemnity, To Kill a Mockingbird, Lawrence of Arabia, Heat, The Silence of the Lambs, No Country for Old Men"
6002_recent_occupation_only_obscure_theme,"Breaker Morant, The Last Seduction, Cold in July, The Sweet Hereafter, The Insider, A Simple Plan, The Vanishing, The Killing of a Sacred Deer, The Proposition, The Assassination of Jesse James by the Coward Robert Ford"
6002_recent_all_attributes_baseline,"12 Angry Men, The Shawshank Redemption, Se7en, Mystic River, L.A. Confidential, The Verdict, Primal Fear, In the Name of the Father, The Silence of the Lambs, Heat"
6002_recent_all_attributes_niche_genre,"The Insider, In the Name of the Father, Michael Clayton, The Assassination of Jesse James by the Coward Robert Ford, The Thin Blue Line, Dog Day Afternoon, The Cook, the Thief, His Wife & Her Lover, The Killing of a Sacred Deer, The Night of the Hunter, The Sweet Hereafter"
6002_recent_all_attributes_exclude_popular,"The Last Seduction, Night Moves, The Sweet Hereafter, The Killing of a Chinese Bookie, The Assassin, The Pusher, Cold in July, The Proposition, The Celebration, The Fire Within"
6002_recent_all_attributes_indie_international,"A Prophet, In the Mood for Love, The Secret in Their Eyes, City of God, The Chaser, Let the Right One In, The Hunt, The Lives of Others, A Separation, Memories of Murder"
6002_recent_all_attributes_temporal_diverse,"12 Angry Men, Chinatown, Heat, The French Connection, To Kill a Mockingbird, L.A. Confidential, The Searchers, No Country for Old Men, Out of Sight, Michael Clayton"
6002_recent_all_attributes_obscure_theme,"The Last Seduction, The Fire Within, The Enforcer, The Star Chamber, The House That Jack Built, The Brinks Job, The American Friend, The Limey, The Panic in Needle Park, The Killers"
6003_recent_neutral_baseline,"Paris, Texas, The Grand Budapest Hotel, The Philadelphia Story, Midnight in Paris, Roman Holiday, A Fish Called Wanda, The Pink Panther, The Big Lebowski, Moonrise Kingdom, Some Like It Hot"
6003_recent_neutral_niche_genre,"Gilda, The Killing of a Sacred Deer, The Last of Sheila, The Cook, the Thief, His Wife & Her Lover, In the Mood for Love, The Spirit of the Beehive, Barbarella, The Fall, The Act of Killing, Holy Motors"
6003_recent_neutral_exclude_popular,"The Last Detail, The Long Goodbye, Picnic at Hanging Rock, A Summer's Tale, Sweet Bean, The Spirit of the Beehive, The Great Beauty, Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles, The Man Who Fell to Earth, Hiroshima Mon Amour"
6003_recent_neutral_indie_international,"The Spirit of the Beehive, In the Mood for Love, The Lunchbox, A Touch of Sin, The Secret in Their Eyes, Wild Tales, The Great Beauty, City of God, Paprika, The Headless Woman"
6003_recent_neutral_temporal_diverse,"Some Like It Hot, Casablanca, The Apartment, His Girl Friday, The Philadelphia Story, The Thin Man, The Lady Vanishes, The 39 Steps, The Grapes of Wrath, The Sting"
6003_recent_neutral_obscure_theme,"A Zed & Two Noughts, The American Friend, Husbands and Wives, The Last of England, The Reflecting Skin, The Killing of a Sacred Deer, The Draughtsman's Contract, A Ghost Story, The Passenger, The Heart of the World"
6003_recent_gender_age_only_baseline,"Roman Holiday, Clueless, Amélie, The Princess Bride, Moonrise Kingdom, Breakfast at Tiffany's, Singin' in the Rain, Notting Hill, The Grand Budapest Hotel, When Harry Met Sally"
