custom_id,movies
5001_recent_neutral_baseline,"The NeverEnding Story, The Princess Bride, Hook, The Iron Giant, Stardust, Paddington, The Muppet Movie, Alice in Wonderland, Matilda, The Secret of NIMH"
5001_recent_neutral_niche_genre,"The NeverEnding Story, MirrorMask, The Dark Crystal, The Secret of Kells, Pan's Labyrinth, Stardust, The Fall, The City of Lost Children, Labyrinth of Lies, The Adventures of Baron Munchausen"
5001_recent_neutral_exclude_popular,"The Pagemaster, The NeverEnding Story, The Spiderwick Chronicles, MirrorMask, The Secret of Kells, The Book of Life, The Last Unicorn, The Waterhorse, The Little Prince, The Iron Giant"
5001_recent_neutral_indie_international,"The Secret of Kells, Pan's Labyrinth, The Fall, MirrorMask, The City of Lost Children, The Red Turtle, Stardust, The Little Prince, Kirikou and the Sorceress, The Triplets of Belleville"
5001_recent_neutral_temporal_diverse,"The NeverEnding Story, The Dark Crystal, E.T. the Extra-Terrestrial, The Princess Bride, Mary Poppins, Bedknobs and Broomsticks, The Secret of NIMH, Pete's Dragon, The Muppet Movie, The Wizard of Oz"
5001_recent_neutral_obscure_theme,"The Water Horse: Legend of the Deep, The Spiderwick Chronicles, The Secret of Moonacre, The Last Mimzy, MirrorMask, The Pagemaster, The NeverEnding Story, The Iron Giant, The Adventures of Milo and Otis, The Little Prince"
5001_recent_gender_age_only_baseline,"The NeverEnding Story, Stardust, The Princess Bride, Matilda, Howl's Moving Castle, Pan's Labyrinth, Bridge to Terabithia, Coraline, The Secret of Moonacre, Ella Enchanted"
5001_recent_gender_age_only_niche_genre,"MirrorMask, The Fall, The Princess Bride, The Secret of Kells, The NeverEnding Story, Pan's Labyrinth, The Spiderwick Chronicles, Stardust, The Dark Crystal, The Little Prince"
5001_recent_gender_age_only_exclude_popular,"The Secret of Moonacre, MirrorMask, The Fall, The Spiderwick Chronicles, The Neverending Story, A Little Princess, Pan's Labyrinth, The Waterhorse, The Adventures of Buckaroo Bhipp, The Pagemaster"
5001_recent_gender_age_only_indie_international,"The Secret of Kells, Song of the Sea, Pan's Labyrinth, The Tale of the Princess Kaguya, The Little Prince, MirrorMask, Kiki's Delivery Service, The Fall, My Neighbor Totoro, The Red Turtle"
5001_recent_gender_age_only_temporal_diverse,"The NeverEnding Story, Bridge to Terabithia, Pan's Labyrinth, The Secret of NIMH, Mary Poppins, The Dark Crystal, Stardust, The Princess Bride, MirrorMask, A Little Princess"
5001_recent_gender_age_only_obscure_theme,"The Secret of Moonacre, MirrorMask, The Little Prince, The Water Horse, The Fall, The Dark Crystal, The Adventures of Milo and Otis, The Pagemaster, The Spiderwick Chronicles, The NeverEnding Story"
5001_recent_occupation_only_baseline,"The NeverEnding Story, The Secret of NIMH, Mary Poppins, The Iron Giant, Hook, The Princess Bride, Stardust, Bridge to Terabithia, Pan's Labyrinth, Big Fish"
5001_recent_occupation_only_niche_genre,"The NeverEnding Story, MirrorMask, The Secret of Kells, The Dark Crystal, Pan's Labyrinth, The Fall, The Pagemaster, Stardust, The City of Lost Children, Hugo"
5001_recent_occupation_only_exclude_popular,"The Last Unicorn, The Secret of NIMH, The Pagemaster, The Water Babies, The Thief of Bagdad, The Secret of Kells, The Iron Giant, MirrorMask, The NeverEnding Story, The Little Prince"
5001_recent_occupation_only_indie_international,"The Secret of Kells, Pan's Labyrinth, The Fall, MirrorMask, The City of Lost Children, The Little Prince, My Neighbor Totoro, The Triplets of Belleville, The Brothers Bloom, The Handmaiden"
5001_recent_occupation_only_temporal_diverse,"The NeverEnding Story, The Dark Crystal, The Secret of NIMH, The Muppet Movie, Mary Poppins, The Wizard of Oz, Big Fish, Spirited Away, Pan's Labyrinth, Stardust"
5001_recent_occupation_only_obscure_theme,"The Dark Crystal, The Last Unicorn, Mirrormask, The Pagemaster, The Secret of Kells, The Thief and the Cobbler, The Waterhorse, The Iron Giant, The NeverEnding Story, The Spiderwick Chronicles"
5001_recent_all_attributes_baseline,"The NeverEnding Story,  Spirited Away, The Princess Bride, Pan's Labyrinth, Stardust, Alice in Wonderland, Bridge to Terabithia, The Secret of Kells, Mary and the Witch's Flower, Coraline"
5001_recent_all_attributes_niche_genre,"The NeverEnding Story, The Dark Crystal, MirrorMask, The Secret of Kells, Pan's Labyrinth, Fantastic Planet, The Fall, Big Fish, The City of Lost Children, Spirited Away"
5001_recent_all_attributes_exclude_popular,"The Secret of Kells, MirrorMask, The Fall, The Little Prince, The City of Lost Children, Pan's Labyrinth, The Adventures of Prince Achmed, The Phantom Tollbooth, The Iron Giant, Stardust"
5001_recent_all_attributes_indie_international,"MirrorMirror, The Fall, Pan's Labyrinth, The Secret of Kells, Song of the Sea, The Little Prince, Whisper of the Heart, My Neighbor Totoro, A Monster in Paris, The Painting"
5001_recent_all_attributes_temporal_diverse,"The NeverEnding Story, The Secret of NIMH, Peter Pan, The Dark Crystal, The Wizard of Oz, Mary Poppins, Studio Ghibli's My Neighbor Totoro, Paddington, The Little Mermaid, Coraline"
5001_recent_all_attributes_obscure_theme,"MirrorMask, The Secret of Moonacre, The Fall, The Little Prince, Stardust, The Brothers Bloom, The City of Lost Children, A Tale Dark and Grimm, The Imaginarium of Doctor Parnassus, Paprika"
5002_recent_neutral_baseline,"Airplane!, The Naked Gun: From the Files of Police Squad!, Trading Places, Beetlejuice, Groundhog Day, Big Trouble in Little China, The Princess Bride, Monty Python and the Holy Grail, National Lampoon's Vacation, Hot Fuzz"
5002_recent_neutral_niche_genre,"The Frighteners, In the Mouth of Madness, Kiss Kiss Bang Bang, Death Becomes Her, The Adventures of Buckaroo Boto, What We Do in the Shadows, The Lost Skeleton of Cadavra, Big Trouble in Little China, The Evil Dead, The Cabin in the Woods"
5002_recent_neutral_exclude_popular,"The House Bunny, In the Loop, The Last Supper, Big Trouble in Little China, The Ref, Clerks, Waiting for Guffman, Death to Smoochy, The Dish, The Clinton Special"
5002_recent_neutral_indie_international,"The Death of Stalin, In the Mood for Love, The Intouchables, City of God, Pan's Labyrinth, Toni Erdmann, The Lobster, Run Lola Run, Wild Tales, Amélie"
5002_recent_neutral_temporal_diverse,"Young Frankenstein, Some Like It Hot, The Great Dictator, Blazing Saddles, Monty Python and the Holy Grail, Airplane!, To Be or Not to Be, The Pink Panther, Animal House, The Odd Couple"
5002_recent_neutral_obscure_theme,"The Little Shop of Horrors, The Burbs, Murder by Death, The Return of the Living Dead, The Great Race, The Cheap Detective, Clerks, Working Girl, The 'Burbs, The Man Who Fell to Earth"
5002_recent_gender_age_only_baseline,"Back to the Future, The Naked Gun, Planes, Trains & Automobiles, Dumb and Dumber, Superbad, National Lampoon's Vacation, Step Brothers, Zombieland, Hot Fuzz, The Hangover"
5002_recent_gender_age_only_niche_genre,"The Adventures of Buckaroo Boo Boo, Big Trouble in Little China, The Forbidden Zone, The Toxic Avenger, Time Bandits, The Adventures of Priscilla, Queen of the Desert, Darkman, Killer Klowns from Outer Space, The Last Dragon, The Monster Squad"
5002_recent_gender_age_only_exclude_popular,"The Lady Eve, What We Do in the Shadows, The Party, Big Trouble in Little China, The Guard, In the Loop, The Long Goodbye, The Naked Gun, Death Becomes Her, The Felony Squad"
5002_recent_gender_age_only_indie_international,"The Death of Mr. Lazarescu, In the Mood for Love, The Lobster, City of God, Delicatessen, The Intouchables, Toni Erdmann, The Hunt, Rubber, A Prophet"
5002_recent_gender_age_only_temporal_diverse,"Back to the Future, The Naked Gun: From the Files of Police Squad!, Airplane!, Monty Python and the Holy Grail, The Princess Bride, Blazing Saddles, Clueless, The Breakfast Club, Superbad, Hot Fuzz"
5002_recent_gender_age_only_obscure_theme,"The Last Boy Scout, Death Becomes Her, Big Trouble in Little China, The Adventures of Buckaroo B.I.M., In the Loop, The Forbidden Zone, The Party, The Naked Gun 2½: The Smell of Fear, The Ref, Brain Donors"
5002_recent_occupation_only_baseline,"Back to the Future, The Naked Gun, Groundhog Day, Bill & Ted's Excellent Adventure, Monty Python and the Holy Grail, Planes, Trains & Automobiles, The Princess Bride, Hot Fuzz, Superbad, Zombieland"
