custom_id,movies
1751_top-rated_neutral_baseline,"Airplane!, The Great Escape, Forrest Gump, Gladiator, Saving Private Ryan, The Shawshank Redemption, Braveheart, The Patriot, Dodgeball: A True Underdog Story, Legends of the Fall"
1751_top-rated_neutral_niche_genre,"The Great Escape, Dog Day Afternoon, The Battle of Algiers, Come and See, Paths of Glory, M*A*S*H, Full Metal Jacket, The Wind That Shakes the Barley, Gallipoli, The Hurt Locker"
1751_top-rated_neutral_exclude_popular,"The Great Escape, Catch Me If You Can, The Iron Giant, The Longest Yard, A Bridge Too Far, The Birdcage, The 39 Steps, The Sting, Dark Blue World, The Mission"
1751_top-rated_neutral_indie_international,"City of God, Train to Busan, The Intouchables, Amélie, Pan's Labyrinth, In the Mood for Love, The Hunt, Capernaum, Run Lola Run, A Separation"
1751_top-rated_neutral_temporal_diverse,"Airplane!, Schindler's List, The Great Escape, Dumb and Dumber, 12 Angry Men, The Dirty Dozen, Forrest Gump, The Bridge on the River Kwai, The Naked Gun, A Few Good Men"
1751_top-rated_neutral_obscure_theme,"The Great Escape, Torpedo Run, The Iron Giant, The Last Castle, The Hidden Fortress, The Eagle Has Landed, A Soldier's Story, The Train, The Big Red One, The Counterfeit Traitor"
1751_top-rated_gender_age_only_baseline,"Top Gun, The Mask, The Rock, Dumb and Dumber, Forrest Gump, Independence Day, The Bourne Identity, Gladiator, Mad Max: Fury Road, Pirates of the Caribbean: The Curse of the Black Pearl"
1751_top-rated_gender_age_only_niche_genre,"The Great Dictator, M*A*S*H, The Naked Gun: From the Files of Police Squad!, Seven Samurai, The Battle of Algiers, The Last Samurai, The Fall, Run Lola Run, City of God, The Mission"
1751_top-rated_gender_age_only_exclude_popular,"The Great Silence, The Last Detail, The Iron Giant, The Big Gundown, The Roughnecks, The Hill, The Naked Spur, The Assassin, The Quay Brothers' Institute Benjamenta, The Fall"
1751_top-rated_gender_age_only_indie_international,"City of God, The Intouchables, Pan's Labyrinth, In the Mood for Love, Oldboy, The Hunt, Run Lola Run, A Separation, The Secret in Their Eyes, Kung Fu Hustle"
1751_top-rated_gender_age_only_temporal_diverse,"Airplane!, Top Gun, The Great Escape, Mad Max: Fury Road, The Dirty Dozen, Forrest Gump, Black Hawk Down, The Mask of Zorro, Guardians of the Galaxy, Inception"
1751_top-rated_gender_age_only_obscure_theme,"The Foot Fist Way, The Lost Battalion, Tucker & Dale vs. Evil, The Way Way Back, Kiss Kiss Bang Bang, The Kings of the World, In the Loop, The Nice Guys, The Big White, The Fall"
1751_top-rated_occupation_only_baseline,"Airplane!, The Great Dictator, Forrest Gump, The Pursuit of Happyness, Dumb and Dumber, The Shawshank Redemption, Monty Python and the Holy Grail, Good Will Hunting, The Mask of Zorro, The Iron Giant"
1751_top-rated_occupation_only_niche_genre,"The Great Dictator, M*A*S*H, The Battle of Algiers, Catch-22, The Iron Giant, Three Kings, Serpico, The Dirty Dozen, The Last Castle, The Wind That Shakes the Barley"
1751_top-rated_occupation_only_exclude_popular,"The Great Escape, The Birdcage, The Last Detail, The Long Good Friday, The Wind That Shakes the Barley, A Private War, The American Friend, The Thin Red Line, The Last of the Mohicans, The Killing Fields"
1751_top-rated_occupation_only_indie_international,"In the Mood for Love, City of God, The Hunt, The Intouchables, Pan's Labyrinth, Run Lola Run, A Separation, The Lives of Others, Cinema Paradiso, The Secret in Their Eyes"
1751_top-rated_occupation_only_temporal_diverse,"Airplane!, All the President's Men, The Great Escape, Casablanca, The Odd Couple, The Bridge on the River Kwai, Blazing Saddles, To Kill a Mockingbird, The Dirty Dozen, The Godfather"
1751_top-rated_occupation_only_obscure_theme,"The Naked Gun: From the Files of Police Squad!, The Last Seduction, The Iron Giant, Kiss Kiss Bang Bang, The Fall, The Princess Bride, Time Bandits, The Adventures of Buckaroo Boy, The Proposition, In the Mouth of Madness"
1751_top-rated_all_attributes_baseline,"Airplane!, The Pursuit of Happyness, Forrest Gump, Dumb and Dumber, Saving Private Ryan, The Shawshank Redemption, The Green Mile, The Mask of Zorro, Good Will Hunting, The Sandlot"
1751_top-rated_all_attributes_niche_genre,"M*A*S*H, The Great Silence, The Battle of Algiers, Come and See, Paths of Glory, The Wind Rises, The Man Who Would Be King, Kagemusha, The Last Wave, The Spirit of the Beehive"
1751_top-rated_all_attributes_exclude_popular,"The Big Gundown, The Last Wave, The Great Silence, The Killing of a Sacred Deer, The Assassination of Jesse James by the Coward Robert Ford, The Proposition, The Last Detail, The Hunt for Red October, The Fall, The Straight Story"
1751_top-rated_all_attributes_indie_international,"In the Mood for Love, City of God, Amélie, The Diving Bell and the Butterfly, Pan's Labyrinth, The Fall, Run Lola Run, A Prophet, The Secret in Their Eyes, Wild Tales"
1751_top-rated_all_attributes_temporal_diverse,"Airplane!, The Great Escape, The Godfather, Blazing Saddles, Good Will Hunting, The Iron Giant, The Hunt for Red October, Pulp Fiction, Stand by Me, The Last Samurai"
1751_top-rated_all_attributes_obscure_theme,"Burn After Reading, The Guard, In the Loop, The Last Detail, Kiss Kiss Bang Bang, The Big Kahuna, The Fisher King, The Way Way Back, A Simple Plan, The Insider"
1752_top-rated_neutral_baseline,"The Shawshank Redemption, Good Will Hunting, Amélie, The Intouchables, A Beautiful Mind, The Grand Budapest Hotel, The Godfather, Catch Me If You Can, Life of Pi, The Pursuit of Happyness"
1752_top-rated_neutral_niche_genre,"A Prophet, The Fall, Pan's Labyrinth, The Hunt, Oldboy, The Secret in Their Eyes, City of God, Run Lola Run, The Man Who Fell to Earth, Waltz with Bashir"
1752_top-rated_neutral_exclude_popular,"The Killing of a Sacred Deer, A Ghost Story, The Hunt, In the Mood for Love, The Spirit of the Beehive, The Celebration, The Sacrifice, The Wind that Shakes the Barley, The Man Who Sleeps, The Last Wave"
1752_top-rated_neutral_indie_international,"A Prophet, The Hunt, City of God, Amélie, The Secret in Their Eyes, In the Mood for Love, Pan’s Labyrinth, The Lives of Others, Run Lola Run, Wild Tales"
1752_top-rated_neutral_temporal_diverse,"12 Angry Men, The Seventh Seal, Cinema Paradiso, The Godfather, Amélie, Chinatown, The Great Dictator, The Umbrellas of Cherbourg, Memento, Pan's Labyrinth"
1752_top-rated_neutral_obscure_theme,"A Prophet, The Hunt, Blue Velvet, The Celebration, The Fall, The Spirit of the Beehive, The White Ribbon, In the Mood for Love, The Chaser, The Class"
1752_top-rated_gender_age_only_baseline,"Goodfellas, The Shawshank Redemption, The Godfather, American History X, The Silence of the Lambs, Catch Me If You Can, A Beautiful Mind, The Prestige, The Departed, Trainspotting"
1752_top-rated_gender_age_only_niche_genre,"A Prophet, The Lobster, Perfect Blue, The Death of Mr. Lazarescu, Victoria, In the Mood for Love, The Hunt, Wild Tales, Dogtooth, The Spirit of the Beehive"
1752_top-rated_gender_age_only_exclude_popular,"A Prophet, The Spirit of the Beehive, The Class, The Celebration, The Counterfeiters, The Last Detail, In the Mood for Love, The Squid and the Whale, My Dinner with Andre, The Kid with a Bike"
1752_top-rated_gender_age_only_indie_international,"A Prophet, The Hunt, City of God, The Death of Mr. Lazarescu, Ikiru, Waltz with Bashir, The Spirit of the Beehive, The Intouchables, Bicycle Thieves, The Secret in Their Eyes"
1752_top-rated_gender_age_only_temporal_diverse,"A Clockwork Orange, The Shawshank Redemption, Pulp Fiction, Seven Samurai, The Great Dictator, Requiem for a Dream, Oldboy, The 400 Blows, Fight Club, Cinema Paradiso"
1752_top-rated_gender_age_only_obscure_theme,"The House That Jack Built, A Prophet, The Hunt, The Pledge, In the Mood for Love, The Fall, The Celebration, The Station Agent, The Man Who Fell to Earth, City of God"
1752_top-rated_occupation_only_baseline,"The Apartment, Lost in Translation, A Man Called Ove, The Intouchables, Amélie, The Station Agent, Big Fish, The Breakfast Club, Forrest Gump, The Grand Budapest Hotel"
1752_top-rated_occupation_only_niche_genre,"Oldboy, The Hunt, A Serious Man, The Death of Mr. Lazarescu, The Fall, In the Mood for Love, The Square, The Celebration, The Man Who Surprised Everyone, The Last Days of Disco"
1752_top-rated_occupation_only_exclude_popular,"The Straight Story, A Simple Plan, The Celebration, The Spirit of the Beehive, My Dinner with Andre, The Last Detail, The Man Who Loved Women, The Housemaid, The Lunatic, The Fire Within"
1752_top-rated_occupation_only_indie_international,"Amélie, A Short Film About Love, The Hunt, In the Mood for Love, City of God, The Celebration, The Secret in Their Eyes, Memories of Murder, The Lives of Others, Wild Strawberries"
1752_top-rated_occupation_only_temporal_diverse,"The 400 Blows, Memento, Some Like It Hot, Amélie, The Apartment, To Kill a Mockingbird, Gran Torino, The Grand Budapest Hotel, Inside Man, Cinema Paradiso"
1752_top-rated_occupation_only_obscure_theme,"The Killing of a Sacred Deer, The Hunt for the Wilderpeople, A Weary Thief, The Square, The Great Beauty, The Edge of Seventeen, The Last Detail, Bugsy Malone, The King of Comedy, The Celebration"
1752_top-rated_all_attributes_baseline,"American Psycho, The Grand Budapest Hotel, A Serious Man, Oldboy, The Intouchables, Seven Psychopaths, The Death of Stalin, Catch Me If You Can, Requiem for a Dream, The Square"
1752_top-rated_all_attributes_niche_genre,"The Hunt for the Wilderpeople, The Fall, A Prophet, The Secret in Their Eyes, In the Mood for Love, The Great Beauty, The Intouchables, Pan's Labyrinth, The Lives of Others, The Diving Bell and the Butterfly"
1752_top-rated_all_attributes_exclude_popular,"The Vanishing, The Celebration, A Serious Man, The Spirit of the Beehive, Wild Strawberries, The Killing of a Sacred Deer, The Man Who Laughs, The Match Factory Girl, The Housemaid, The Great Happiness Space"
1752_top-rated_all_attributes_indie_international,"The Hunt, A Prophet, The Intouchables, Cinema Paradiso, The Chaser, Run Lola Run, Come and See, The Secret in Their Eyes, Amélie, The Lives of Others"
1752_top-rated_all_attributes_temporal_diverse,"12 Angry Men, The Apartment, Cinema Paradiso, The Truman Show, The Great Dictator, Amélie, Rashomon, Chinatown, Modern Times, The 400 Blows"
1752_top-rated_all_attributes_obscure_theme,"The Machinist, Bug, The Station Agent, A Man Escaped, The King of Comedy, The Death of Mr. Lazarescu, In the Mouth of Madness, The Celebration, The Last Detail, The Housemaid"
1753_top-rated_neutral_baseline,"The Grand Budapest Hotel, Little Miss Sunshine, The Royal Tenenbaums, Lost in Translation, Birdman, Eternal Sunshine of the Spotless Mind, The Intouchables, Sideways, Her, The Prestige"
1753_top-rated_neutral_niche_genre,"Eternal Sunshine of the Spotless Mind, Synecdoche, New York, Holy Motors, The Holy Mountain, Pi, Gummo, The Holy Girl, The Fall, Enter the Void, Blue Velvet"
1753_top-rated_neutral_exclude_popular,"The Last Days of Disco, Happiness, The Celebration, In the Mood for Love, Lost in Translation, The Housemaid, A Ghost Story, The Devil and Daniel Johnston, The Celebration, Bug"
1753_top-rated_neutral_indie_international,"Frances Ha, The Lure, The Wind Rises, In the Mood for Love, Once, The Hunt, The Fall, A Separation, Toni Erdmann, Boyhood"
1753_top-rated_neutral_temporal_diverse,"The Grand Budapest Hotel, The Royal Tenenbaums, American Beauty, The Big Lebowski, Cinema Paradiso, Harold and Maude, The Shawshank Redemption, The Apartment, Stand by Me, Lost in Translation"
1753_top-rated_neutral_obscure_theme,"In the Company of Men, The Last Picture Show, Happiness, The Celebration, Bug, The Reflection of Fear, The Killing of a Sacred Deer, The House That Jack Built, The Falls, The Celebration"
1753_top-rated_gender_age_only_niche_genre,"Eternal Sunshine of the Spotless Mind, Being John Malkovich, The Fall, Pi, Enter the Void, Amélie, Synecdoche, New York, Memento, The Science of Sleep, Donnie Darko"
1753_top-rated_gender_age_only_exclude_popular,"The Last Detail, A Ghost Story, The Souvenir, Happiness, The Death of Stalin, In the Mood for Love, The Killing of a Sacred Deer, Buffalo '66, The Machinist, Wendy and Lucy"
1753_top-rated_gender_age_only_indie_international,"The Lobster, Blue Is the Warmest Color, Frances Ha, The Hunt, In the Mood for Love, Moonlight, Her, The Holy Mountain, Lost in Translation, A Ghost Story"
1753_top-rated_gender_age_only_temporal_diverse,"Superbad, The Hangover, Ferris Bueller's Day Off, The Breakfast Club, Pineapple Express, Fight Club, The Big Lebowski, American Pie, Old School, Requiem for a Dream"
1753_top-rated_gender_age_only_obscure_theme,"Kids, The Way Way Back, Submarine, Happiness, The Spectacular Now, The Diary of a Teenage Girl, The Art of Getting By, The Kings of Summer, Lars and the Real Girl, Adventureland"
1753_top-rated_occupation_only_baseline,"Patch Adams, The Intouchables, The Doctor, One Flew Over the Cuckoo's Nest, Awakenings, The King's Speech, Contagion, The Great Debaters, Lorenzo's Oil, The Fault in Our Stars"
1753_top-rated_occupation_only_niche_genre,"Eraserhead, The Spirit of the Beehive, The Fall, The Diving Bell and the Butterfly, Pi, Waking Life, The Holy Mountain, Enter the Void, A Ghost Story, Synecdoche, New York"
