custom_id,movies
4001_recent_neutral_baseline,"Mississippi Burning, The English Patient, Gandhi, Schindler's List, The Color Purple, Dances with Wolves, The Last Emperor, A River Runs Through It, Out of Africa, The Mission"
4001_recent_neutral_niche_genre,"The Spirit of the Beehive, Come and See, The Battle of Algiers, Waltz with Bashir, The Last Emperor, The House Is Black, The Colour of Pomegranates, A Man with a Movie Camera, The Act of Killing, Tokyo Story"
4001_recent_neutral_exclude_popular,"The Color of Paradise, A Separation, The Wind Rises, In the White City, The House Is Black, The Earrings of Madame de..., Toni Erdmann, The Mirror, The Last Resort, A Man Escaped"
4001_recent_neutral_indie_international,"The Spirit of the Beehive, Wings of Desire, The Celebration, Come and See, The Secret of Kells, The Wind That Shakes the Barley, A Separation, The Diving Bell and the Butterfly, In the Mood for Love, The Last Wave"
4001_recent_neutral_temporal_diverse,"To Kill a Mockingbird, Lawrence of Arabia, The King’s Speech, Gandhi, Schindler’s List, The Mission, A Passage to India, Dead Poets Society, The Great Escape, The Mission"
4001_recent_neutral_obscure_theme,"The Secret of Roan Inish, The Scent of Green Papaya, The Edge of Heaven, The White Ribbon, The Last Station, A Man Called Ove, In the Mood for Love, The Painted Bird, The Chorus, The Way We Live"
4001_recent_gender_age_only_baseline,"Pride and Prejudice, Atonement, The King's Speech, Little Women, Brooklyn, The Piano, Hidden Figures, Emma, The Help, The Queen"
4001_recent_gender_age_only_niche_genre,"The Secret of Kells, A Tale of Winter, The Fall, The Spirit of the Beehive, Wings of Desire, The Double Life of Veronique, Paris, Texas, In the Mood for Love, The Painted Veil, The Station Agent"
4001_recent_gender_age_only_exclude_popular,"The Secret of Roan Inish, A Summer in La Goulette, The Song of Sparrows, The White Balloon, Daughters of the Sun, The Color of Paradise, A Separation, Toni Erdmann, The Lunchbox, In the Mood for Love"
4001_recent_gender_age_only_indie_international,"The Double Life of Véronique, A Fantastic Woman, In the Mood for Love, Toni Erdmann, The Secret in Their Eyes, The Lunchbox, Capernaum, The Great Beauty, Waltz with Bashir, Roma"
4001_recent_gender_age_only_temporal_diverse,"Cinema Paradiso, The Color Purple, Pride and Prejudice, Little Women, The Queen of Black Magic, A Room with a View, An Education, The Secret Garden, The Sound of Music, The Miracle Worker"
4001_recent_gender_age_only_obscure_theme,"The Secret of Roan Inish, The Song of Sparrows, The Last Station, A Private Life, The Painted Bird, The Wind Rises, The Quince Tree Sun, In the White City, Toni Erdmann, The Lesson"
4001_recent_occupation_only_baseline,"To Kill a Mockingbird, Gandhi, Schindler's List, The King's Speech, A Passage to India, The Mission, The Piano, Dead Poets Society, Mississippi Burning, The Hours"
4001_recent_occupation_only_niche_genre,"The Diving Bell and the Butterfly, The Wind Rises, The Man Who Would Be King, Baraka, The Spirit of the Beehive, The Secret of Kells, The Emigrants, The Assassin, The Last Emperor, A Man Escaped"
4001_recent_occupation_only_exclude_popular,"Lost in Space, The Last Emperor, The Mission, The Painted Bird, The God of Small Things, The House of Mirth, The Wind Rises, The Nurse with the Purple Hair, The Song of Sparrows, The Imitation of Life"
