custom_id,movies
1001_top-rated_neutral_baseline,"Black Swan, Eternal Sunshine of the Spotless Mind, Requiem for a Dream, Fight Club, The Wrestler, Blue Valentine, A Ghost Story, The Master, Synecdoche, New York, Her"
1001_top-rated_neutral_niche_genre,"Gummo, The Holy Mountain, Pink Flamingos, Frownland, The Act of Killing, The Great Happiness Space: Tale of an Osaka Geisha, Enter the Void, The Arbor, A Ghost Story, The Reflecting Skin"
1001_top-rated_neutral_exclude_popular,"The Holy Mountain, The House is Black, The Browning Version, The Reflecting Skin, The Last Wave, A Touch of Sin, The Passion of Joan of Arc, The Killing of a Sacred Deer, The Mirror, The Sacrifice"
1001_top-rated_neutral_indie_international,"Blue Velvet, The Holy Mountain, Eureka, Frownland, Dancer in the Dark, The Headless Woman, The Reflecting Skin, The Last Wave, Wendy and Lucy, The Assassin"
1001_top-rated_neutral_temporal_diverse,"Requiem for a Dream, Almost Famous, The Terrorist, Blue Velvet, Eraserhead, The 400 Blows, The Tree of Life, A Clockwork Orange, Memento, Lost in Translation"
1001_top-rated_neutral_obscure_theme,"Pi, The Holy Mountain, The Reflecting Skin, Gummo, The Last Wave, The Housemaid, Wendy and Lucy, Come and See, Julien Donkey-Boy, The Fall"
1001_top-rated_gender_age_only_baseline,"Fight Club, Trainspotting, Requiem for a Dream, American History X, Donnie Darko, A Clockwork Orange, The Machinist, Revolutionary Road, Blue Velvet, Oldboy"
1001_top-rated_gender_age_only_niche_genre,"Pink Floyd: The Wall, Enter the Void, Eraserhead, A Field in England, The Holy Mountain, Gummo, Pi, Waking Life, The Killing of a Sacred Deer, Mysterious Skin"
1001_top-rated_gender_age_only_exclude_popular,"Pi, Blue Velvet, The Holy Mountain, Sanshiro Sugata, Gummo, Eraserhead, The Spirit of the Beehive, Frownland, The Leisure Seeker, The Reflecting Skin"
1001_top-rated_gender_age_only_indie_international,"Blue Velvet, City of God, Amores Perros, The Hunt, A Girl Walks Home Alone at Night, Once, The Chaser, In the Mood for Love, Revanche, Paprika"
1001_top-rated_gender_age_only_temporal_diverse,"A Clockwork Orange, Fight Club, Requiem for a Dream, Trainspotting, American History X, The Wrestler, Donnie Darko, The Machinist, Taxi Driver, Scarface"
1001_top-rated_gender_age_only_obscure_theme,"Pi, The Holy Mountain, The Fall, Blue Velvet, The Machinist, Enter the Void, A Ghost Story, The Fountain, Gummo, The Proposition"
1001_top-rated_occupation_only_baseline,"Black Swan, Eternal Sunshine of the Spotless Mind, Requiem for a Dream, American History X, Fight Club, The Machinist, Donnie Darko, A Beautiful Mind, The Fountain, Mystic River"
1001_top-rated_occupation_only_niche_genre,"Gummo, Pi, The Holy Mountain, Eraserhead, Pink Flamingos, The Killing of a Sacred Deer, Enter the Void, Blue Velvet, The Act of Killing, A Ghost Story"
1001_top-rated_occupation_only_exclude_popular,"Pi, Eternal Sunshine of the Spotless Mind, The Double Life of Veronique, The Spirit of the Beehive, Blue Velvet, A Ghost Story, The Killing of a Sacred Deer, Wendy and Lucy, Mysterious Skin, The Last Days of Disco"
1001_top-rated_occupation_only_indie_international,"The Spirit of the Beehive, The Taste of Cherry, Climates, Daughters of the Dust, The Man Who Left His Will on Film, The Headless Woman, The Climates, In the Mood for Love, The Mirror, A Girl Walks Home Alone at Night"
1001_top-rated_occupation_only_temporal_diverse,"Taxi Driver, Blue Velvet, 2001: A Space Odyssey, Rebel Without a Cause, Eternal Sunshine of the Spotless Mind, The 400 Blows, Fight Club, The Graduate, Her, A Clockwork Orange"
1001_top-rated_occupation_only_obscure_theme,"Pi, The Holy Mountain, The Reflecting Skin, The Machinist, Gummo, Blue Velvet, The Killing of a Sacred Deer, Mysterious Skin, The Station Agent, A Ghost Story"
1001_top-rated_all_attributes_baseline,"Fight Club, Donnie Darko, Requiem for a Dream, A Clockwork Orange, Trainspotting, The Wrestler, American History X, Eternal Sunshine of the Spotless Mind, The Machinist, Garden State"
1001_top-rated_all_attributes_niche_genre,"Gummo, Enter the Void, Pi, Eraserhead, Blue Velvet, The Holy Mountain, Sansho the Bailiff, Stalker, The Mirror, The Assassin"
1001_top-rated_all_attributes_exclude_popular,"Pi, The Holy Mountain, Gummo, A Girl Walks Home Alone at Night, Mysterious Skin, Eternal Sunshine of the Spotless Mind, The Fountain, Blue Velvet, Dogtooth, The Beach Bum"
1001_top-rated_all_attributes_indie_international,"Blue Velvet, The Holy Mountain, Frownland, Gummo, The Spirit of the Beehive, The Headless Woman, Persepolis, A Girl Walks Home Alone at Night, The Act of Killing, Come and See"
